tcdc,lon,lat
3.875,-120.5208,38.8577
3.125,-120.1582,38.90858
2.75,-119.795,38.9581
3.0,-120.223,39.19109
2.75,-119.8581,39.24089
3.0,-120.2885,39.4738
3.0,-119.9218,39.5239
6.0,-120.4549,38.57567
5.625,-120.094,38.62627
6.0,-120.5208,38.8577
5.5,-120.1582,38.90858
5.25,-119.795,38.9581
5.875,-120.223,39.19109
5.625,-119.8581,39.24089
6.375,-120.2885,39.4738
5.875,-119.9218,39.5239
13.0,-120.4549,38.57567
11.75,-120.094,38.62627
15.875,-120.5208,38.8577
14.375,-120.1582,38.90858
12.75,-119.795,38.9581
17.0,-120.223,39.19109
13.875,-119.8581,39.24089
20.0,-120.2885,39.4738
17.0,-119.9218,39.5239
74.5,-120.4549,38.57567
72.5,-120.094,38.62627
80.125,-120.5208,38.8577
71.625,-120.1582,38.90858
70.375,-119.795,38.9581
78.875,-120.223,39.19109
69.0,-119.8581,39.24089
85.875,-120.2885,39.4738
78.875,-119.9218,39.5239
77.125,-120.4549,38.57567
63.875,-120.094,38.62627
77.625,-120.5208,38.8577
68.875,-120.1582,38.90858
61.875,-119.795,38.9581
68.875,-120.223,39.19109
63.125,-119.8581,39.24089
66.875,-120.2885,39.4738
61.625,-119.9218,39.5239
97.25,-120.4549,38.57567
76.625,-120.094,38.62627
98.5,-120.5208,38.8577
75.75,-120.1582,38.90858
52.5,-119.795,38.9581
73.0,-120.223,39.19109
54.75,-119.8581,39.24089
61.75,-120.2885,39.4738
48.375,-119.9218,39.5239
88.0,-120.4549,38.57567
62.375,-120.094,38.62627
90.375,-120.5208,38.8577
64.0,-120.1582,38.90858
60.5,-119.795,38.9581
66.0,-120.223,39.19109
66.0,-119.8581,39.24089
67.75,-120.2885,39.4738
69.875,-119.9218,39.5239
84.625,-120.4549,38.57567
81.75,-120.094,38.62627
86.0,-120.5208,38.8577
82.875,-120.1582,38.90858
80.875,-119.795,38.9581
85.5,-120.223,39.19109
81.75,-119.8581,39.24089
89.25,-120.2885,39.4738
85.375,-119.9218,39.5239
93.625,-120.4549,38.57567
56.625,-120.094,38.62627
95.5,-120.5208,38.8577
65.25,-120.1582,38.90858
30.125,-119.795,38.9581
67.125,-120.223,39.19109
36.125,-119.8581,39.24089
59.0,-120.2885,39.4738
42.625,-119.9218,39.5239
50.875,-120.4549,38.57567
25.125,-120.094,38.62627
53.625,-120.5208,38.8577
37.125,-120.1582,38.90858
26.625,-119.795,38.9581
42.875,-120.223,39.19109
35.5,-119.8581,39.24089
45.125,-120.2885,39.4738
42.75,-119.9218,39.5239
46.875,-120.4549,38.57567
42.0,-120.094,38.62627
45.625,-120.5208,38.8577
43.125,-120.1582,38.90858
41.625,-119.795,38.9581
42.875,-120.223,39.19109
42.0,-119.8581,39.24089
44.125,-120.2885,39.4738
44.25,-119.9218,39.5239
39.125,-120.4549,38.57567
41.625,-120.094,38.62627
39.125,-120.5208,38.8577
39.75,-120.1582,38.90858
47.0,-119.795,38.9581
36.375,-120.223,39.19109
42.375,-119.8581,39.24089
35.625,-120.2885,39.4738
36.5,-119.9218,39.5239
3.875,-120.4549,38.57567
