snohf,lon,lat
-11.691654,-120.5208,38.8577
-24.816654,-120.1582,38.90858
-28.902592,-119.795,38.9581
-11.136967,-120.223,39.19109
-22.004154,-119.8581,39.24089
-5.316654,-120.2885,39.4738
-0.1369667,-119.9218,39.5239
-23.801878,-120.4549,38.57567
-19.817503,-120.094,38.62627
-11.130003,-120.5208,38.8577
-21.958128,-120.1582,38.90858
-34.286255,-119.795,38.9581
-10.661253,-120.223,39.19109
-12.426878,-119.8581,39.24089
-19.075315,-120.2885,39.4738
0.0028095245,-119.9218,39.5239
-66.85562,-120.4549,38.57567
-41.33218,-120.094,38.62627
-15.222805,-120.5208,38.8577
-39.26968,-120.1582,38.90858
-56.89468,-119.795,38.9581
-19.64468,-120.223,39.19109
-21.808743,-119.8581,39.24089
-18.30093,-120.2885,39.4738
-0.36343002,-119.9218,39.5239
-86.31899,-120.4549,38.57567
0.0013179779,-120.094,38.62627
-29.576807,-120.5208,38.8577
-8.764307,-120.1582,38.90858
-50.193993,-119.795,38.9581
-9.436182,-120.223,39.19109
-8.0377445,-119.8581,39.24089
-2.1783695,-120.2885,39.4738
-0.17055702,-119.9218,39.5239
-32.098305,-120.4549,38.57567
-9.418615,-120.094,38.62627
0.0032596588,-120.5208,38.8577
-23.020178,-120.1582,38.90858
-12.543615,-119.795,38.9581
-28.410803,-120.223,39.19109
-12.543615,-119.8581,39.24089
-10.348303,-120.2885,39.4738
0.0032596588,-119.9218,39.5239
-17.665493,-120.4549,38.57567
-0.0014305115,-120.094,38.62627
-0.0014305115,-120.5208,38.8577
-0.0014305115,-120.1582,38.90858
-0.0014305115,-119.795,38.9581
-0.12643051,-120.223,39.19109
-0.0014305115,-119.8581,39.24089
-0.0014305115,-120.2885,39.4738
-0.9233055,-119.9218,39.5239
-13.546438,-120.4549,38.57567
-0.007375717,-120.094,38.62627
-0.007375717,-120.5208,38.8577
-0.007375717,-120.1582,38.90858
-0.007375717,-119.795,38.9581
-0.13237572,-120.223,39.19109
-0.007375717,-119.8581,39.24089
-0.007375717,-120.2885,39.4738
-0.007375717,-119.9218,39.5239
-21.922968,-120.4549,38.57567
-28.86828,-120.094,38.62627
-0.008905411,-120.5208,38.8577
-30.08703,-120.1582,38.90858
-15.05578,-119.795,38.9581
-25.157343,-120.223,39.19109
-21.227655,-119.8581,39.24089
-16.829218,-120.2885,39.4738
-0.6026554,-119.9218,39.5239
-23.4448,-120.4549,38.57567
-18.554174,-120.094,38.62627
0.0005130768,-120.5208,38.8577
-21.608862,-120.1582,38.90858
-26.804174,-119.795,38.9581
-14.491674,-120.223,39.19109
-26.452612,-119.8581,39.24089
