vwnd,lon,lat
-1.9029236,-120.1582,38.90858
-3.908783,-119.795,38.9581
-3.1255798,-120.223,39.19109
-4.4615173,-119.8581,39.24089
-2.5142517,-120.2885,39.4738
-4.4673767,-119.9218,39.5239
-3.9539757,-120.4549,38.57567
2.0811806,-120.094,38.62627
-3.9363976,-120.5208,38.8577
2.0821571,-120.1582,38.90858
-1.1404991,-119.795,38.9581
0.9132118,-120.223,39.19109
-1.8231163,-119.8581,39.24089
1.6016884,-120.2885,39.4738
-1.8240929,-119.9218,39.5239
-3.9007587,-120.4549,38.57567
1.5875225,-120.094,38.62627
-4.3773212,-120.5208,38.8577
1.5914288,-120.1582,38.90858
-2.3704853,-119.795,38.9581
-0.85388374,-120.223,39.19109
-3.3782978,-119.8581,39.24089
-1.2298603,-120.2885,39.4738
-3.3773212,-119.9218,39.5239
-6.1107903,-120.4549,38.57567
-2.0619621,-120.094,38.62627
-4.716259,-120.5208,38.8577
-2.0619621,-120.1582,38.90858
-3.3744621,-119.795,38.9581
-4.381298,-120.223,39.19109
-4.4320793,-119.8581,39.24089
-3.9271965,-120.2885,39.4738
-4.435009,-119.9218,39.5239
-3.527689,-120.4549,38.57567
-0.87729836,-120.094,38.62627
-3.3909702,-120.5208,38.8577
-0.88022804,-120.1582,38.90858
-1.4505405,-119.795,38.9581
-1.4925327,-120.223,39.19109
-2.045267,-119.8581,39.24089
-0.8265171,-120.2885,39.4738
-2.05015,-119.9218,39.5239
-0.89952624,-120.4549,38.57567
1.1961769,-120.094,38.62627
-2.475698,-120.5208,38.8577
1.1961769,-120.1582,38.90858
-0.1426903,-119.795,38.9581
1.4178566,-120.223,39.19109
-0.066518426,-119.8581,39.24089
1.4139503,-120.2885,39.4738
-0.06847155,-119.9218,39.5239
1.7106915,-120.4549,38.57567
1.7399883,-120.094,38.62627
0.73705864,-120.5208,38.8577
1.7419415,-120.1582,38.90858
-0.53930855,-119.795,38.9581
1.5954571,-120.223,39.19109
-0.70630074,-119.8581,39.24089
1.8356915,-120.2885,39.4738
-0.7053242,-119.9218,39.5239
2.3906407,-120.4549,38.57567
1.9306799,-120.094,38.62627
3.1015782,-120.5208,38.8577
1.9316565,-120.1582,38.90858
2.4267735,-119.795,38.9581
2.3740392,-120.223,39.19109
2.9941564,-119.8581,39.24089
1.5742346,-120.2885,39.4738
2.9961095,-119.9218,39.5239
6.8806314,-120.4549,38.57567
3.2136388,-120.094,38.62627
7.9655914,-120.5208,38.8577
3.2136388,-120.1582,38.90858
5.535905,-119.795,38.9581
5.10817,-120.223,39.19109
6.973405,-119.8581,39.24089
3.4597325,-120.2885,39.4738
6.9763346,-119.9218,39.5239
9.630384,-120.4549,38.57567
3.2749162,-120.094,38.62627
10.833509,-120.5208,38.8577
3.2749162,-120.1582,38.90858
7.7202287,-119.795,38.9581
6.8481584,-120.223,39.19109
10.0297985,-119.8581,39.24089
4.1108537,-120.2885,39.4738
10.034681,-119.9218,39.5239
9.705282,-120.4549,38.57567
3.7160244,-120.094,38.62627
10.297079,-120.5208,38.8577
3.7179775,-120.1582,38.90858
8.826376,-119.795,38.9581
