hgt,lon,lat
121.985306,-120.4549,38.57567
126.860306,-120.094,38.62627
124.297806,-120.5208,38.8577
130.7978,-120.1582,38.90858
137.4853,-119.795,38.9581
134.6103,-120.223,39.19109
141.5478,-119.8581,39.24089
139.2353,-120.2885,39.4738
145.4228,-119.9218,39.5239
111.383804,-120.4549,38.57567
116.883804,-120.094,38.62627
113.008804,-120.5208,38.8577
120.508804,-120.1582,38.90858
128.5088,-119.795,38.9581
124.383804,-120.223,39.19109
132.8838,-119.8581,39.24089
129.1963,-120.2885,39.4738
136.8213,-119.9218,39.5239
148.08453,-120.4549,38.57567
150.95953,-120.094,38.62627
148.14703,-120.5208,38.8577
152.52203,-120.1582,38.90858
156.95953,-119.795,38.9581
153.95953,-120.223,39.19109
158.70953,-119.8581,39.24089
155.89703,-120.2885,39.4738
160.27203,-119.9218,39.5239
203.25272,-120.4549,38.57567
205.62772,-120.094,38.62627
203.69022,-120.5208,38.8577
206.50272,-120.1582,38.90858
209.25272,-119.795,38.9581
207.81522,-120.223,39.19109
210.44022,-119.8581,39.24089
209.12772,-120.2885,39.4738
211.81522,-119.9218,39.5239
216.95111,-120.4549,38.57567
217.82611,-120.094,38.62627
217.07611,-120.5208,38.8577
219.07611,-120.1582,38.90858
222.01361,-119.795,38.9581
220.63861,-120.223,39.19109
223.88861,-119.8581,39.24089
221.82611,-120.2885,39.4738
224.82611,-119.9218,39.5239
193.504,-120.4549,38.57567
193.0665,-120.094,38.62627
195.0665,-120.5208,38.8577
195.1915,-120.1582,38.90858
195.254,-119.795,38.9581
197.0665,-120.223,39.19109
197.5665,-119.8581,39.24089
198.1915,-120.2885,39.4738
199.0665,-119.9218,39.5239
178.94202,-120.4549,38.57567
183.87952,-120.094,38.62627
180.31702,-120.5208,38.8577
186.69202,-120.1582,38.90858
193.12952,-119.795,38.9581
189.37952,-120.223,39.19109
195.94202,-119.8581,39.24089
192.87952,-120.2885,39.4738
197.75452,-119.9218,39.5239
189.44989,-120.4549,38.57567
193.13739,-120.094,38.62627
190.63739,-120.5208,38.8577
193.32489,-120.1582,38.90858
195.01239,-119.795,38.9581
193.76239,-120.223,39.19109
194.69989,-119.8581,39.24089
194.57489,-120.2885,39.4738
194.63739,-119.9218,39.5239
201.48111,-120.4549,38.57567
207.54361,-120.094,38.62627
202.35611,-120.5208,38.8577
209.41861,-120.1582,38.90858
216.60611,-119.795,38.9581
211.91861,-120.223,39.19109
218.85611,-119.8581,39.24089
215.29361,-120.2885,39.4738
221.10611,-119.9218,39.5239
158.3512,-120.4549,38.57567
156.9762,-120.094,38.62627
156.7262,-120.5208,38.8577
