shtfl,lon,lat
-11.719208,-119.8581,39.24089
-7.109833,-120.2885,39.4738
-20.836395,-119.9218,39.5239
-9.893982,-120.4549,38.57567
8.973206,-120.094,38.62627
-3.878357,-120.5208,38.8577
5.5200806,-120.1582,38.90858
7.7700806,-119.795,38.9581
3.1294556,-120.223,39.19109
-12.214294,-119.8581,39.24089
2.262268,-120.2885,39.4738
-12.268982,-119.9218,39.5239
14.520233,-120.4549,38.57567
7.520233,-120.094,38.62627
8.067108,-120.5208,38.8577
7.223358,-120.1582,38.90858
19.528046,-119.795,38.9581
0.73898315,-120.223,39.19109
17.035858,-119.8581,39.24089
1.4264832,-120.2885,39.4738
-20.526642,-119.9218,39.5239
26.31659,-120.4549,38.57567
20.605652,-120.094,38.62627
24.207214,-120.5208,38.8577
17.28534,-120.1582,38.90858
26.28534,-119.795,38.9581
6.324402,-120.223,39.19109
22.652527,-119.8581,39.24089
12.761902,-120.2885,39.4738
-4.972473,-119.9218,39.5239
14.722992,-120.4549,38.57567
2.457367,-120.094,38.62627
11.215179,-120.5208,38.8577
-13.269196,-120.1582,38.90858
4.816742,-119.795,38.9581
2.238617,-120.223,39.19109
6.4495544,-119.8581,39.24089
-4.870758,-120.2885,39.4738
-20.292633,-119.9218,39.5239
36.67874,-120.4549,38.57567
28.624054,-120.094,38.62627
30.850616,-120.5208,38.8577
9.264679,-120.1582,38.90858
15.577179,-119.795,38.9581
18.850616,-120.223,39.19109
12.561554,-119.8581,39.24089
0.62405396,-120.2885,39.4738
-27.032196,-119.9218,39.5239
49.843414,-120.4549,38.57567
29.343414,-120.094,38.62627
40.36685,-120.5208,38.8577
15.398102,-120.1582,38.90858
3.2809143,-119.795,38.9581
35.882477,-120.223,39.19109
3.0465393,-119.8581,39.24089
9.202789,-120.2885,39.4738
-20.070648,-119.9218,39.5239
15.490997,-120.4549,38.57567
9.46756,-120.094,38.62627
14.40506,-120.5208,38.8577
-1.4152527,-120.1582,38.90858
-3.0793152,-119.795,38.9581
8.506622,-120.223,39.19109
-3.6183777,-119.8581,39.24089
-4.6965027,-120.2885,39.4738
-3.3371277,-119.9218,39.5239
18.96811,-120.4549,38.57567
22.632172,-120.094,38.62627
14.124359,-120.5208,38.8577
