air,lon,lat
264.5595,-119.8581,39.24089
264.54388,-120.2885,39.4738
270.41107,-119.9218,39.5239
275.90814,-120.4549,38.57567
269.8847,-120.094,38.62627
276.83783,-120.5208,38.8577
270.04877,-120.1582,38.90858
268.01752,-119.795,38.9581
273.05658,-120.223,39.19109
268.15033,-119.8581,39.24089
269.83783,-120.2885,39.4738
270.9394,-119.9218,39.5239
278.24384,-120.4549,38.57567
270.23602,-120.094,38.62627
278.32196,-120.5208,38.8577
270.56415,-120.1582,38.90858
270.05634,-119.795,38.9581
273.5251,-120.223,39.19109
270.12665,-119.8581,39.24089
270.25165,-120.2885,39.4738
271.5407,-119.9218,39.5239
277.65875,-120.4549,38.57567
269.0572,-120.094,38.62627
277.6275,-120.5208,38.8577
269.01813,-120.1582,38.90858
267.45563,-119.795,38.9581
272.83063,-120.223,39.19109
267.54156,-119.8581,39.24089
269.46344,-120.2885,39.4738
269.8228,-119.9218,39.5239
276.22806,-120.4549,38.57567
269.11868,-120.094,38.62627
278.47806,-120.5208,38.8577
270.1343,-120.1582,38.90858
268.32962,-119.795,38.9581
272.60306,-120.223,39.19109
269.59525,-119.8581,39.24089
270.29056,-120.2885,39.4738
270.70462,-119.9218,39.5239
277.3391,-120.4549,38.57567
270.61255,-120.094,38.62627
279.06567,-120.5208,38.8577
272.011,-120.1582,38.90858
269.66724,-119.795,38.9581
273.1516,-120.223,39.19109
271.0735,-119.8581,39.24089
272.18286,-120.2885,39.4738
272.85474,-119.9218,39.5239
277.40555,-120.4549,38.57567
272.78055,-120.094,38.62627
279.0618,-120.5208,38.8577
273.04617,-120.1582,38.90858
269.9915,-119.795,38.9581
273.9993,-120.223,39.19109
271.429,-119.8581,39.24089
272.72586,-120.2885,39.4738
271.9368,-119.9218,39.5239
278.01468,-120.4549,38.57567
271.62405,-120.094,38.62627
277.68655,-120.5208,38.8577
272.43655,-120.1582,38.90858
271.56155,-119.795,38.9581
272.93655,-120.223,39.19109
271.80374,-119.8581,39.24089
272.1553,-120.2885,39.4738
273.3428,-119.9218,39.5239
