wcuflx,lon,lat
8345.791,-119.8581,39.24089
17235.791,-120.2885,39.4738
11083.291,-119.9218,39.5239
70928.195,-120.4549,38.57567
59558.195,-120.094,38.62627
74530.695,-120.5208,38.8577
64270.695,-120.1582,38.90858
45940.695,-119.795,38.9581
63545.695,-120.223,39.19109
48758.195,-119.8581,39.24089
64185.695,-120.2885,39.4738
47368.195,-119.9218,39.5239
65267.055,-120.4549,38.57567
51634.555,-120.094,38.62627
64917.055,-120.5208,38.8577
53079.555,-120.1582,38.90858
44354.555,-119.795,38.9581
56072.055,-120.223,39.19109
44324.555,-119.8581,39.24089
57634.555,-120.2885,39.4738
49664.555,-119.9218,39.5239
39021.05,-120.4549,38.57567
37458.55,-120.094,38.62627
42946.05,-120.5208,38.8577
41483.55,-120.1582,38.90858
41208.55,-119.795,38.9581
46308.55,-120.223,39.19109
45158.55,-119.8581,39.24089
53083.55,-120.2885,39.4738
51208.55,-119.9218,39.5239
26216.887,-120.4549,38.57567
24016.887,-120.094,38.62627
27141.887,-120.5208,38.8577
24991.887,-120.1582,38.90858
23511.887,-119.795,38.9581
26004.387,-120.223,39.19109
24806.887,-119.8581,39.24089
28554.387,-120.2885,39.4738
26586.887,-119.9218,39.5239
88645.6,-120.4549,38.57567
87413.1,-120.094,38.62627
91445.6,-120.5208,38.8577
92893.1,-120.1582,38.90858
82555.61,-119.795,38.9581
96673.1,-120.223,39.19109
87638.11,-119.8581,39.24089
102613.1,-120.2885,39.4738
88545.6,-119.9218,39.5239
20193.42,-120.4549,38.57567
20375.92,-120.094,38.62627
23015.92,-120.5208,38.8577
21050.92,-120.1582,38.90858
19268.42,-119.795,38.9581
25325.92,-120.223,39.19109
19728.42,-119.8581,39.24089
28740.92,-120.2885,39.4738
21693.42,-119.9218,39.5239
59606.656,-120.4549,38.57567
56116.656,-120.094,38.62627
61046.656,-120.5208,38.8577
58167.906,-120.1582,38.90858
55387.906,-119.795,38.9581
60195.406,-120.223,39.19109
56952.906,-119.8581,39.24089
63741.656,-120.2885,39.4738
58377.906,-119.9218,39.5239
95134.36,-120.4549,38.57567
87274.36,-120.094,38.62627
111006.86,-120.5208,38.8577
100656.86,-120.1582,38.90858
87161.86,-119.795,38.9581
108891.86,-120.223,39.19109
95956.86,-119.8581,39.24089
108156.86,-120.2885,39.4738
94161.86,-119.9218,39.5239
35657.766,-120.4549,38.57567
35797.766,-120.094,38.62627
32865.266,-120.5208,38.8577
30392.766,-120.1582,38.90858
30342.766,-119.795,38.9581
25917.766,-120.223,39.19109
27840.266,-119.8581,39.24089
22067.766,-120.2885,39.4738
20157.766,-119.9218,39.5239
8906.621,-120.4549,38.57567
7929.121,-120.094,38.62627
9277.871,-120.5208,38.8577
9494.121,-120.1582,38.90858
9142.871,-119.795,38.9581
10589.121,-120.223,39.19109
9740.371,-119.8581,39.24089
10291.621,-120.2885,39.4738
10186.621,-119.9218,39.5239
6958.625,-120.4549,38.57567
5901.125,-120.094,38.62627
6393.625,-120.5208,38.8577
4326.125,-120.1582,38.90858
4458.625,-119.795,38.9581
3731.125,-120.223,39.19109
4041.125,-119.8581,39.24089
3373.625,-120.2885,39.4738
3993.625,-119.9218,39.5239
-549.02344,-120.4549,38.57567
-2536.5234,-120.094,38.62627
-636.52344,-120.5208,38.8577
-1936.5234,-120.1582,38.90858
-2311.5234,-119.795,38.9581
-949.02344,-120.223,39.19109
-1961.5234,-119.8581,39.24089
-399.02344,-120.2885,39.4738
-736.52344,-119.9218,39.5239
-1185.1172,-120.4549,38.57567
-1260.1172,-120.094,38.62627
-1122.6172,-120.5208,38.8577
-1372.6172,-120.1582,38.90858
-1460.1172,-119.795,38.9581
-1247.6172,-120.223,39.19109
-1672.6172,-119.8581,39.24089
-1072.6172,-120.2885,39.4738
-1547.6172,-119.9218,39.5239
4800.539,-120.4549,38.57567
5300.539,-120.094,38.62627
5588.039,-120.5208,38.8577
6325.539,-120.1582,38.90858
7163.039,-119.795,38.9581
7413.039,-120.223,39.19109
8425.539,-119.8581,39.24089
9025.539,-120.2885,39.4738
10263.039,-119.9218,39.5239
1178.1641,-120.4549,38.57567
-871.83594,-120.094,38.62627
1165.6641,-120.5208,38.8577
-671.83594,-120.1582,38.90858
-1021.83594,-119.795,38.9581
-446.83594,-120.223,39.19109
-1246.8359,-119.8581,39.24089
-1771.8359,-120.2885,39.4738
-1259.3359,-119.9218,39.5239
-877.1875,-120.4549,38.57567
-777.1875,-120.094,38.62627
-702.1875,-120.5208,38.8577
-764.6875,-120.1582,38.90858
-852.1875,-119.795,38.9581
-702.1875,-120.223,39.19109
-827.1875,-119.8581,39.24089
-752.1875,-120.2885,39.4738
-852.1875,-119.9218,39.5239
103.21484,-120.4549,38.57567
48.214844,-120.094,38.62627
193.21484,-120.5208,38.8577
113.21484,-120.1582,38.90858
-21.785156,-119.795,38.9581
220.71484,-120.223,39.19109
143.21484,-119.8581,39.24089
365.71484,-120.2885,39.4738
255.71484,-119.9218,39.5239
3188.3945,-120.4549,38.57567
2800.8945,-120.094,38.62627
3828.3945,-120.5208,38.8577
3320.8945,-120.1582,38.90858
3138.3945,-119.795,38.9581
4370.8945,-120.223,39.19109
4385.8945,-119.8581,39.24089
5510.8945,-120.2885,39.4738
4758.3945,-119.9218,39.5239
