vstm,lon,lat
-11.840753,-120.2885,39.4738
-11.515754,-119.9218,39.5239
-11.745952,-120.4549,38.57567
-11.633453,-120.094,38.62627
-10.370952,-120.5208,38.8577
-11.58345,-120.1582,38.90858
-11.408452,-119.795,38.9581
-10.508451,-120.223,39.19109
-10.833451,-119.8581,39.24089
-10.183451,-120.2885,39.4738
-10.833451,-119.9218,39.5239
-22.418987,-120.4549,38.57567
-21.043983,-120.094,38.62627
-19.406483,-120.5208,38.8577
-21.031483,-120.1582,38.90858
-18.456486,-119.795,38.9581
-18.443985,-120.223,39.19109
-17.768986,-119.8581,39.24089
-17.881485,-120.2885,39.4738
-17.768986,-119.9218,39.5239
-15.243715,-120.4549,38.57567
-15.556215,-120.094,38.62627
-15.143715,-120.5208,38.8577
-15.543716,-120.1582,38.90858
-15.268714,-119.795,38.9581
-15.431214,-120.223,39.19109
-15.5437155,-119.8581,39.24089
-15.743715,-120.2885,39.4738
-15.5437155,-119.9218,39.5239
-0.909992,-120.4549,38.57567
-2.122492,-120.094,38.62627
-1.672492,-120.5208,38.8577
-2.1099923,-120.1582,38.90858
-3.3099926,-119.795,38.9581
-2.8474922,-120.223,39.19109
-3.8224921,-119.8581,39.24089
-3.4849923,-120.2885,39.4738
-3.8224921,-119.9218,39.5239
4.7660007,-120.4549,38.57567
4.5410013,-120.094,38.62627
4.028501,-120.5208,38.8577
4.553501,-120.1582,38.90858
2.8535006,-119.795,38.9581
2.5410004,-120.223,39.19109
2.1785002,-119.8581,39.24089
2.9160006,-120.2885,39.4738
2.1910002,-119.9218,39.5239
-3.4674277,-120.4549,38.57567
-3.942428,-120.094,38.62627
-4.579928,-120.5208,38.8577
-3.942428,-120.1582,38.90858
-4.204928,-119.795,38.9581
-4.492428,-120.223,39.19109
-3.629928,-119.8581,39.24089
-2.129928,-120.2885,39.4738
-3.629928,-119.9218,39.5239
-10.064326,-120.4549,38.57567
-9.376826,-120.094,38.62627
-9.464327,-120.5208,38.8577
-9.376826,-120.1582,38.90858
-8.714327,-119.795,38.9581
-8.864327,-120.223,39.19109
-8.314326,-119.8581,39.24089
-8.326827,-120.2885,39.4738
-8.314326,-119.9218,39.5239
-9.394789,-120.4549,38.57567
-9.557288,-120.094,38.62627
-8.994787,-120.5208,38.8577
-9.557288,-120.1582,38.90858
-10.144788,-119.795,38.9581
-9.507288,-120.223,39.19109
-10.144789,-119.8581,39.24089
-9.494789,-120.2885,39.4738
-10.144789,-119.9218,39.5239
-1.4671302,-120.4549,38.57567
-2.0796306,-120.094,38.62627
-1.8296304,-120.5208,38.8577
-2.0671306,-120.1582,38.90858
-3.6921306,-119.795,38.9581
-2.6171308,-120.223,39.19109
-3.129631,-119.8581,39.24089
-2.1671312,-120.2885,39.4738
-3.129631,-119.9218,39.5239
4.0391006,-120.4549,38.57567
3.9391005,-120.094,38.62627
4.2391005,-120.5208,38.8577
3.9391005,-120.1582,38.90858
