lcdc,lon,lat
0.0,-120.2885,39.4738
0.0,-119.9218,39.5239
0.0,-120.4549,38.57567
0.875,-120.094,38.62627
0.0,-120.5208,38.8577
1.375,-120.1582,38.90858
21.125,-119.795,38.9581
1.5,-120.223,39.19109
13.25,-119.8581,39.24089
0.375,-120.2885,39.4738
29.875,-119.9218,39.5239
0.0,-120.4549,38.57567
0.0,-120.094,38.62627
0.0,-120.5208,38.8577
0.0,-120.1582,38.90858
0.0,-119.795,38.9581
0.0,-120.223,39.19109
0.0,-119.8581,39.24089
0.0,-120.2885,39.4738
0.0,-119.9218,39.5239
0.0,-120.4549,38.57567
0.0,-120.094,38.62627
0.0,-120.5208,38.8577
0.0,-120.1582,38.90858
0.0,-119.795,38.9581
0.0,-120.223,39.19109
0.0,-119.8581,39.24089
0.0,-120.2885,39.4738
0.0,-119.9218,39.5239
0.0,-120.4549,38.57567
0.0,-120.094,38.62627
0.0,-120.5208,38.8577
0.0,-120.1582,38.90858
0.0,-119.795,38.9581
0.0,-120.223,39.19109
0.0,-119.8581,39.24089
0.0,-120.2885,39.4738
0.0,-119.9218,39.5239
0.0,-120.4549,38.57567
0.0,-120.094,38.62627
0.0,-120.5208,38.8577
0.0,-120.1582,38.90858
0.0,-119.795,38.9581
0.0,-120.223,39.19109
0.0,-119.8581,39.24089
0.0,-120.2885,39.4738
0.0,-119.9218,39.5239
22.0,-120.4549,38.57567
5.0,-120.094,38.62627
26.0,-120.5208,38.8577
7.0,-120.1582,38.90858
5.25,-119.795,38.9581
10.75,-120.223,39.19109
8.375,-119.8581,39.24089
7.75,-120.2885,39.4738
1.5,-119.9218,39.5239
91.75,-120.4549,38.57567
21.0,-120.094,38.62627
95.375,-120.5208,38.8577
35.125,-120.1582,38.90858
32.0,-119.795,38.9581
47.375,-120.223,39.19109
48.0,-119.8581,39.24089
31.25,-120.2885,39.4738
23.125,-119.9218,39.5239
82.375,-120.4549,38.57567
17.875,-120.094,38.62627
89.5,-120.5208,38.8577
27.125,-120.1582,38.90858
29.875,-119.795,38.9581
32.625,-120.223,39.19109
41.25,-119.8581,39.24089
24.125,-120.2885,39.4738
43.5,-119.9218,39.5239
19.875,-120.4549,38.57567
2.625,-120.094,38.62627
23.75,-120.5208,38.8577
10.5,-120.1582,38.90858
2.125,-119.795,38.9581
16.625,-120.223,39.19109
0.75,-119.8581,39.24089
12.875,-120.2885,39.4738
5.125,-119.9218,39.5239
88.125,-120.4549,38.57567
18.75,-120.094,38.62627
95.0,-120.5208,38.8577
62.125,-120.1582,38.90858
17.375,-119.795,38.9581
63.875,-120.223,39.19109
23.25,-119.8581,39.24089
54.375,-120.2885,39.4738
33.625,-119.9218,39.5239
47.375,-120.4549,38.57567
9.0,-120.094,38.62627
50.75,-120.5208,38.8577
26.625,-120.1582,38.90858
9.5,-119.795,38.9581
34.75,-120.223,39.19109
24.625,-119.8581,39.24089
35.0,-120.2885,39.4738
25.25,-119.9218,39.5239
0.0,-120.4549,38.57567
0.0,-120.094,38.62627
1.125,-120.5208,38.8577
0.0,-120.1582,38.90858
0.0,-119.795,38.9581
0.0,-120.223,39.19109
0.125,-119.8581,39.24089
0.0,-120.2885,39.4738
1.125,-119.9218,39.5239
3.0,-120.4549,38.57567
0.5,-120.094,38.62627
3.875,-120.5208,38.8577
0.75,-120.1582,38.90858
0.0,-119.795,38.9581
0.0,-120.223,39.19109
0.0,-119.8581,39.24089
0.0,-120.2885,39.4738
0.0,-119.9218,39.5239
0.0,-120.4549,38.57567
0.0,-120.094,38.62627
0.0,-120.5208,38.8577
0.0,-120.1582,38.90858
0.0,-119.795,38.9581
0.0,-120.223,39.19109
0.0,-119.8581,39.24089
0.0,-120.2885,39.4738
0.0,-119.9218,39.5239
21.625,-120.4549,38.57567
3.5,-120.094,38.62627
20.875,-120.5208,38.8577
5.375,-120.1582,38.90858
0.0,-119.795,38.9581
2.25,-120.223,39.19109
0.0,-119.8581,39.24089
1.25,-120.2885,39.4738
0.0,-119.9218,39.5239
74.5,-120.4549,38.57567
15.875,-120.094,38.62627
78.0,-120.5208,38.8577
42.125,-120.1582,38.90858
39.5,-119.795,38.9581
44.625,-120.223,39.19109
39.625,-119.8581,39.24089
33.5,-120.2885,39.4738
27.75,-119.9218,39.5239
91.5,-120.4549,38.57567
24.5,-120.094,38.62627
98.25,-120.5208,38.8577
48.5,-120.1582,38.90858
47.125,-119.795,38.9581
59.0,-120.223,39.19109
55.75,-119.8581,39.24089
44.25,-120.2885,39.4738
59.0,-119.9218,39.5239
87.375,-120.4549,38.57567
28.5,-120.094,38.62627
91.375,-120.5208,38.8577
43.5,-120.1582,38.90858
53.5,-119.795,38.9581
58.875,-120.223,39.19109
73.25,-119.8581,39.24089
47.25,-120.2885,39.4738
43.375,-119.9218,39.5239
64.875,-120.4549,38.57567
15.375,-120.094,38.62627
70.5,-120.5208,38.8577
47.5,-120.1582,38.90858
29.5,-119.795,38.9581
45.625,-120.223,39.19109
32.75,-119.8581,39.24089
45.375,-120.2885,39.4738
37.75,-119.9218,39.5239
35.0,-120.4549,38.57567
8.625,-120.094,38.62627
55.5,-120.5208,38.8577
24.75,-120.1582,38.90858
8.625,-119.795,38.9581
32.75,-120.223,39.19109
9.875,-119.8581,39.24089
27.75,-120.2885,39.4738
15.5,-119.9218,39.5239
45.125,-120.4549,38.57567
15.875,-120.094,38.62627
53.125,-120.5208,38.8577
32.75,-120.1582,38.90858
27.875,-119.795,38.9581
36.625,-120.223,39.19109
30.875,-119.8581,39.24089
27.375,-120.2885,39.4738
25.875,-119.9218,39.5239
81.625,-120.4549,38.57567
28.0,-120.094,38.62627
90.375,-120.5208,38.8577
65.0,-120.1582,38.90858
70.5,-119.795,38.9581
