acpcp,lon,lat
0.001400061,-120.4549,38.57567
0.001400061,-120.094,38.62627
0.001400061,-120.5208,38.8577
0.001400061,-120.1582,38.90858
0.001400061,-119.795,38.9581
0.001400061,-120.223,39.19109
0.001400061,-119.8581,39.24089
0.001400061,-120.2885,39.4738
0.001400061,-119.9218,39.5239
0.5166132,-120.4549,38.57567
0.2978632,-120.094,38.62627
0.1572382,-120.5208,38.8577
0.2509882,-120.1582,38.90858
0.3056757,-119.795,38.9581
0.6572382,-120.223,39.19109
0.2744257,-119.8581,39.24089
0.4384882,-120.2885,39.4738
0.3681757,-119.9218,39.5239
1.796875,-120.4549,38.57567
0.8125,-120.094,38.62627
1.1484375,-120.5208,38.8577
0.59375,-120.1582,38.90858
2.171875,-119.795,38.9581
0.6328125,-120.223,39.19109
1.1328125,-119.8581,39.24089
0.59375,-120.2885,39.4738
3.71875,-119.9218,39.5239
0.0013709234,-120.4549,38.57567
0.0013709234,-120.094,38.62627
0.0013709234,-120.5208,38.8577
0.0013709234,-120.1582,38.90858
0.0013709234,-119.795,38.9581
0.0013709234,-120.223,39.19109
0.0013709234,-119.8581,39.24089
0.0013709234,-120.2885,39.4738
0.0013709234,-119.9218,39.5239
