wvuflx,lon,lat
-207123.5,-120.5208,38.8577
-182998.5,-120.1582,38.90858
-193998.5,-119.795,38.9581
-215623.5,-120.223,39.19109
-228498.5,-119.8581,39.24089
-234998.5,-120.2885,39.4738
-269873.5,-119.9218,39.5239
117842.19,-120.4549,38.57567
207467.19,-120.094,38.62627
156592.19,-120.5208,38.8577
202467.19,-120.1582,38.90858
197342.19,-119.795,38.9581
180717.19,-120.223,39.19109
175217.19,-119.8581,39.24089
155967.19,-120.2885,39.4738
125967.19,-119.9218,39.5239
1185118.8,-120.4549,38.57567
1240618.6,-120.094,38.62627
1288743.6,-120.5208,38.8577
1336118.6,-120.1582,38.90858
1344243.6,-119.795,38.9581
1348868.6,-120.223,39.19109
1363868.6,-119.8581,39.24089
1331493.6,-120.2885,39.4738
1294993.6,-119.9218,39.5239
1440826.2,-120.4549,38.57567
1418826.2,-120.094,38.62627
1540576.2,-120.5208,38.8577
1575701.2,-120.1582,38.90858
1590076.2,-119.795,38.9581
1600576.2,-120.223,39.19109
1678826.2,-119.8581,39.24089
1600576.2,-120.2885,39.4738
1674576.2,-119.9218,39.5239
1704926.2,-120.4549,38.57567
1624301.2,-120.094,38.62627
1739176.2,-120.5208,38.8577
1692176.2,-120.1582,38.90858
1655801.2,-119.795,38.9581
1699676.2,-120.223,39.19109
1663676.2,-119.8581,39.24089
1690801.2,-120.2885,39.4738
1640676.2,-119.9218,39.5239
1387458.0,-120.4549,38.57567
1392833.0,-120.094,38.62627
1599708.0,-120.5208,38.8577
1626208.0,-120.1582,38.90858
1648458.0,-119.795,38.9581
1798833.0,-120.223,39.19109
1822333.0,-119.8581,39.24089
1950583.0,-120.2885,39.4738
1937333.0,-119.9218,39.5239
1206685.0,-120.4549,38.57567
1144060.0,-120.094,38.62627
1301810.0,-120.5208,38.8577
1268935.0,-120.1582,38.90858
1229060.0,-119.795,38.9581
1364060.0,-120.223,39.19109
1339185.0,-119.8581,39.24089
1471560.0,-120.2885,39.4738
1471810.0,-119.9218,39.5239
575715.4,-120.4549,38.57567
532965.4,-120.094,38.62627
562090.4,-120.5208,38.8577
568965.4,-120.1582,38.90858
622340.4,-119.795,38.9581
559090.4,-120.223,39.19109
611465.4,-119.8581,39.24089
532715.4,-120.2885,39.4738
612215.4,-119.9218,39.5239
55042.062,-120.4549,38.57567
57292.062,-120.094,38.62627
45292.062,-120.5208,38.8577
43667.062,-120.1582,38.90858
51167.062,-119.795,38.9581
49667.062,-120.223,39.19109
53667.062,-119.8581,39.24089
57917.062,-120.2885,39.4738
68042.06,-119.9218,39.5239
678709.44,-120.4549,38.57567
684834.44,-120.094,38.62627
765959.44,-120.5208,38.8577
787334.44,-120.1582,38.90858
846959.44,-119.795,38.9581
886959.44,-120.223,39.19109
934459.44,-119.8581,39.24089
994084.44,-120.2885,39.4738
1059834.5,-119.9218,39.5239
121965.75,-120.4549,38.57567
121715.75,-120.094,38.62627
83215.75,-120.5208,38.8577
90590.75,-120.1582,38.90858
102340.75,-119.795,38.9581
63215.75,-120.223,39.19109
75965.75,-119.8581,39.24089
43465.75,-120.2885,39.4738
62715.75,-119.9218,39.5239
54410.062,-120.4549,38.57567
54785.062,-120.094,38.62627
39785.062,-120.5208,38.8577
41660.062,-120.1582,38.90858
47660.062,-119.795,38.9581
32410.062,-120.223,39.19109
40035.062,-119.8581,39.24089
28035.062,-120.2885,39.4738
34535.062,-119.9218,39.5239
-157901.75,-120.4549,38.57567
-160526.75,-120.094,38.62627
-198026.75,-120.5208,38.8577
-197651.75,-120.1582,38.90858
-191901.75,-119.795,38.9581
-218151.75,-120.223,39.19109
-207276.75,-119.8581,39.24089
-230401.75,-120.2885,39.4738
-218776.75,-119.9218,39.5239
536855.5,-120.4549,38.57567
530980.5,-120.094,38.62627
534230.5,-120.5208,38.8577
535105.5,-120.1582,38.90858
535230.5,-119.795,38.9581
530980.5,-120.223,39.19109
535480.5,-119.8581,39.24089
531730.5,-120.2885,39.4738
551980.5,-119.9218,39.5239
710715.4,-120.4549,38.57567
705090.4,-120.094,38.62627
688965.4,-120.5208,38.8577
666715.4,-120.1582,38.90858
639465.4,-119.795,38.9581
644215.4,-120.223,39.19109
617215.4,-119.8581,39.24089
632340.4,-120.2885,39.4738
577840.4,-119.9218,39.5239
521065.5,-120.4549,38.57567
550190.5,-120.094,38.62627
518940.5,-120.5208,38.8577
557190.5,-120.1582,38.90858
599565.5,-119.795,38.9581
556940.5,-120.223,39.19109
601940.5,-119.8581,39.24089
552440.5,-120.2885,39.4738
576315.5,-119.9218,39.5239
103304.47,-120.4549,38.57567
100679.47,-120.094,38.62627
74929.47,-120.5208,38.8577
66179.47,-120.1582,38.90858
47179.47,-119.795,38.9581
38554.47,-120.223,39.19109
21429.469,-119.8581,39.24089
18929.469,-120.2885,39.4738
-10570.531,-119.9218,39.5239
-265023.28,-120.4549,38.57567
-172898.28,-120.094,38.62627
-243273.28,-120.5208,38.8577
-197148.28,-120.1582,38.90858
-183273.28,-119.795,38.9581
-203398.28,-120.223,39.19109
-194773.28,-119.8581,39.24089
-197523.28,-120.2885,39.4738
-207398.28,-119.9218,39.5239
234347.69,-120.4549,38.57567
287847.7,-120.094,38.62627
318472.7,-120.5208,38.8577
332972.7,-120.1582,38.90858
298472.7,-119.795,38.9581
364472.7,-120.223,39.19109
328472.7,-119.8581,39.24089
386347.7,-120.2885,39.4738
327222.7,-119.9218,39.5239
449507.44,-120.4549,38.57567
605007.44,-120.094,38.62627
551007.44,-120.5208,38.8577
652382.44,-120.1582,38.90858
655757.44,-119.795,38.9581
654882.44,-120.223,39.19109
663882.44,-119.8581,39.24089
625007.44,-120.2885,39.4738
611382.44,-119.9218,39.5239
664734.4,-120.4549,38.57567
724359.4,-120.094,38.62627
