tsoil,lon,lat
275.48624,-120.223,39.19109
276.2206,-119.8581,39.24089
274.50186,-120.2885,39.4738
277.30655,-119.9218,39.5239
280.31415,-120.4549,38.57567
274.26727,-120.094,38.62627
278.74384,-120.5208,38.8577
274.17352,-120.1582,38.90858
275.0251,-119.795,38.9581
275.14227,-120.223,39.19109
274.9079,-119.8581,39.24089
274.2829,-120.2885,39.4738
275.69696,-119.9218,39.5239
280.06573,-120.4549,38.57567
274.1673,-120.094,38.62627
278.01105,-120.5208,38.8577
274.08136,-120.1582,38.90858
274.56573,-119.795,38.9581
274.8548,-120.223,39.19109
274.4095,-119.8581,39.24089
274.1048,-120.2885,39.4738
273.44073,-119.9218,39.5239
279.77435,-120.4549,38.57567
274.15717,-120.094,38.62627
277.16498,-120.5208,38.8577
273.88373,-120.1582,38.90858
274.50092,-119.795,38.9581
274.8056,-120.223,39.19109
274.25092,-119.8581,39.24089
273.9228,-120.2885,39.4738
272.6728,-119.9218,39.5239
279.62766,-120.4549,38.57567
274.08078,-120.094,38.62627
276.4714,-120.5208,38.8577
273.26047,-120.1582,38.90858
274.4089,-119.795,38.9581
274.68234,-120.223,39.19109
273.75266,-119.8581,39.24089
272.6511,-120.2885,39.4738
272.13547,-119.9218,39.5239
278.5973,-120.4549,38.57567
274.0504,-120.094,38.62627
277.2848,-120.5208,38.8577
272.95667,-120.1582,38.90858
274.2379,-119.795,38.9581
274.46448,-120.223,39.19109
273.3473,-119.8581,39.24089
272.3473,-120.2885,39.4738
272.4879,-119.9218,39.5239
279.7683,-120.4549,38.57567
274.0183,-120.094,38.62627
278.42456,-120.5208,38.8577
272.9558,-120.1582,38.90858
274.15112,-119.795,38.9581
274.34644,-120.223,39.19109
273.323,-119.8581,39.24089
272.4558,-120.2885,39.4738
272.7605,-119.9218,39.5239
279.4243,-120.4549,38.57567
274.01804,-120.094,38.62627
278.13522,-120.5208,38.8577
272.94772,-120.1582,38.90858
274.15085,-119.795,38.9581
274.32272,-120.223,39.19109
273.2993,-119.8581,39.24089
271.90866,-120.2885,39.4738
271.69772,-119.9218,39.5239
279.00916,-120.4549,38.57567
274.00134,-120.094,38.62627
277.2904,-120.5208,38.8577
272.86072,-120.1582,38.90858
274.13416,-119.795,38.9581
274.30603,-120.223,39.19109
273.23572,-119.8581,39.24089
271.51697,-120.2885,39.4738
271.4076,-119.9218,39.5239
278.62274,-120.4549,38.57567
274.01337,-120.094,38.62627
277.74774,-120.5208,38.8577
272.55243,-120.1582,38.90858
274.13837,-119.795,38.9581
274.19305,-120.223,39.19109
272.69305,-119.8581,39.24089
271.404,-120.2885,39.4738
271.17743,-119.9218,39.5239
278.72168,-120.4549,38.57567
273.99512,-120.094,38.62627
277.30762,-120.5208,38.8577
272.37793,-120.1582,38.90858
274.1123,-119.795,38.9581
273.93262,-120.223,39.19109
272.21387,-119.8581,39.24089
271.49512,-120.2885,39.4738
272.08887,-119.9218,39.5239
278.60397,-120.4549,38.57567
273.9868,-120.094,38.62627
277.0649,-120.5208,38.8577
272.1274,-120.1582,38.90858
274.09616,-119.795,38.9581
273.76022,-120.223,39.19109
272.26804,-119.8581,39.24089
270.83054,-120.2885,39.4738
271.65085,-119.9218,39.5239
278.46976,-120.4549,38.57567
273.96194,-120.094,38.62627
277.3682,-120.5208,38.8577
272.01663,-120.1582,38.90858
274.03226,-119.795,38.9581
273.65726,-120.223,39.19109
272.01663,-119.8581,39.24089
271.71194,-120.2885,39.4738
272.48538,-119.9218,39.5239
278.4115,-120.4549,38.57567
273.9193,-120.094,38.62627
277.7162,-120.5208,38.8577
271.9037,-120.1582,38.90858
274.00525,-119.795,38.9581
273.55994,-120.223,39.19109
270.94275,-119.8581,39.24089
271.01306,-120.2885,39.4738
272.58337,-119.9218,39.5239
278.23236,-120.4549,38.57567
273.873,-120.094,38.62627
279.16986,-120.5208,38.8577
271.99017,-120.1582,38.90858
273.90424,-119.795,38.9581
273.41986,-120.223,39.19109
271.86517,-119.8581,39.24089
271.9433,-120.2885,39.4738
272.77142,-119.9218,39.5239
278.62988,-120.4549,38.57567
273.84082,-120.094,38.62627
280.42676,-120.5208,38.8577
272.333,-120.1582,38.90858
273.833,-119.795,38.9581
273.34082,-120.223,39.19109
272.10645,-119.8581,39.24089
272.25488,-120.2885,39.4738
273.81738,-119.9218,39.5239
279.49576,-120.4549,38.57567
273.76138,-120.094,38.62627
280.56607,-120.5208,38.8577
272.3942,-120.1582,38.90858
273.80826,-119.795,38.9581
273.34732,-120.223,39.19109
272.3942,-119.8581,39.24089
272.402,-120.2885,39.4738
275.37076,-119.9218,39.5239
279.2743,-120.4549,38.57567
273.72742,-120.094,38.62627
280.6493,-120.5208,38.8577
272.5868,-120.1582,38.90858
273.7743,-119.795,38.9581
273.3446,-120.223,39.19109
272.82117,-119.8581,39.24089
272.75085,-120.2885,39.4738
276.28992,-119.9218,39.5239
279.01984,-120.4549,38.57567
273.6839,-120.094,38.62627
278.09796,-120.5208,38.8577
