mcdc,lon,lat
32.375,-119.795,38.9581
42.625,-120.223,39.19109
36.25,-119.8581,39.24089
48.375,-120.2885,39.4738
46.5,-119.9218,39.5239
16.875,-120.4549,38.57567
15.875,-120.094,38.62627
21.0,-120.5208,38.8577
17.625,-120.1582,38.90858
15.125,-119.795,38.9581
20.875,-120.223,39.19109
19.125,-119.8581,39.24089
25.0,-120.2885,39.4738
22.0,-119.9218,39.5239
60.75,-120.4549,38.57567
57.375,-120.094,38.62627
63.5,-120.5208,38.8577
60.125,-120.1582,38.90858
63.375,-119.795,38.9581
63.0,-120.223,39.19109
69.25,-119.8581,39.24089
61.25,-120.2885,39.4738
66.25,-119.9218,39.5239
55.0,-120.4549,38.57567
46.75,-120.094,38.62627
60.0,-120.5208,38.8577
51.875,-120.1582,38.90858
48.625,-119.795,38.9581
56.625,-120.223,39.19109
53.5,-119.8581,39.24089
54.75,-120.2885,39.4738
50.0,-119.9218,39.5239
39.25,-120.4549,38.57567
45.5,-120.094,38.62627
38.25,-120.5208,38.8577
43.375,-120.1582,38.90858
49.875,-119.795,38.9581
42.375,-120.223,39.19109
49.875,-119.8581,39.24089
54.75,-120.2885,39.4738
58.75,-119.9218,39.5239
7.875,-120.4549,38.57567
6.375,-120.094,38.62627
10.0,-120.5208,38.8577
8.125,-120.1582,38.90858
5.625,-119.795,38.9581
8.375,-120.223,39.19109
8.375,-119.8581,39.24089
9.25,-120.2885,39.4738
7.875,-119.9218,39.5239
0.25,-120.4549,38.57567
0.875,-120.094,38.62627
0.125,-120.5208,38.8577
0.5,-120.1582,38.90858
2.0,-119.795,38.9581
1.25,-120.223,39.19109
4.25,-119.8581,39.24089
1.5,-120.2885,39.4738
3.375,-119.9218,39.5239
0.0,-120.4549,38.57567
0.0,-120.094,38.62627
0.0,-120.5208,38.8577
0.0,-120.1582,38.90858
0.0,-119.795,38.9581
0.0,-120.223,39.19109
0.0,-119.8581,39.24089
0.125,-120.2885,39.4738
0.125,-119.9218,39.5239
0.0,-120.4549,38.57567
0.0,-120.094,38.62627
0.0,-120.5208,38.8577
0.0,-120.1582,38.90858
0.0,-119.795,38.9581
0.0,-120.223,39.19109
0.0,-119.8581,39.24089
0.0,-120.2885,39.4738
0.5,-119.9218,39.5239
7.25,-120.4549,38.57567
10.625,-120.094,38.62627
12.125,-120.5208,38.8577
16.75,-120.1582,38.90858
21.25,-119.795,38.9581
23.5,-120.223,39.19109
25.875,-119.8581,39.24089
25.5,-120.2885,39.4738
27.0,-119.9218,39.5239
0.0,-120.4549,38.57567
0.0,-120.094,38.62627
0.0,-120.5208,38.8577
0.0,-120.1582,38.90858
0.0,-119.795,38.9581
0.0,-120.223,39.19109
0.0,-119.8581,39.24089
0.0,-120.2885,39.4738
0.0,-119.9218,39.5239
0.0,-120.4549,38.57567
0.0,-120.094,38.62627
0.0,-120.5208,38.8577
0.0,-120.1582,38.90858
0.0,-119.795,38.9581
0.0,-120.223,39.19109
0.0,-119.8581,39.24089
0.0,-120.2885,39.4738
0.0,-119.9218,39.5239
0.0,-120.4549,38.57567
0.0,-120.094,38.62627
0.0,-120.5208,38.8577
0.0,-120.1582,38.90858
0.0,-119.795,38.9581
0.0,-120.223,39.19109
0.0,-119.8581,39.24089
0.0,-120.2885,39.4738
0.0,-119.9218,39.5239
1.75,-120.4549,38.57567
2.625,-120.094,38.62627
3.5,-120.5208,38.8577
4.375,-120.1582,38.90858
2.625,-119.795,38.9581
5.875,-120.223,39.19109
4.5,-119.8581,39.24089
8.75,-120.2885,39.4738
7.375,-119.9218,39.5239
1.0,-120.4549,38.57567
2.25,-120.094,38.62627
5.0,-120.5208,38.8577
6.125,-120.1582,38.90858
6.5,-119.795,38.9581
14.75,-120.223,39.19109
11.5,-119.8581,39.24089
30.625,-120.2885,39.4738
21.875,-119.9218,39.5239
59.0,-120.4549,38.57567
40.875,-120.094,38.62627
55.25,-120.5208,38.8577
40.875,-120.1582,38.90858
30.125,-119.795,38.9581
39.25,-120.223,39.19109
30.75,-119.8581,39.24089
35.25,-120.2885,39.4738
30.625,-119.9218,39.5239
93.75,-120.4549,38.57567
74.625,-120.094,38.62627
93.125,-120.5208,38.8577
72.875,-120.1582,38.90858
50.25,-119.795,38.9581
65.125,-120.223,39.19109
48.0,-119.8581,39.24089
53.0,-120.2885,39.4738
46.125,-119.9218,39.5239
66.0,-120.4549,38.57567
56.625,-120.094,38.62627
63.125,-120.5208,38.8577
54.875,-120.1582,38.90858
52.375,-119.795,38.9581
61.75,-120.223,39.19109
56.25,-119.8581,39.24089
66.0,-120.2885,39.4738
68.25,-119.9218,39.5239
69.75,-120.4549,38.57567
60.0,-120.094,38.62627
67.875,-120.5208,38.8577
64.875,-120.1582,38.90858
64.75,-119.795,38.9581
69.625,-120.223,39.19109
76.25,-119.8581,39.24089
70.125,-120.2885,39.4738
79.375,-119.9218,39.5239
86.25,-120.4549,38.57567
52.5,-120.094,38.62627
82.5,-120.5208,38.8577
51.0,-120.1582,38.90858
24.875,-119.795,38.9581
49.75,-120.223,39.19109
32.75,-119.8581,39.24089
34.625,-120.2885,39.4738
27.0,-119.9218,39.5239
18.375,-120.4549,38.57567
18.625,-120.094,38.62627
26.25,-120.5208,38.8577
27.25,-120.1582,38.90858
23.5,-119.795,38.9581
33.5,-120.223,39.19109
29.375,-119.8581,39.24089
40.5,-120.2885,39.4738
36.875,-119.9218,39.5239
36.75,-120.4549,38.57567
36.75,-120.094,38.62627
40.75,-120.5208,38.8577
38.25,-120.1582,38.90858
32.375,-119.795,38.9581
37.375,-120.223,39.19109
33.25,-119.8581,39.24089
38.0,-120.2885,39.4738
35.625,-119.9218,39.5239
23.625,-120.4549,38.57567
25.75,-120.094,38.62627
24.625,-120.5208,38.8577
29.5,-120.1582,38.90858
39.25,-119.795,38.9581
32.875,-120.223,39.19109
40.625,-119.8581,39.24089
33.875,-120.2885,39.4738
34.0,-119.9218,39.5239
0.0,-120.4549,38.57567
0.0,-120.094,38.62627
0.0,-120.5208,38.8577
0.0,-120.1582,38.90858
0.0,-119.795,38.9581
0.0,-120.223,39.19109
0.0,-119.8581,39.24089
0.0,-120.2885,39.4738
0.0,-119.9218,39.5239
19.5,-120.4549,38.57567
15.25,-120.094,38.62627
17.375,-120.5208,38.8577
10.875,-120.1582,38.90858
9.0,-119.795,38.9581
7.625,-120.223,39.19109
6.375,-119.8581,39.24089
4.0,-120.2885,39.4738
3.375,-119.9218,39.5239
71.5,-120.4549,38.57567
60.75,-120.094,38.62627
69.625,-120.5208,38.8577
63.25,-120.1582,38.90858
61.75,-119.795,38.9581
63.25,-120.223,39.19109
63.125,-119.8581,39.24089
62.875,-120.2885,39.4738
63.875,-119.9218,39.5239
90.0,-120.4549,38.57567
64.0,-120.094,38.62627
88.75,-120.5208,38.8577
61.125,-120.1582,38.90858
49.5,-119.795,38.9581
67.25,-120.223,39.19109
60.75,-119.8581,39.24089
65.0,-120.2885,39.4738
66.375,-119.9218,39.5239
94.375,-120.4549,38.57567
86.5,-120.094,38.62627
91.375,-120.5208,38.8577
83.25,-120.1582,38.90858
60.875,-119.795,38.9581
80.0,-120.223,39.19109
69.375,-119.8581,39.24089
65.0,-120.2885,39.4738
61.0,-119.9218,39.5239
94.375,-120.4549,38.57567
91.875,-120.094,38.62627
94.375,-120.5208,38.8577
91.625,-120.1582,38.90858
88.125,-119.795,38.9581
93.5,-120.223,39.19109
89.125,-119.8581,39.24089
93.625,-120.2885,39.4738
90.125,-119.9218,39.5239
27.375,-120.4549,38.57567
30.0,-120.094,38.62627
35.125,-120.5208,38.8577
36.375,-120.1582,38.90858
35.0,-119.795,38.9581
43.375,-120.223,39.19109
41.625,-119.8581,39.24089
44.5,-120.2885,39.4738
41.25,-119.9218,39.5239
71.0,-120.4549,38.57567
50.125,-120.094,38.62627
64.0,-120.5208,38.8577
53.5,-120.1582,38.90858
44.25,-119.795,38.9581
54.625,-120.223,39.19109
43.375,-119.8581,39.24089
54.125,-120.2885,39.4738
47.375,-119.9218,39.5239
73.125,-120.4549,38.57567
93.75,-120.094,38.62627
74.375,-120.5208,38.8577
80.125,-120.1582,38.90858
82.25,-119.795,38.9581
77.0,-120.223,39.19109
76.25,-119.8581,39.24089
75.25,-120.2885,39.4738
82.625,-119.9218,39.5239
7.25,-120.4549,38.57567
9.5,-120.094,38.62627
7.25,-120.5208,38.8577
9.5,-120.1582,38.90858
9.875,-119.795,38.9581
12.25,-120.223,39.19109
11.5,-119.8581,39.24089
15.125,-120.2885,39.4738
14.0,-119.9218,39.5239
15.25,-120.4549,38.57567
17.0,-120.094,38.62627
18.75,-120.5208,38.8577
17.375,-120.1582,38.90858
19.5,-119.795,38.9581
20.0,-120.223,39.19109
23.0,-119.8581,39.24089
26.0,-120.2885,39.4738
27.875,-119.9218,39.5239
0.0,-120.4549,38.57567
0.0,-120.094,38.62627
0.0,-120.5208,38.8577
0.0,-120.1582,38.90858
0.0,-119.795,38.9581
0.0,-120.223,39.19109
0.0,-119.8581,39.24089
0.0,-120.2885,39.4738
0.0,-119.9218,39.5239
1.5,-120.4549,38.57567
1.625,-120.094,38.62627
1.875,-120.5208,38.8577
1.75,-120.1582,38.90858
2.0,-119.795,38.9581
1.875,-120.223,39.19109
3.0,-119.8581,39.24089
1.5,-120.2885,39.4738
2.875,-119.9218,39.5239
0.0,-120.4549,38.57567
0.0,-120.094,38.62627
0.0,-120.5208,38.8577
0.0,-120.1582,38.90858
0.0,-119.795,38.9581
0.0,-120.223,39.19109
0.0,-119.8581,39.24089
0.0,-120.2885,39.4738
0.0,-119.9218,39.5239
31.625,-120.4549,38.57567
28.5,-120.094,38.62627
32.125,-120.5208,38.8577
28.125,-120.1582,38.90858
24.875,-119.795,38.9581
26.625,-120.223,39.19109
25.5,-119.8581,39.24089
24.375,-120.2885,39.4738
25.625,-119.9218,39.5239
64.625,-120.4549,38.57567
62.125,-120.094,38.62627
66.875,-120.5208,38.8577
61.375,-120.1582,38.90858
55.625,-119.795,38.9581
59.75,-120.223,39.19109
55.125,-119.8581,39.24089
58.75,-120.2885,39.4738
55.125,-119.9218,39.5239
72.125,-120.4549,38.57567
71.0,-120.094,38.62627
74.375,-120.5208,38.8577
74.625,-120.1582,38.90858
76.125,-119.795,38.9581
74.25,-120.223,39.19109
75.25,-119.8581,39.24089
70.0,-120.2885,39.4738
71.75,-119.9218,39.5239
29.5,-120.4549,38.57567
20.625,-120.094,38.62627
31.0,-120.5208,38.8577
20.5,-120.1582,38.90858
9.875,-119.795,38.9581
17.5,-120.223,39.19109
6.5,-119.8581,39.24089
12.875,-120.2885,39.4738
3.875,-119.9218,39.5239
16.0,-120.4549,38.57567
3.75,-120.094,38.62627
6.375,-120.5208,38.8577
2.25,-120.1582,38.90858
0.375,-119.795,38.9581
1.75,-120.223,39.19109
0.25,-119.8581,39.24089
2.5,-120.2885,39.4738
1.375,-119.9218,39.5239
22.375,-120.4549,38.57567
17.75,-120.094,38.62627
21.875,-120.5208,38.8577
24.625,-120.1582,38.90858
23.0,-119.795,38.9581
29.25,-120.223,39.19109
24.125,-119.8581,39.24089
28.375,-120.2885,39.4738
24.25,-119.9218,39.5239
86.875,-120.4549,38.57567
72.75,-120.094,38.62627
85.625,-120.5208,38.8577
76.5,-120.1582,38.90858
72.0,-119.795,38.9581
81.125,-120.223,39.19109
74.75,-119.8581,39.24089
79.75,-120.2885,39.4738
76.5,-119.9218,39.5239
85.875,-120.4549,38.57567
81.25,-120.094,38.62627
90.875,-120.5208,38.8577
75.25,-120.1582,38.90858
68.5,-119.795,38.9581
79.25,-120.223,39.19109
67.5,-119.8581,39.24089
75.625,-120.2885,39.4738
78.5,-119.9218,39.5239
98.125,-120.4549,38.57567
89.375,-120.094,38.62627
97.125,-120.5208,38.8577
79.375,-120.1582,38.90858
53.75,-119.795,38.9581
69.25,-120.223,39.19109
54.0,-119.8581,39.24089
57.875,-120.2885,39.4738
40.875,-119.9218,39.5239
95.625,-120.4549,38.57567
99.25,-120.094,38.62627
97.625,-120.5208,38.8577
98.75,-120.1582,38.90858
94.75,-119.795,38.9581
98.25,-120.223,39.19109
97.5,-119.8581,39.24089
98.0,-120.2885,39.4738
96.25,-119.9218,39.5239
14.625,-120.4549,38.57567
19.25,-120.094,38.62627
16.375,-120.5208,38.8577
18.125,-120.1582,38.90858
19.0,-119.795,38.9581
18.125,-120.223,39.19109
15.875,-119.8581,39.24089
20.25,-120.2885,39.4738
13.375,-119.9218,39.5239
15.5,-120.4549,38.57567
12.625,-120.094,38.62627
19.375,-120.5208,38.8577
16.875,-120.1582,38.90858
14.0,-119.795,38.9581
19.875,-120.223,39.19109
14.125,-119.8581,39.24089
23.375,-120.2885,39.4738
16.0,-119.9218,39.5239
65.125,-120.4549,38.57567
64.375,-120.094,38.62627
60.125,-120.5208,38.8577
58.875,-120.1582,38.90858
56.75,-119.795,38.9581
55.25,-120.223,39.19109
54.0,-119.8581,39.24089
56.5,-120.2885,39.4738
55.125,-119.9218,39.5239
80.125,-120.4549,38.57567
71.125,-120.094,38.62627
76.125,-120.5208,38.8577
68.75,-120.1582,38.90858
58.625,-119.795,38.9581
66.375,-120.223,39.19109
56.0,-119.8581,39.24089
65.0,-120.2885,39.4738
51.0,-119.9218,39.5239
97.5,-120.4549,38.57567
97.0,-120.094,38.62627
92.75,-120.5208,38.8577
94.25,-120.1582,38.90858
77.875,-119.795,38.9581
89.5,-120.223,39.19109
76.25,-119.8581,39.24089
87.875,-120.2885,39.4738
79.875,-119.9218,39.5239
2.375,-120.4549,38.57567
0.125,-120.094,38.62627
3.75,-120.5208,38.8577
2.375,-120.1582,38.90858
3.0,-119.795,38.9581
7.125,-120.223,39.19109
5.75,-119.8581,39.24089
10.75,-120.2885,39.4738
9.0,-119.9218,39.5239
37.0,-120.4549,38.57567
21.125,-120.094,38.62627
33.0,-120.5208,38.8577
20.875,-120.1582,38.90858
17.5,-119.795,38.9581
19.875,-120.223,39.19109
19.125,-119.8581,39.24089
18.625,-120.2885,39.4738
22.375,-119.9218,39.5239
94.0,-120.4549,38.57567
72.625,-120.094,38.62627
93.375,-120.5208,38.8577
68.5,-120.1582,38.90858
50.625,-119.795,38.9581
66.375,-120.223,39.19109
52.125,-119.8581,39.24089
63.75,-120.2885,39.4738
66.125,-119.9218,39.5239
97.125,-120.4549,38.57567
83.375,-120.094,38.62627
98.25,-120.5208,38.8577
81.0,-120.1582,38.90858
61.375,-119.795,38.9581
80.75,-120.223,39.19109
62.875,-119.8581,39.24089
72.375,-120.2885,39.4738
67.875,-119.9218,39.5239
88.125,-120.4549,38.57567
78.25,-120.094,38.62627
88.75,-120.5208,38.8577
78.75,-120.1582,38.90858
55.0,-119.795,38.9581
73.25,-120.223,39.19109
53.125,-119.8581,39.24089
69.5,-120.2885,39.4738
49.5,-119.9218,39.5239
73.625,-120.4549,38.57567
65.75,-120.094,38.62627
65.875,-120.5208,38.8577
60.375,-120.1582,38.90858
59.875,-119.795,38.9581
68.25,-120.223,39.19109
61.0,-119.8581,39.24089
74.375,-120.2885,39.4738
70.125,-119.9218,39.5239
70.875,-120.4549,38.57567
75.875,-120.094,38.62627
76.875,-120.5208,38.8577
85.125,-120.1582,38.90858
89.75,-119.795,38.9581
88.125,-120.223,39.19109
93.75,-119.8581,39.24089
85.875,-120.2885,39.4738
82.375,-119.9218,39.5239
16.25,-120.4549,38.57567
24.125,-120.094,38.62627
17.375,-120.5208,38.8577
31.0,-120.1582,38.90858
41.875,-119.795,38.9581
25.625,-120.223,39.19109
35.875,-119.8581,39.24089
18.5,-120.2885,39.4738
20.875,-119.9218,39.5239
2.625,-120.4549,38.57567
3.75,-120.094,38.62627
3.0,-120.5208,38.8577
4.0,-120.1582,38.90858
4.75,-119.795,38.9581
4.375,-120.223,39.19109
4.5,-119.8581,39.24089
4.125,-120.2885,39.4738
4.125,-119.9218,39.5239
