uwnd,lon,lat
3.5569015,-120.223,39.19109
3.8332686,-119.8581,39.24089
4.375261,-120.2885,39.4738
3.837175,-119.9218,39.5239
0.39387703,-120.4549,38.57567
-0.7487011,-120.094,38.62627
-0.31315422,-120.5208,38.8577
-0.7487011,-120.1582,38.90858
-3.8082714,-119.795,38.9581
-0.70280266,-120.223,39.19109
-3.3043652,-119.8581,39.24089
0.09407234,-120.2885,39.4738
-3.2994823,-119.9218,39.5239
-2.3281307,-120.4549,38.57567
-2.6191463,-120.094,38.62627
-3.1718807,-120.5208,38.8577
-2.6191463,-120.1582,38.90858
-9.621099,-119.795,38.9581
-2.8369198,-120.223,39.19109
-8.779303,-119.8581,39.24089
-2.49024,-120.2885,39.4738
-8.779303,-119.9218,39.5239
0.30953324,-120.4549,38.57567
0.13668168,-120.094,38.62627
-0.73245895,-120.5208,38.8577
0.13668168,-120.1582,38.90858
-4.197303,-119.795,38.9581
0.22750199,-120.223,39.19109
-4.244178,-119.8581,39.24089
-2.2344122,-120.2885,39.4738
-4.246131,-119.9218,39.5239
-0.19801366,-120.4549,38.57567
1.6789395,-120.094,38.62627
0.45042384,-120.5208,38.8577
1.6779629,-120.1582,38.90858
0.009017587,-119.795,38.9581
1.514877,-120.223,39.19109
0.6262051,-119.8581,39.24089
-1.3610996,-120.2885,39.4738
0.62718165,-119.9218,39.5239
-0.68555236,-120.4549,38.57567
2.2539008,-120.094,38.62627
-0.06934142,-120.5208,38.8577
2.2519476,-120.1582,38.90858
2.4169865,-119.795,38.9581
1.9511664,-120.223,39.19109
2.6064396,-119.8581,39.24089
-0.8271539,-120.2885,39.4738
2.6015568,-119.9218,39.5239
-1.3395634,-120.4549,38.57567
0.7161007,-120.094,38.62627
-0.7917118,-120.5208,38.8577
0.713171,-120.1582,38.90858
2.6858273,-119.795,38.9581
1.2815304,-120.223,39.19109
2.8713741,-119.8581,39.24089
-1.4489384,-120.2885,39.4738
2.8655148,-119.9218,39.5239
-0.34817696,-120.4549,38.57567
2.4145184,-120.094,38.62627
1.1684246,-120.5208,38.8577
2.4135418,-120.1582,38.90858
6.792448,-119.795,38.9581
5.513151,-120.223,39.19109
7.644987,-119.8581,39.24089
1.580534,-120.2885,39.4738
7.638151,-119.9218,39.5239
-1.369173,-120.4549,38.57567
4.4267254,-120.094,38.62627
0.7734051,-120.5208,38.8577
4.4237957,-120.1582,38.90858
9.22653,-119.795,38.9581
6.91696,-120.223,39.19109
9.715788,-119.8581,39.24089
2.0292645,-120.2885,39.4738
9.708952,-119.9218,39.5239
-1.4924493,-120.4549,38.57567
0.08274603,-120.094,38.62627
-1.5608087,-120.5208,38.8577
0.08176947,-120.1582,38.90858
1.3278632,-119.795,38.9581
0.32883978,-120.223,39.19109
1.5915351,-119.8581,39.24089
-1.8000665,-120.2885,39.4738
1.5876288,-119.9218,39.5239
-1.798103,-120.4549,38.57567
