rhum,lon,lat
56.502247,-120.4549,38.57567
48.931934,-120.094,38.62627
52.95537,-120.5208,38.8577
57.13506,-120.1582,38.90858
67.760056,-119.795,38.9581
57.869434,-120.223,39.19109
69.26787,-119.8581,39.24089
66.50224,-120.2885,39.4738
71.947556,-119.9218,39.5239
28.934908,-120.4549,38.57567
35.161472,-120.094,38.62627
20.99741,-120.5208,38.8577
35.177094,-120.1582,38.90858
56.653656,-119.795,38.9581
33.270847,-120.223,39.19109
59.020844,-119.8581,39.24089
40.28647,-120.2885,39.4738
54.81772,-119.9218,39.5239
49.22967,-120.4549,38.57567
42.768734,-120.094,38.62627
43.589046,-120.5208,38.8577
42.018734,-120.1582,38.90858
49.995296,-119.795,38.9581
47.66717,-120.223,39.19109
48.91717,-119.8581,39.24089
45.057796,-120.2885,39.4738
49.339046,-119.9218,39.5239
78.48077,-120.4549,38.57567
77.26983,-120.094,38.62627
84.77764,-120.5208,38.8577
80.97295,-120.1582,38.90858
62.55108,-119.795,38.9581
87.80889,-120.223,39.19109
68.16827,-119.8581,39.24089
83.55108,-120.2885,39.4738
58.199516,-119.9218,39.5239
77.1331,-120.4549,38.57567
55.1331,-120.094,38.62627
82.35185,-120.5208,38.8577
66.50029,-120.1582,38.90858
40.79716,-119.795,38.9581
85.047165,-120.223,39.19109
51.304974,-119.8581,39.24089
70.03935,-120.2885,39.4738
38.625286,-119.9218,39.5239
85.29796,-120.4549,38.57567
88.81358,-120.094,38.62627
93.82921,-120.5208,38.8577
88.09483,-120.1582,38.90858
75.77452,-119.795,38.9581
91.43077,-120.223,39.19109
74.49327,-119.8581,39.24089
87.52452,-120.2885,39.4738
64.39952,-119.9218,39.5239
70.61345,-120.4549,38.57567
61.457203,-120.094,38.62627
74.504074,-120.5208,38.8577
65.54314,-120.1582,38.90858
62.57439,-119.795,38.9581
75.37126,-120.223,39.19109
54.004078,-119.8581,39.24089
68.48845,-120.2885,39.4738
54.82439,-119.9218,39.5239
70.94258,-120.4549,38.57567
59.442585,-120.094,38.62627
72.00508,-120.5208,38.8577
64.20039,-120.1582,38.90858
67.56758,-119.795,38.9581
69.41133,-120.223,39.19109
69.489456,-119.8581,39.24089
71.54415,-120.2885,39.4738
68.47383,-119.9218,39.5239
60.502068,-120.4549,38.57567
27.134878,-120.094,38.62627
60.619255,-120.5208,38.8577
31.42394,-120.1582,38.90858
35.580193,-119.795,38.9581
42.111443,-120.223,39.19109
41.10363,-119.8581,39.24089
35.611443,-120.2885,39.4738
43.75988,-119.9218,39.5239
78.41094,-120.4549,38.57567
70.231255,-120.094,38.62627
83.81719,-120.5208,38.8577
73.45782,-120.1582,38.90858
67.762505,-119.795,38.9581
81.262505,-120.223,39.19109
68.55938,-119.8581,39.24089
75.12188,-120.2885,39.4738
64.887505,-119.9218,39.5239
67.02074,-120.4549,38.57567
49.692604,-120.094,38.62627
60.85667,-120.5208,38.8577
56.723854,-120.1582,38.90858
79.02074,-119.795,38.9581
51.169167,-120.223,39.19109
75.78636,-119.8581,39.24089
54.473854,-120.2885,39.4738
78.075424,-119.9218,39.5239
41.903034,-120.4549,38.57567
46.809284,-120.094,38.62627
41.903034,-120.5208,38.8577
45.44991,-120.1582,38.90858
53.30147,-119.795,38.9581
50.770218,-120.223,39.19109
53.473347,-119.8581,39.24089
49.567097,-120.2885,39.4738
60.27803,-119.9218,39.5239
79.17028,-120.4549,38.57567
92.26403,-120.094,38.62627
83.36559,-120.5208,38.8577
92.63903,-120.1582,38.90858
91.592155,-119.795,38.9581
93.217155,-120.223,39.19109
90.685905,-119.8581,39.24089
92.88122,-120.2885,39.4738
85.935905,-119.9218,39.5239
94.0859,-120.4549,38.57567
91.726524,-120.094,38.62627
86.14059,-120.5208,38.8577
91.90621,-120.1582,38.90858
88.695274,-119.795,38.9581
89.351524,-120.223,39.19109
87.20309,-119.8581,39.24089
91.48434,-120.2885,39.4738
84.5859,-119.9218,39.5239
54.285114,-120.4549,38.57567
56.324177,-120.094,38.62627
42.86324,-120.5208,38.8577
64.12105,-120.1582,38.90858
75.675735,-119.795,38.9581
54.699177,-120.223,39.19109
72.80855,-119.8581,39.24089
62.64449,-120.2885,39.4738
66.09761,-119.9218,39.5239
52.076893,-120.4549,38.57567
65.19408,-120.094,38.62627
48.303455,-120.5208,38.8577
69.8972,-120.1582,38.90858
73.9597,-119.795,38.9581
64.91283,-120.223,39.19109
76.061264,-119.8581,39.24089
77.63158,-120.2885,39.4738
78.748764,-119.9218,39.5239
53.358513,-120.4549,38.57567
66.26476,-120.094,38.62627
48.389763,-120.5208,38.8577
74.030396,-120.1582,38.90858
80.16321,-119.795,38.9581
61.217888,-120.223,39.19109
80.04602,-119.8581,39.24089
78.99133,-120.2885,39.4738
70.94446,-119.9218,39.5239
44.980843,-120.4549,38.57567
56.769905,-120.094,38.62627
40.121468,-120.5208,38.8577
57.871468,-120.1582,38.90858
61.426155,-119.795,38.9581
