wvvflx,lon,lat
1193609.4,-120.223,39.19109
1069359.4,-119.8581,39.24089
1271734.4,-120.2885,39.4738
1169359.4,-119.9218,39.5239
35522.938,-120.4549,38.57567
59772.938,-120.094,38.62627
30647.938,-120.5208,38.8577
25147.938,-120.1582,38.90858
14647.9375,-119.795,38.9581
-6227.0625,-120.223,39.19109
-32602.062,-119.8581,39.24089
-47102.062,-120.2885,39.4738
-98727.06,-119.9218,39.5239
-1020672.3,-120.4549,38.57567
-867047.3,-120.094,38.62627
-1002047.3,-120.5208,38.8577
-868172.3,-120.1582,38.90858
-759547.3,-119.795,38.9581
-866922.3,-120.223,39.19109
-764172.3,-119.8581,39.24089
-869297.3,-120.2885,39.4738
-788047.3,-119.9218,39.5239
-1442176.8,-120.4549,38.57567
-1294801.8,-120.094,38.62627
-1441051.8,-120.5208,38.8577
-1337426.8,-120.1582,38.90858
-1307551.8,-119.795,38.9581
-1389926.8,-120.223,39.19109
-1378301.8,-119.8581,39.24089
-1449926.8,-120.2885,39.4738
-1461426.8,-119.9218,39.5239
-411213.06,-120.4549,38.57567
-338088.06,-120.094,38.62627
-397088.06,-120.5208,38.8577
-344213.06,-120.1582,38.90858
-325338.06,-119.795,38.9581
-344588.06,-120.223,39.19109
-330463.06,-119.8581,39.24089
-343588.06,-120.2885,39.4738
-343213.06,-119.9218,39.5239
-267676.53,-120.4549,38.57567
-245301.53,-120.094,38.62627
-269676.53,-120.5208,38.8577
-254926.53,-120.1582,38.90858
-255176.53,-119.795,38.9581
-269301.53,-120.223,39.19109
-274926.53,-119.8581,39.24089
-290926.53,-120.2885,39.4738
-297301.53,-119.9218,39.5239
-359127.03,-120.4549,38.57567
-359252.03,-120.094,38.62627
-379377.03,-120.5208,38.8577
-379877.03,-120.1582,38.90858
-397502.03,-119.795,38.9581
-408627.03,-120.223,39.19109
-427627.03,-119.8581,39.24089
-437252.03,-120.2885,39.4738
-463127.03,-119.9218,39.5239
-375989.16,-120.4549,38.57567
-384614.16,-120.094,38.62627
-382414.16,-120.5208,38.8577
-393789.16,-120.1582,38.90858
-404589.16,-119.795,38.9581
-407389.16,-120.223,39.19109
-420814.16,-119.8581,39.24089
-427914.16,-120.2885,39.4738
-447764.16,-119.9218,39.5239
-559380.9,-120.4549,38.57567
-555505.9,-120.094,38.62627
-567505.9,-120.5208,38.8577
-550755.9,-120.1582,38.90858
-534755.9,-119.795,38.9581
-554255.9,-120.223,39.19109
-537005.9,-119.8581,39.24089
-558255.9,-120.2885,39.4738
-525005.9,-119.9218,39.5239
-125418.59,-120.4549,38.57567
-155293.6,-120.094,38.62627
-149293.6,-120.5208,38.8577
-180918.6,-120.1582,38.90858
-223293.6,-119.795,38.9581
-209918.6,-120.223,39.19109
-250293.6,-119.8581,39.24089
-239668.6,-120.2885,39.4738
-266543.6,-119.9218,39.5239
10175.8125,-120.4549,38.57567
-40574.188,-120.094,38.62627
15050.8125,-120.5208,38.8577
-19949.188,-120.1582,38.90858
-25824.188,-119.795,38.9581
-3824.1875,-120.223,39.19109
-6074.1875,-119.8581,39.24089
8925.8125,-120.2885,39.4738
21800.812,-119.9218,39.5239
371465.84,-120.4549,38.57567
220715.84,-120.094,38.62627
285590.84,-120.5208,38.8577
202715.84,-120.1582,38.90858
177090.84,-119.795,38.9581
187840.84,-120.223,39.19109
175715.84,-119.8581,39.24089
174465.84,-120.2885,39.4738
191715.84,-119.9218,39.5239
1040379.6,-120.4549,38.57567
655979.6,-120.094,38.62627
1035579.6,-120.5208,38.8577
717929.6,-120.1582,38.90858
561854.6,-119.795,38.9581
779154.7,-120.223,39.19109
626504.6,-119.8581,39.24089
823904.7,-120.2885,39.4738
707279.6,-119.9218,39.5239
2826998.0,-120.4549,38.57567
2169147.8,-120.094,38.62627
2736948.0,-120.5208,38.8577
2245072.8,-120.1582,38.90858
2036472.8,-119.795,38.9581
2275497.8,-120.223,39.19109
2099122.8,-119.8581,39.24089
2271397.8,-120.2885,39.4738
2165372.8,-119.9218,39.5239
1306836.4,-120.4549,38.57567
916161.4,-120.094,38.62627
1244211.4,-120.5208,38.8577
947886.4,-120.1582,38.90858
823111.4,-119.795,38.9581
955311.4,-120.223,39.19109
843336.4,-119.8581,39.24089
939961.4,-120.2885,39.4738
860486.4,-119.9218,39.5239
1157073.5,-120.4549,38.57567
871873.56,-120.094,38.62627
1117373.5,-120.5208,38.8577
924473.56,-120.1582,38.90858
858148.56,-119.795,38.9581
934598.56,-120.223,39.19109
904848.56,-119.8581,39.24089
936973.56,-120.2885,39.4738
920923.56,-119.9218,39.5239
296244.47,-120.4549,38.57567
243494.47,-120.094,38.62627
262369.47,-120.5208,38.8577
231944.47,-120.1582,38.90858
218144.47,-119.795,38.9581
203044.47,-120.223,39.19109
202094.47,-119.8581,39.24089
166294.47,-120.2885,39.4738
168944.47,-119.9218,39.5239
-553683.4,-120.4549,38.57567
-470558.4,-120.094,38.62627
-551933.4,-120.5208,38.8577
-484183.4,-120.1582,38.90858
-435808.4,-119.795,38.9581
-495683.4,-120.223,39.19109
-452058.4,-119.8581,39.24089
-493183.4,-120.2885,39.4738
-473683.4,-119.9218,39.5239
-147579.56,-120.4549,38.57567
-136579.56,-120.094,38.62627
-151829.56,-120.5208,38.8577
-139079.56,-120.1582,38.90858
-127204.56,-119.795,38.9581
-141829.56,-120.223,39.19109
-129079.56,-119.8581,39.24089
-143454.56,-120.2885,39.4738
-134079.56,-119.9218,39.5239
423966.44,-120.4549,38.57567
287341.44,-120.094,38.62627
377216.44,-120.5208,38.8577
276216.44,-120.1582,38.90858
223966.44,-119.795,38.9581
254341.44,-120.223,39.19109
213091.44,-119.8581,39.24089
224841.44,-120.2885,39.4738
200841.44,-119.9218,39.5239
468642.56,-120.4549,38.57567
330892.56,-120.094,38.62627
457892.56,-120.5208,38.8577
348892.56,-120.1582,38.90858
302767.56,-119.795,38.9581
356392.56,-120.223,39.19109
321142.56,-119.8581,39.24089
356142.56,-120.2885,39.4738
332017.56,-119.9218,39.5239
539441.9,-120.4549,38.57567
437316.84,-120.094,38.62627
517691.84,-120.5208,38.8577
451566.84,-120.1582,38.90858
421316.84,-119.795,38.9581
443316.84,-120.223,39.19109
434441.84,-119.8581,39.24089
418941.84,-120.2885,39.4738
414566.84,-119.9218,39.5239
-165718.4,-120.4549,38.57567
-187893.4,-120.094,38.62627
-148793.4,-120.5208,38.8577
-186743.4,-120.1582,38.90858
-195793.4,-119.795,38.9581
-186568.4,-120.223,39.19109
-199818.4,-119.8581,39.24089
-181868.4,-120.2885,39.4738
-192793.4,-119.9218,39.5239
559742.25,-120.4549,38.57567
444367.28,-120.094,38.62627
565492.25,-120.5208,38.8577
456617.28,-120.1582,38.90858
399992.28,-119.795,38.9581
469117.28,-120.223,39.19109
415117.28,-119.8581,39.24089
478117.28,-120.2885,39.4738
429617.28,-119.9218,39.5239
2759737.5,-120.4549,38.57567
2125237.2,-120.094,38.62627
2708487.5,-120.5208,38.8577
2211612.2,-120.1582,38.90858
1953487.2,-119.795,38.9581
2200237.2,-120.223,39.19109
1994612.2,-119.8581,39.24089
2149737.2,-120.2885,39.4738
1985362.2,-119.9218,39.5239
2744395.0,-120.4549,38.57567
2062645.2,-120.094,38.62627
2712770.0,-120.5208,38.8577
2208020.2,-120.1582,38.90858
2024270.2,-119.795,38.9581
2306270.0,-120.223,39.19109
2170645.2,-119.8581,39.24089
2397895.0,-120.2885,39.4738
2319395.0,-119.9218,39.5239
828898.5,-120.4549,38.57567
663273.5,-120.094,38.62627
826023.5,-120.5208,38.8577
705523.5,-120.1582,38.90858
648648.5,-119.795,38.9581
712148.5,-120.223,39.19109
681523.5,-119.8581,39.24089
720148.5,-120.2885,39.4738
697398.5,-119.9218,39.5239
178148.1,-120.4549,38.57567
120898.09,-120.094,38.62627
205898.1,-120.5208,38.8577
137523.1,-120.1582,38.90858
97023.09,-119.795,38.9581
140148.1,-120.223,39.19109
100148.09,-119.8581,39.24089
130398.09,-120.2885,39.4738
91898.09,-119.9218,39.5239
-2964.875,-120.4549,38.57567
-10714.875,-120.094,38.62627
-4464.875,-120.5208,38.8577
-23589.875,-120.1582,38.90858
-41339.875,-119.795,38.9581
-44839.875,-120.223,39.19109
-63214.875,-119.8581,39.24089
-70089.875,-120.2885,39.4738
-91839.875,-119.9218,39.5239
-249074.78,-120.4549,38.57567
-193449.78,-120.094,38.62627
-250199.78,-120.5208,38.8577
-203449.78,-120.1582,38.90858
-188699.78,-119.795,38.9581
-217449.78,-120.223,39.19109
-201449.78,-119.8581,39.24089
-231074.78,-120.2885,39.4738
-221824.78,-119.9218,39.5239
-430915.75,-120.4549,38.57567
-387540.75,-120.094,38.62627
-447540.75,-120.5208,38.8577
-407040.75,-120.1582,38.90858
-392665.75,-119.795,38.9581
-430790.75,-120.223,39.19109
-418540.75,-119.8581,39.24089
-452165.75,-120.2885,39.4738
-452290.75,-119.9218,39.5239
-439675.78,-120.4549,38.57567
-387050.78,-120.094,38.62627
-432300.78,-120.5208,38.8577
-396925.78,-120.1582,38.90858
-388550.78,-119.795,38.9581
-411425.78,-120.223,39.19109
-406175.78,-119.8581,39.24089
-422300.78,-120.2885,39.4738
-425800.78,-119.9218,39.5239
-217267.9,-120.4549,38.57567
-150392.9,-120.094,38.62627
-215267.9,-120.5208,38.8577
-168517.9,-120.1582,38.90858
-161642.9,-119.795,38.9581
-185267.9,-120.223,39.19109
-179642.9,-119.8581,39.24089
-199267.9,-120.2885,39.4738
-207642.9,-119.9218,39.5239
-273983.28,-120.4549,38.57567
-253158.28,-120.094,38.62627
-276708.28,-120.5208,38.8577
-255408.28,-120.1582,38.90858
-240508.28,-119.795,38.9581
-260608.28,-120.223,39.19109
-245308.28,-119.8581,39.24089
-264983.28,-120.2885,39.4738
-252783.28,-119.9218,39.5239
-254683.28,-120.4549,38.57567
-233683.28,-120.094,38.62627
-244933.28,-120.5208,38.8577
-235558.28,-120.1582,38.90858
-224558.28,-119.795,38.9581
-232808.28,-120.223,39.19109
-226308.28,-119.8581,39.24089
-225558.28,-120.2885,39.4738
-220558.28,-119.9218,39.5239
