pres,lon,lat
86384.65,-120.5208,38.8577
79134.65,-120.1582,38.90858
79134.65,-119.795,38.9581
79384.65,-120.223,39.19109
79559.65,-119.8581,39.24089
78409.65,-120.2885,39.4738
81634.65,-119.9218,39.5239
86890.96,-120.4549,38.57567
77415.96,-120.094,38.62627
86678.46,-120.5208,38.8577
79440.96,-120.1582,38.90858
79440.96,-119.795,38.9581
79728.46,-120.223,39.19109
79840.96,-119.8581,39.24089
78740.96,-120.2885,39.4738
81890.96,-119.9218,39.5239
86935.9,-120.4549,38.57567
77485.9,-120.094,38.62627
86698.4,-120.5208,38.8577
79485.9,-120.1582,38.90858
79435.9,-119.795,38.9581
79710.9,-120.223,39.19109
79823.4,-119.8581,39.24089
78660.9,-120.2885,39.4738
81823.4,-119.9218,39.5239
86855.56,-120.4549,38.57567
77318.06,-120.094,38.62627
86618.06,-120.5208,38.8577
79405.56,-120.1582,38.90858
79368.06,-119.795,38.9581
79618.06,-120.223,39.19109
79768.06,-119.8581,39.24089
78655.56,-120.2885,39.4738
81830.56,-119.9218,39.5239
86985.08,-120.4549,38.57567
77597.58,-120.094,38.62627
86785.08,-120.5208,38.8577
79672.58,-120.1582,38.90858
79672.58,-119.795,38.9581
79885.08,-120.223,39.19109
80085.08,-119.8581,39.24089
78960.08,-120.2885,39.4738
82122.58,-119.9218,39.5239
86987.94,-120.4549,38.57567
77625.44,-120.094,38.62627
86812.94,-120.5208,38.8577
79612.94,-120.1582,38.90858
79475.44,-119.795,38.9581
79787.94,-120.223,39.19109
79900.44,-119.8581,39.24089
78750.44,-120.2885,39.4738
81837.94,-119.9218,39.5239
86837.8,-120.4549,38.57567
77425.3,-120.094,38.62627
86612.8,-120.5208,38.8577
79412.8,-120.1582,38.90858
79375.3,-119.795,38.9581
79625.3,-120.223,39.19109
79725.3,-119.8581,39.24089
78562.8,-120.2885,39.4738
81725.3,-119.9218,39.5239
87267.055,-120.4549,38.57567
77954.555,-120.094,38.62627
87067.055,-120.5208,38.8577
79942.055,-120.1582,38.90858
79892.055,-119.795,38.9581
80129.555,-120.223,39.19109
80304.555,-119.8581,39.24089
79129.555,-120.2885,39.4738
82279.555,-119.9218,39.5239
87607.31,-120.4549,38.57567
78044.81,-120.094,38.62627
87369.81,-120.5208,38.8577
