weasd,lon,lat
14.098633,-120.223,39.19109
5.5234375,-119.8581,39.24089
31.414062,-120.2885,39.4738
5.024414,-119.9218,39.5239
0.0,-120.4549,38.57567
32.692383,-120.094,38.62627
0.0,-120.5208,38.8577
7.498047,-120.1582,38.90858
27.026367,-119.795,38.9581
12.513672,-120.223,39.19109
12.047852,-119.8581,39.24089
29.641602,-120.2885,39.4738
2.3134766,-119.9218,39.5239
0.0,-120.4549,38.57567
30.266602,-120.094,38.62627
0.0,-120.5208,38.8577
6.998047,-120.1582,38.90858
26.708008,-119.795,38.9581
7.3808594,-120.223,39.19109
16.670898,-119.8581,39.24089
27.589844,-120.2885,39.4738
2.7832031,-119.9218,39.5239
0.0,-120.4549,38.57567
31.129883,-120.094,38.62627
0.0,-120.5208,38.8577
7.1123047,-120.1582,38.90858
23.642578,-119.795,38.9581
5.560547,-120.223,39.19109
9.697266,-119.8581,39.24089
24.77832,-120.2885,39.4738
0.44140625,-119.9218,39.5239
0.0,-120.4549,38.57567
57.046875,-120.094,38.62627
0.0,-120.5208,38.8577
17.632812,-120.1582,38.90858
24.358398,-119.795,38.9581
9.793945,-120.223,39.19109
8.822266,-119.8581,39.24089
41.001953,-120.2885,39.4738
0.43066406,-119.9218,39.5239
0.0048828125,-120.4549,38.57567
61.780273,-120.094,38.62627
0.028320312,-120.5208,38.8577
25.141602,-120.1582,38.90858
26.791992,-119.795,38.9581
9.551758,-120.223,39.19109
14.236328,-119.8581,39.24089
46.08496,-120.2885,39.4738
0.0,-119.9218,39.5239
0.044921875,-120.4549,38.57567
54.222656,-120.094,38.62627
0.03125,-120.5208,38.8577
22.886719,-120.1582,38.90858
28.359375,-119.795,38.9581
16.146484,-120.223,39.19109
12.544922,-119.8581,39.24089
40.9209,-120.2885,39.4738
0.018554688,-119.9218,39.5239
0.0,-120.4549,38.57567
42.65918,-120.094,38.62627
0.0,-120.5208,38.8577
24.544922,-120.1582,38.90858
43.051758,-119.795,38.9581
15.763672,-120.223,39.19109
6.2939453,-119.8581,39.24089
