dpt,lon,lat
273.74683,-120.4549,38.57567
263.615,-120.094,38.62627
273.0349,-120.5208,38.8577
265.2683,-120.1582,38.90858
266.55444,-119.795,38.9581
268.16968,-120.223,39.19109
267.00366,-119.8581,39.24089
265.5642,-120.2885,39.4738
268.6726,-119.9218,39.5239
269.95764,-120.4549,38.57567
254.86977,-120.094,38.62627
267.5807,-120.5208,38.8577
256.6637,-120.1582,38.90858
260.12366,-119.795,38.9581
261.82874,-120.223,39.19109
260.22522,-119.8581,39.24089
258.5387,-120.2885,39.4738
265.36975,-119.9218,39.5239
266.0574,-120.4549,38.57567
249.09154,-120.094,38.62627
263.75076,-120.5208,38.8577
252.80052,-120.1582,38.90858
256.25854,-119.795,38.9581
260.1033,-120.223,39.19109
258.115,-119.8581,39.24089
256.15308,-120.2885,39.4738
263.70193,-119.9218,39.5239
268.74014,-120.4549,38.57567
260.07608,-120.094,38.62627
268.121,-120.5208,38.8577
260.49698,-120.1582,38.90858
258.70596,-119.795,38.9581
264.32315,-120.223,39.19109
261.65225,-119.8581,39.24089
262.26163,-120.2885,39.4738
264.3212,-119.9218,39.5239
276.983,-120.4549,38.57567
266.80136,-120.094,38.62627
276.60703,-120.5208,38.8577
267.98593,-120.1582,38.90858
265.70078,-119.795,38.9581
271.21445,-120.223,39.19109
267.49667,-119.8581,39.24089
268.60605,-120.2885,39.4738
267.84238,-119.9218,39.5239
275.66998,-120.4549,38.57567
264.7774,-120.094,38.62627
275.43268,-120.5208,38.8577
267.0069,-120.1582,38.90858
265.82037,-119.795,38.9581
269.75592,-120.223,39.19109
267.93073,-119.8581,39.24089
267.94733,-120.2885,39.4738
268.79498,-119.9218,39.5239
271.78723,-120.4549,38.57567
262.50012,-120.094,38.62627
272.38196,-120.5208,38.8577
263.87317,-120.1582,38.90858
259.7921,-119.795,38.9581
267.6886,-120.223,39.19109
260.3097,-119.8581,39.24089
264.54407,-120.2885,39.4738
263.87512,-119.9218,39.5239
273.71008,-120.4549,38.57567
262.15735,-120.094,38.62627
273.86438,-120.5208,38.8577
263.31555,-120.1582,38.90858
258.96594,-119.795,38.9581
269.0011,-120.223,39.19109
262.05286,-119.8581,39.24089
263.92004,-120.2885,39.4738
262.6847,-119.9218,39.5239
276.2862,-120.4549,38.57567
268.08405,-120.094,38.62627
275.34674,-120.5208,38.8577
269.2149,-120.1582,38.90858
270.48444,-119.795,38.9581
270.169,-120.223,39.19109
270.2647,-119.8581,39.24089
268.87604,-120.2885,39.4738
271.128,-119.9218,39.5239
273.11176,-120.4549,38.57567
264.5854,-120.094,38.62627
272.12152,-120.5208,38.8577
265.92523,-120.1582,38.90858
268.25043,-119.795,38.9581
266.75043,-120.223,39.19109
268.64496,-119.8581,39.24089
265.5395,-120.2885,39.4738
270.11176,-119.9218,39.5239
272.53033,-120.4549,38.57567
260.93658,-120.094,38.62627
271.29596,-120.5208,38.8577
261.3985,-120.1582,38.90858
260.58112,-119.795,38.9581
264.41022,-120.223,39.19109
262.25006,-119.8581,39.24089
261.77252,-120.2885,39.4738
264.69342,-119.9218,39.5239
268.99948,-120.4549,38.57567
261.34714,-120.094,38.62627
267.73288,-120.5208,38.8577
263.08737,-120.1582,38.90858
263.5532,-119.795,38.9581
263.80905,-120.223,39.19109
264.87155,-119.8581,39.24089
262.55222,-120.2885,39.4738
265.1909,-119.9218,39.5239
267.00345,-120.4549,38.57567
257.06595,-120.094,38.62627
265.52786,-120.5208,38.8577
259.73,-120.1582,38.90858
261.78275,-119.795,38.9581
260.93607,-120.223,39.19109
263.97122,-119.8581,39.24089
259.56595,-120.2885,39.4738
264.89017,-119.9218,39.5239
265.8332,-120.4549,38.57567
259.77655,-120.094,38.62627
264.76093,-120.5208,38.8577
259.62128,-120.1582,38.90858
260.3742,-119.795,38.9581
262.32245,-120.223,39.19109
261.88788,-119.8581,39.24089
260.4533,-120.2885,39.4738
263.63593,-119.9218,39.5239
271.3967,-120.4549,38.57567
264.96017,-120.094,38.62627
271.3293,-120.5208,38.8577
266.051,-120.1582,38.90858
266.35666,-119.795,38.9581
268.2385,-120.223,39.19109
266.13986,-119.8581,39.24089
266.28537,-120.2885,39.4738
266.8264,-119.9218,39.5239
274.59366,-120.4549,38.57567
266.03506,-120.094,38.62627
273.68155,-120.5208,38.8577
267.55948,-120.1582,38.90858
267.4081,-119.795,38.9581
269.0507,-120.223,39.19109
269.74112,-119.8581,39.24089
268.17667,-120.2885,39.4738
270.99796,-119.9218,39.5239
270.99103,-120.4549,38.57567
264.06915,-120.094,38.62627
270.14044,-120.5208,38.8577
266.45392,-120.1582,38.90858
266.28204,-119.795,38.9581
267.20294,-120.223,39.19109
268.576,-119.8581,39.24089
265.96368,-120.2885,39.4738
269.92755,-119.9218,39.5239
