ustm,lon,lat
-6.901765,-120.1582,38.90858
-6.589265,-119.795,38.9581
-6.4892645,-120.223,39.19109
-6.0517645,-119.8581,39.24089
-6.026764,-120.2885,39.4738
-6.0517645,-119.9218,39.5239
2.0729594,-120.4549,38.57567
1.8854592,-120.094,38.62627
2.235459,-120.5208,38.8577
1.8854592,-120.1582,38.90858
2.697959,-119.795,38.9581
2.410459,-120.223,39.19109
2.935459,-119.8581,39.24089
3.0729592,-120.2885,39.4738
2.935459,-119.9218,39.5239
13.011065,-120.4549,38.57567
13.448565,-120.094,38.62627
13.773564,-120.5208,38.8577
13.461063,-120.1582,38.90858
14.861065,-119.795,38.9581
14.236065,-120.223,39.19109
14.586063,-119.8581,39.24089
13.873566,-120.2885,39.4738
14.586063,-119.9218,39.5239
22.484213,-120.4549,38.57567
23.109213,-120.094,38.62627
23.409212,-120.5208,38.8577
23.109213,-120.1582,38.90858
23.271711,-119.795,38.9581
23.846714,-120.223,39.19109
24.021713,-119.8581,39.24089
24.934214,-120.2885,39.4738
24.059214,-119.9218,39.5239
28.097137,-120.4549,38.57567
28.972137,-120.094,38.62627
28.272137,-120.5208,38.8577
28.972137,-120.1582,38.90858
28.784637,-119.795,38.9581
28.884636,-120.223,39.19109
29.159637,-119.8581,39.24089
29.484636,-120.2885,39.4738
29.172138,-119.9218,39.5239
27.456202,-120.4549,38.57567
28.118702,-120.094,38.62627
26.2187,-120.5208,38.8577
28.131203,-120.1582,38.90858
27.0312,-119.795,38.9581
26.293703,-120.223,39.19109
25.968699,-119.8581,39.24089
25.3312,-120.2885,39.4738
25.9812,-119.9218,39.5239
14.502797,-120.4549,38.57567
13.302798,-120.094,38.62627
10.865298,-120.5208,38.8577
13.315298,-120.1582,38.90858
10.452798,-119.795,38.9581
9.752798,-120.223,39.19109
8.6652975,-119.8581,39.24089
8.365299,-120.2885,39.4738
8.6652975,-119.9218,39.5239
4.410424,-120.4549,38.57567
3.285424,-120.094,38.62627
2.472924,-120.5208,38.8577
3.285424,-120.1582,38.90858
1.2229238,-119.795,38.9581
1.4604237,-120.223,39.19109
0.82292366,-119.8581,39.24089
