pottmp,lon,lat
297.77896,-120.1582,38.90858
294.02115,-119.795,38.9581
294.66177,-120.223,39.19109
294.38052,-119.8581,39.24089
296.9899,-120.2885,39.4738
290.46643,-119.9218,39.5239
291.2379,-120.4549,38.57567
296.8629,-120.094,38.62627
291.3551,-120.5208,38.8577
296.00354,-120.1582,38.90858
294.9254,-119.795,38.9581
293.52698,-120.223,39.19109
295.20667,-119.8581,39.24089
295.4723,-120.2885,39.4738
292.77698,-119.9218,39.5239
289.34192,-120.4549,38.57567
294.92786,-120.094,38.62627
289.3888,-120.5208,38.8577
294.21692,-120.1582,38.90858
294.27942,-119.795,38.9581
291.93567,-120.223,39.19109
294.2638,-119.8581,39.24089
294.19348,-120.2885,39.4738
292.56848,-119.9218,39.5239
289.0176,-120.4549,38.57567
295.2598,-120.094,38.62627
289.4473,-120.5208,38.8577
293.61136,-120.1582,38.90858
289.96292,-119.795,38.9581
291.8848,-120.223,39.19109
290.6348,-119.8581,39.24089
293.54886,-120.2885,39.4738
289.5176,-119.9218,39.5239
289.3601,-120.4549,38.57567
299.28198,-120.094,38.62627
290.00854,-120.5208,38.8577
297.8523,-120.1582,38.90858
291.71948,-119.795,38.9581
294.01636,-120.223,39.19109
292.68042,-119.8581,39.24089
297.4773,-120.2885,39.4738
289.31323,-119.9218,39.5239
288.85345,-120.4549,38.57567
296.1894,-120.094,38.62627
288.86908,-120.5208,38.8577
294.93158,-120.1582,38.90858
293.0644,-119.795,38.9581
291.66595,-120.223,39.19109
293.70502,-119.8581,39.24089
294.15033,-120.2885,39.4738
291.08783,-119.9218,39.5239
290.8158,-120.4549,38.57567
298.1908,-120.094,38.62627
291.05017,-120.5208,38.8577
297.21423,-120.1582,38.90858
295.5736,-119.795,38.9581
294.53455,-120.223,39.19109
295.74548,-119.8581,39.24089
296.8158,-120.2885,39.4738
295.12048,-119.9218,39.5239
290.46927,-120.4549,38.57567
297.9302,-120.094,38.62627
290.27396,-120.5208,38.8577
296.18802,-120.1582,38.90858
295.39114,-119.795,38.9581
293.16458,-120.223,39.19109
295.08646,-119.8581,39.24089
295.20364,-120.2885,39.4738
293.5474,-119.9218,39.5239
288.05508,-120.4549,38.57567
294.43008,-120.094,38.62627
288.1879,-120.5208,38.8577
293.32852,-120.1582,38.90858
293.2582,-119.795,38.9581
291.48477,-120.223,39.19109
292.82852,-119.8581,39.24089
293.11758,-120.2885,39.4738
291.41446,-119.9218,39.5239
284.51675,-120.4549,38.57567
289.12613,-120.094,38.62627
284.75894,-120.5208,38.8577
288.27457,-120.1582,38.90858
288.30582,-119.795,38.9581
286.7902,-120.223,39.19109
288.36832,-119.8581,39.24089
288.173,-120.2885,39.4738
287.21207,-119.9218,39.5239
284.0432,-120.4549,38.57567
290.11353,-120.094,38.62627
284.89478,-120.5208,38.8577
287.9104,-120.1582,38.90858
284.2854,-119.795,38.9581
287.67603,-120.223,39.19109
284.3557,-119.8581,39.24089
287.73853,-120.2885,39.4738
283.7932,-119.9218,39.5239
287.16443,-120.4549,38.57567
295.35193,-120.094,38.62627
288.49255,-120.5208,38.8577
293.10974,-120.1582,38.90858
287.21912,-119.795,38.9581
291.93005,-120.223,39.19109
287.516,-119.8581,39.24089
292.63318,-120.2885,39.4738
284.61755,-119.9218,39.5239
288.52985,-120.4549,38.57567
293.48297,-120.094,38.62627
288.61578,-120.5208,38.8577
292.85016,-120.1582,38.90858
289.57672,-119.795,38.9581
290.82672,-120.223,39.19109
