tsoil,lon,lat
278.10388,-120.4549,38.57567
273.50232,-120.094,38.62627
277.2367,-120.5208,38.8577
273.6117,-120.1582,38.90858
273.43982,-119.795,38.9581
273.31482,-120.223,39.19109
272.57263,-119.8581,39.24089
271.6117,-120.2885,39.4738
272.932,-119.9218,39.5239
279.03162,-120.4549,38.57567
273.50037,-120.094,38.62627
278.74255,-120.5208,38.8577
273.60974,-120.1582,38.90858
273.43787,-119.795,38.9581
273.32068,-120.223,39.19109
272.84412,-119.8581,39.24089
271.61755,-120.2885,39.4738
272.96912,-119.9218,39.5239
279.44073,-120.4549,38.57567
273.50323,-120.094,38.62627
278.597,-120.5208,38.8577
273.6048,-120.1582,38.90858
273.44073,-119.795,38.9581
273.32355,-120.223,39.19109
273.12823,-119.8581,39.24089
271.8001,-120.2885,39.4738
275.00323,-119.9218,39.5239
279.67804,-120.4549,38.57567
273.49054,-120.094,38.62627
278.9046,-120.5208,38.8577
273.61554,-120.1582,38.90858
273.42804,-119.795,38.9581
273.3499,-120.223,39.19109
273.0999,-119.8581,39.24089
271.87335,-120.2885,39.4738
273.55304,-119.9218,39.5239
278.86023,-120.4549,38.57567
273.50085,-120.094,38.62627
279.43054,-120.5208,38.8577
273.61023,-120.1582,38.90858
273.2118,-119.795,38.9581
273.98523,-120.223,39.19109
271.94617,-119.8581,39.24089
272.6571,-120.2885,39.4738
273.0868,-119.9218,39.5239
280.82022,-120.4549,38.57567
273.4921,-120.094,38.62627
278.83585,-120.5208,38.8577
273.60147,-120.1582,38.90858
273.19522,-119.795,38.9581
273.95303,-120.223,39.19109
272.10928,-119.8581,39.24089
272.66397,-120.2885,39.4738
273.20303,-119.9218,39.5239
277.8353,-120.4549,38.57567
273.49936,-120.094,38.62627
277.88217,-120.5208,38.8577
273.60092,-120.1582,38.90858
273.18686,-119.795,38.9581
273.93686,-120.223,39.19109
271.2806,-119.8581,39.24089
272.67123,-120.2885,39.4738
272.93686,-119.9218,39.5239
278.13968,-120.4549,38.57567
273.50687,-120.094,38.62627
277.085,-120.5208,38.8577
273.5928,-120.1582,38.90858
273.20218,-119.795,38.9581
273.86624,-120.223,39.19109
270.5225,-119.8581,39.24089
272.66312,-120.2885,39.4738
272.74905,-119.9218,39.5239
278.28342,-120.4549,38.57567
273.50217,-120.094,38.62627
277.7756,-120.5208,38.8577
273.59592,-120.1582,38.90858
273.18967,-119.795,38.9581
273.82248,-120.223,39.19109
271.4631,-119.8581,39.24089
272.66623,-120.2885,39.4738
272.9631,-119.9218,39.5239
276.99268,-120.4549,38.57567
273.49268,-120.094,38.62627
276.4536,-120.5208,38.8577
273.60205,-120.1582,38.90858
273.18018,-119.795,38.9581
273.813,-120.223,39.19109
271.16455,-119.8581,39.24089
