wcconv,lon,lat
0.088568926,-119.795,38.9581
0.20671892,-120.223,39.19109
0.143394,-119.8581,39.24089
0.217269,-120.2885,39.4738
0.176619,-119.9218,39.5239
0.27231887,-120.4549,38.57567
0.2728189,-120.094,38.62627
0.09326893,-120.5208,38.8577
0.29151884,-120.1582,38.90858
0.21616885,-119.795,38.9581
0.17461893,-120.223,39.19109
0.22446892,-119.8581,39.24089
0.17891887,-120.2885,39.4738
0.096769005,-119.9218,39.5239
0.030211091,-120.4549,38.57567
0.045960903,-120.094,38.62627
-0.11846393,-120.5208,38.8577
0.026285946,-120.1582,38.90858
0.015960991,-119.795,38.9581
0.167786,-120.223,39.19109
0.115060985,-119.8581,39.24089
0.28693593,-120.2885,39.4738
0.05773598,-119.9218,39.5239
-0.22242391,-120.4549,38.57567
0.63357604,-120.094,38.62627
-0.4662739,-120.5208,38.8577
1.2413261,-120.1582,38.90858
1.358926,-119.795,38.9581
0.826951,-120.223,39.19109
0.8465761,-119.8581,39.24089
1.2802511,-120.2885,39.4738
0.8454511,-119.9218,39.5239
-0.3624423,-120.4549,38.57567
0.08520764,-120.094,38.62627
-0.8738672,-120.5208,38.8577
0.08620763,-120.1582,38.90858
0.5468327,-119.795,38.9581
0.11675763,-120.223,39.19109
0.52805763,-119.8581,39.24089
0.2246576,-120.2885,39.4738
0.3270327,-119.9218,39.5239
-0.10442686,-120.4549,38.57567
0.0011732578,-120.094,38.62627
0.036173105,-120.5208,38.8577
-0.026026964,-120.1582,38.90858
-0.0059268475,-119.795,38.9581
0.015723169,-120.223,39.19109
0.027998209,-119.8581,39.24089
-0.009726822,-120.2885,39.4738
0.01322329,-119.9218,39.5239
0.044440985,-120.4549,38.57567
0.039240956,-120.094,38.62627
0.049515963,-120.5208,38.8577
0.047041,-120.1582,38.90858
0.020691097,-119.795,38.9581
0.054065883,-120.223,39.19109
-0.004934013,-119.8581,39.24089
0.050665855,-120.2885,39.4738
0.017340899,-119.9218,39.5239
0.38502938,-120.4549,38.57567
0.54297936,-120.094,38.62627
0.21537942,-120.5208,38.8577
0.7603294,-120.1582,38.90858
0.5654795,-119.795,38.9581
0.5064294,-120.223,39.19109
0.55377954,-119.8581,39.24089
0.6622795,-120.2885,39.4738
0.47722942,-119.9218,39.5239
0.0317744,-120.4549,38.57567
0.4916243,-120.094,38.62627
-0.6855256,-120.5208,38.8577
0.6970993,-120.1582,38.90858
1.0500494,-119.795,38.9581
0.72157437,-120.223,39.19109
1.3353745,-119.8581,39.24089
1.2769742,-120.2885,39.4738
1.3469992,-119.9218,39.5239
0.08285281,-120.4549,38.57567
0.26667768,-120.094,38.62627
-0.27504724,-120.5208,38.8577
0.33865267,-120.1582,38.90858
0.4364277,-119.795,38.9581
0.42105272,-120.223,39.19109
0.5418027,-119.8581,39.24089
0.5282779,-120.2885,39.4738
0.6239028,-119.9218,39.5239
-0.8023351,-120.4549,38.57567
0.22676498,-120.094,38.62627
-1.017285,-120.5208,38.8577
0.083739996,-120.1582,38.90858
0.34228992,-119.795,38.9581
0.17899007,-120.223,39.19109
0.44266504,-119.8581,39.24089
0.11341506,-120.2885,39.4738
0.49738985,-119.9218,39.5239
-0.12037295,-120.4549,38.57567
-0.11632311,-120.094,38.62627
-0.26999807,-120.5208,38.8577
0.05810201,-120.1582,38.90858
0.09640205,-119.795,38.9581
0.08975202,-120.223,39.19109
0.25347698,-119.8581,39.24089
0.11460191,-120.2885,39.4738
0.12035203,-119.9218,39.5239
0.017746836,-120.4549,38.57567
0.0063468516,-120.094,38.62627
-0.009028226,-120.5208,38.8577
0.028871894,-120.1582,38.90858
0.018871784,-119.795,38.9581
0.020796776,-120.223,39.19109
0.018521786,-119.8581,39.24089
0.06417173,-120.2885,39.4738
0.025346756,-119.9218,39.5239
-0.0006006956,-120.4549,38.57567
0.060099304,-120.094,38.62627
0.005399227,-120.5208,38.8577
0.010099173,-120.1582,38.90858
0.01667428,-119.795,38.9581
0.03649926,-120.223,39.19109
0.05252421,-119.8581,39.24089
0.039974272,-120.2885,39.4738
0.035724163,-119.9218,39.5239
0.17671573,-120.4549,38.57567
0.58554083,-120.094,38.62627
0.13369071,-120.5208,38.8577
0.44369078,-120.1582,38.90858
0.1844908,-119.795,38.9581
0.30099076,-120.223,39.19109
0.022990763,-119.8581,39.24089
