wcinc,lon,lat
-0.00016117096,-119.9218,39.5239
-0.043407798,-120.4549,38.57567
-0.00240767,-120.094,38.62627
-0.068407774,-120.5208,38.8577
-0.0032827854,-120.1582,38.90858
-0.00028276443,-119.795,38.9581
-0.0017827749,-120.223,39.19109
-0.00015771389,-119.8581,39.24089
-0.0021576881,-120.2885,39.4738
0.00046730042,-119.9218,39.5239
-0.005379319,-120.4549,38.57567
-0.00037932396,-120.094,38.62627
-0.00812912,-120.5208,38.8577
0.0007455349,-120.1582,38.90858
0.00024569035,-119.795,38.9581
0.0016206503,-120.223,39.19109
-0.00025427341,-119.8581,39.24089
0.0016207695,-120.2885,39.4738
-0.00012934208,-119.9218,39.5239
1.66893e-05,-120.4549,38.57567
1.66893e-05,-120.094,38.62627
1.66893e-05,-120.5208,38.8577
1.66893e-05,-120.1582,38.90858
1.66893e-05,-119.795,38.9581
1.66893e-05,-120.223,39.19109
1.66893e-05,-119.8581,39.24089
1.66893e-05,-120.2885,39.4738
1.66893e-05,-119.9218,39.5239
-0.00018799305,-120.4549,38.57567
-0.00018799305,-120.094,38.62627
-0.00018799305,-120.5208,38.8577
-0.00018799305,-120.1582,38.90858
-0.00018799305,-119.795,38.9581
-0.00018799305,-120.223,39.19109
-0.00018799305,-119.8581,39.24089
-0.00018799305,-120.2885,39.4738
-0.00018799305,-119.9218,39.5239
0.05723214,-120.4549,38.57567
0.18735719,-120.094,38.62627
-0.011892796,-120.5208,38.8577
0.100607276,-120.1582,38.90858
0.015732408,-119.795,38.9581
0.023482323,-120.223,39.19109
0.005482435,-119.8581,39.24089
0.009357214,-120.2885,39.4738
0.0037323236,-119.9218,39.5239
0.21026707,-120.4549,38.57567
0.17226708,-120.094,38.62627
0.27001703,-120.5208,38.8577
0.20189166,-120.1582,38.90858
0.045517087,-119.795,38.9581
0.19501674,-120.223,39.19109
0.011516809,-119.8581,39.24089
0.09964204,-120.2885,39.4738
0.017641783,-119.9218,39.5239
0.027958155,-120.4549,38.57567
0.009708405,-120.094,38.62627
0.008208513,-120.5208,38.8577
-0.0012916327,-120.1582,38.90858
-0.012791514,-119.795,38.9581
0.0018335581,-120.223,39.19109
-0.0020416975,-119.8581,39.24089
0.0009584427,-120.2885,39.4738
-0.00091683865,-119.9218,39.5239
-0.022037745,-120.4549,38.57567
8.72612e-05,-120.094,38.62627
-0.013412952,-120.5208,38.8577
0.003337264,-120.1582,38.90858
0.003337264,-119.795,38.9581
0.00046217442,-120.223,39.19109
0.0023372173,-119.8581,39.24089
-0.0010377169,-120.2885,39.4738
0.00021231174,-119.9218,39.5239
-0.00018239021,-120.4549,38.57567
6.759167e-05,-120.094,38.62627
0.0005675554,-120.5208,38.8577
-5.733967e-05,-120.1582,38.90858
-0.00018239021,-119.795,38.9581
-0.00018239021,-120.223,39.19109
-0.00030744076,-119.8581,39.24089
-0.00018239021,-120.2885,39.4738
-0.00018239021,-119.9218,39.5239
0.002856493,-120.4549,38.57567
0.00235641,-120.094,38.62627
0.0042313337,-120.5208,38.8577
0.0022313595,-120.1582,38.90858
0.0067312717,-119.795,38.9581
