gflux,lon,lat
2.2956161,-120.223,39.19109
2.9596786,-119.8581,39.24089
1.6471786,-120.2885,39.4738
3.9987411,-119.9218,39.5239
9.808449,-120.4549,38.57567
0.8318863,-120.094,38.62627
9.714699,-120.5208,38.8577
3.8240738,-120.1582,38.90858
1.7850113,-119.795,38.9581
5.9881363,-120.223,39.19109
0.9646988,-119.8581,39.24089
1.3553238,-120.2885,39.4738
-4.2618637,-119.9218,39.5239
2.341301,-120.4549,38.57567
0.64598846,-120.094,38.62627
2.8491135,-120.5208,38.8577
1.8959885,-120.1582,38.90858
1.310051,-119.795,38.9581
4.091301,-120.223,39.19109
1.591301,-119.8581,39.24089
0.77098846,-120.2885,39.4738
-2.4633865,-119.9218,39.5239
5.213352,-120.4549,38.57567
2.7758522,-120.094,38.62627
8.432102,-120.5208,38.8577
5.3617897,-120.1582,38.90858
4.728977,-119.795,38.9581
10.83054,-120.223,39.19109
10.150852,-119.8581,39.24089
4.494602,-120.2885,39.4738
21.689915,-119.9218,39.5239
6.21541,-120.4549,38.57567
3.4966602,-120.094,38.62627
10.30916,-120.5208,38.8577
5.1294727,-120.1582,38.90858
4.80916,-119.795,38.9581
5.6450977,-120.223,39.19109
11.488848,-119.8581,39.24089
2.3872852,-120.2885,39.4738
12.309162,-119.9218,39.5239
0.9245186,-120.4549,38.57567
0.7838936,-120.094,38.62627
-1.6379814,-120.5208,38.8577
2.0651436,-120.1582,38.90858
1.2526436,-119.795,38.9581
2.307331,-120.223,39.19109
10.666706,-119.8581,39.24089
1.2213936,-120.2885,39.4738
-11.122356,-119.9218,39.5239
-10.086262,-120.4549,38.57567
0.13248825,-120.094,38.62627
-8.250324,-120.5208,38.8577
-3.0159492,-120.1582,38.90858
0.38248825,-119.795,38.9581
-4.6409492,-120.223,39.19109
-3.1409492,-119.8581,39.24089
0.49967575,-120.2885,39.4738
-22.594074,-119.9218,39.5239
7.2849216,-120.4549,38.57567
0.26148415,-120.094,38.62627
7.527109,-120.5208,38.8577
0.55835915,-120.1582,38.90858
0.47242165,-119.795,38.9581
3.4255466,-120.223,39.19109
1.4021091,-119.8581,39.24089
2.6833591,-120.2885,39.4738
3.2927341,-119.9218,39.5239
5.814995,-120.4549,38.57567
0.9321823,-120.094,38.62627
7.2603073,-120.5208,38.8577
1.2759323,-120.1582,38.90858
1.0337448,-119.795,38.9581
11.283745,-120.223,39.19109
1.9712448,-119.8581,39.24089
9.36187,-120.2885,39.4738
9.096245,-119.9218,39.5239
11.936615,-120.4549,38.57567
2.0694275,-120.094,38.62627
11.3819275,-120.5208,38.8577
2.092865,-120.1582,38.90858
2.1006775,-119.795,38.9581
16.405365,-120.223,39.19109
33.725677,-119.8581,39.24089
19.42099,-120.2885,39.4738
30.569427,-119.9218,39.5239
23.16018,-120.4549,38.57567
2.3554916,-120.094,38.62627
26.480492,-120.5208,38.8577
2.7773666,-120.1582,38.90858
3.1836166,-119.795,38.9581
32.582054,-120.223,39.19109
9.496117,-119.8581,39.24089
35.09768,-120.2885,39.4738
35.64455,-119.9218,39.5239
8.386507,-120.4549,38.57567
1.870882,-120.094,38.62627
11.42557,-120.5208,38.8577
2.3005695,-120.1582,38.90858
2.8318195,-119.795,38.9581
29.199005,-120.223,39.19109
10.26932,-119.8581,39.24089
25.542757,-120.2885,39.4738
18.183382,-119.9218,39.5239
-8.8759,-120.4549,38.57567
1.7490997,-120.094,38.62627
-7.555588,-120.5208,38.8577
3.1006622,-120.1582,38.90858
2.5147247,-119.795,38.9581
3.6865997,-120.223,39.19109
13.5616,-119.8581,39.24089
15.90535,-120.2885,39.4738
5.9522247,-119.9218,39.5239
-8.781385,-120.4549,38.57567
1.6717396,-120.094,38.62627
-11.92201,-120.5208,38.8577
2.7342396,-120.1582,38.90858
2.101427,-119.795,38.9581
0.7108021,-120.223,39.19109
13.85924,-119.8581,39.24089
6.945177,-120.2885,39.4738
0.5623646,-119.9218,39.5239
-0.3159256,-120.4549,38.57567
1.7231369,-120.094,38.62627
-2.4878006,-120.5208,38.8577
1.7621994,-120.1582,38.90858
2.504387,-119.795,38.9581
1.4496994,-120.223,39.19109
2.113762,-119.8581,39.24089
2.0121994,-120.2885,39.4738
-5.4096756,-119.9218,39.5239
3.429285,-120.4549,38.57567
1.8120975,-120.094,38.62627
3.4683475,-120.5208,38.8577
1.8120975,-120.1582,38.90858
3.19491,-119.795,38.9581
0.74959755,-120.223,39.19109
-21.234777,-119.8581,39.24089
2.0152225,-120.2885,39.4738
-11.547277,-119.9218,39.5239
7.003977,-120.4549,38.57567
1.9883518,-120.094,38.62627
7.113352,-120.5208,38.8577
1.2383518,-120.1582,38.90858
2.6602268,-119.795,38.9581
0.8633518,-120.223,39.19109
-1.2382107,-119.8581,39.24089
2.6680393,-120.2885,39.4738
-3.3397732,-119.9218,39.5239
2.161644,-120.4549,38.57567
1.4663315,-120.094,38.62627
3.3725815,-120.5208,38.8577
0.958519,-120.1582,38.90858
1.1069565,-119.795,38.9581
1.302269,-120.223,39.19109
0.646019,-119.8581,39.24089
2.3882065,-120.2885,39.4738
-1.244606,-119.9218,39.5239
10.040968,-120.4549,38.57567
3.025343,-120.094,38.62627
11.876905,-120.5208,38.8577
3.2987804,-120.1582,38.90858
5.822218,-119.795,38.9581
4.0331554,-120.223,39.19109
13.869095,-119.8581,39.24089
5.5331554,-120.2885,39.4738
19.181595,-119.9218,39.5239
16.12145,-120.4549,38.57567
3.941763,-120.094,38.62627
15.723013,-120.5208,38.8577
3.207388,-120.1582,38.90858
9.051138,-119.795,38.9581
3.0589504,-120.223,39.19109
27.105825,-119.8581,39.24089
7.113638,-120.2885,39.4738
27.699575,-119.9218,39.5239
1.4464893,-120.4549,38.57567
3.6183643,-120.094,38.62627
7.7746143,-120.5208,38.8577
3.0558643,-120.1582,38.90858
7.9933643,-119.795,38.9581
2.8605518,-120.223,39.19109
30.399614,-119.8581,39.24089
6.766802,-120.2885,39.4738
15.813677,-119.9218,39.5239
11.004147,-120.4549,38.57567
4.2853966,-120.094,38.62627
8.769772,-120.5208,38.8577
3.965084,-120.1582,38.90858
8.691647,-119.795,38.9581
2.996334,-120.223,39.19109
23.496334,-119.8581,39.24089
7.636959,-120.2885,39.4738
16.496334,-119.9218,39.5239
0.7227249,-120.4549,38.57567
3.1446,-120.094,38.62627
0.18366241,-120.5208,38.8577
3.30085,-120.1582,38.90858
8.308662,-119.795,38.9581
2.23835,-120.223,39.19109
6.9961624,-119.8581,39.24089
5.347725,-120.2885,39.4738
3.8946,-119.9218,39.5239
-5.7406483,-120.4549,38.57567
2.3452892,-120.094,38.62627
-8.764086,-120.5208,38.8577
1.9937267,-120.1582,38.90858
2.6577892,-119.795,38.9581
0.89997673,-120.223,39.19109
-6.2718983,-119.8581,39.24089
1.5406017,-120.2885,39.4738
-8.264086,-119.9218,39.5239
0.68302155,-120.4549,38.57567
1.143959,-120.094,38.62627
-0.62166595,-120.5208,38.8577
1.9798965,-120.1582,38.90858
1.0736465,-119.795,38.9581
0.97989655,-120.223,39.19109
-2.856041,-119.8581,39.24089
2.3392715,-120.2885,39.4738
-10.793541,-119.9218,39.5239
-0.7670593,-120.4549,38.57567
1.4282532,-120.094,38.62627
-3.0248718,-120.5208,38.8577
2.2173157,-120.1582,38.90858
2.4204407,-119.795,38.9581
1.8891907,-120.223,39.19109
8.897005,-119.8581,39.24089
3.3423157,-120.2885,39.4738
7.85013,-119.9218,39.5239
2.0489464,-120.4549,38.57567
0.7286339,-120.094,38.62627
0.6739464,-120.5208,38.8577
1.1426964,-120.1582,38.90858
1.0801964,-119.795,38.9581
-0.08386612,-120.223,39.19109
-28.701054,-119.8581,39.24089
-1.4432411,-120.2885,39.4738
-26.966679,-119.9218,39.5239
-2.3901691,-120.4549,38.57567
1.1098309,-120.094,38.62627
-0.65579414,-120.5208,38.8577
2.2426434,-120.1582,38.90858
1.8520184,-119.795,38.9581
1.7192059,-120.223,39.19109
1.6098328,-119.8581,39.24089
3.1567059,-120.2885,39.4738
10.461395,-119.9218,39.5239
2.4766102,-120.4549,38.57567
1.2891102,-120.094,38.62627
-0.46870232,-120.5208,38.8577
2.1641102,-120.1582,38.90858
2.1250477,-119.795,38.9581
