snom,lon,lat
1.3837891,-120.223,39.19109
0.5986328,-119.8581,39.24089
0.921875,-120.2885,39.4738
0.028320312,-119.9218,39.5239
0.0078125,-120.4549,38.57567
0.068359375,-120.094,38.62627
0.0087890625,-120.5208,38.8577
0.21386719,-120.1582,38.90858
0.40722656,-119.795,38.9581
0.8535156,-120.223,39.19109
0.3544922,-119.8581,39.24089
0.21191406,-120.2885,39.4738
0.0,-119.9218,39.5239
0.015625,-120.4549,38.57567
0.0,-120.094,38.62627
0.0048828125,-120.5208,38.8577
0.02734375,-120.1582,38.90858
0.12695312,-119.795,38.9581
0.64746094,-120.223,39.19109
0.08691406,-119.8581,39.24089
0.034179688,-120.2885,39.4738
0.015625,-119.9218,39.5239
0.0,-120.4549,38.57567
1.2167969,-120.094,38.62627
0.0029296875,-120.5208,38.8577
1.2890625,-120.1582,38.90858
0.73828125,-119.795,38.9581
1.2265625,-120.223,39.19109
0.57910156,-119.8581,39.24089
1.1523438,-120.2885,39.4738
0.0,-119.9218,39.5239
0.0078125,-120.4549,38.57567
0.0,-120.094,38.62627
0.0087890625,-120.5208,38.8577
0.07324219,-120.1582,38.90858
0.35253906,-119.795,38.9581
0.93652344,-120.223,39.19109
