wvconv,lon,lat
-0.53296304,-119.8581,39.24089
-1.8393629,-120.2885,39.4738
0.36903667,-119.9218,39.5239
4.781337,-120.4549,38.57567
0.23653698,-120.094,38.62627
4.6005363,-120.5208,38.8577
2.202137,-120.1582,38.90858
2.3589368,-119.795,38.9581
1.6101372,-120.223,39.19109
2.0613368,-119.8581,39.24089
1.1237369,-120.2885,39.4738
1.6709368,-119.9218,39.5239
0.010674357,-120.4549,38.57567
-0.015724778,-120.094,38.62627
0.099475026,-120.5208,38.8577
0.08267498,-120.1582,38.90858
0.070675135,-119.795,38.9581
-0.062125444,-120.223,39.19109
0.04907465,-119.8581,39.24089
-0.10772538,-120.2885,39.4738
-0.1309253,-119.9218,39.5239
1.2465484,-120.4549,38.57567
0.99974847,-120.094,38.62627
1.528548,-120.5208,38.8577
1.2393475,-120.1582,38.90858
1.1493478,-119.795,38.9581
1.1561477,-120.223,39.19109
1.0465484,-119.8581,39.24089
0.84934783,-120.2885,39.4738
0.99614835,-119.9218,39.5239
-0.743742,-120.4549,38.57567
-0.6857424,-120.094,38.62627
-1.1533422,-120.5208,38.8577
-0.87254214,-120.1582,38.90858
-0.42814302,-119.795,38.9581
-1.2861416,-120.223,39.19109
-0.5597427,-119.8581,39.24089
-1.1557417,-120.2885,39.4738
-0.70694256,-119.9218,39.5239
1.0278181,-120.4549,38.57567
0.9930178,-120.094,38.62627
0.68341815,-120.5208,38.8577
0.9614178,-120.1582,38.90858
1.0954176,-119.795,38.9581
0.80661833,-120.223,39.19109
1.2742177,-119.8581,39.24089
1.0586182,-120.2885,39.4738
1.3166183,-119.9218,39.5239
1.5603683,-120.4549,38.57567
-1.6756316,-120.094,38.62627
1.2703681,-120.5208,38.8577
-1.4336317,-120.1582,38.90858
-1.5900321,-119.795,38.9581
-2.6140318,-120.223,39.19109
-2.6372318,-119.8581,39.24089
-4.4836316,-120.2885,39.4738
-1.8148315,-119.9218,39.5239
1.2435515,-120.4549,38.57567
-0.77764845,-120.094,38.62627
0.13955164,-120.5208,38.8577
-0.49804807,-120.1582,38.90858
-0.07564831,-119.795,38.9581
-0.42244864,-120.223,39.19109
0.082351446,-119.8581,39.24089
-0.6504483,-120.2885,39.4738
0.30315185,-119.9218,39.5239
-1.0706326,-120.4549,38.57567
-0.114632845,-120.094,38.62627
-0.22623277,-120.5208,38.8577
-0.2786324,-120.1582,38.90858
-0.3358326,-119.795,38.9581
-0.17143273,-120.223,39.19109
-0.31263256,-119.8581,39.24089
-0.34463263,-120.2885,39.4738
-0.3134327,-119.9218,39.5239
0.36081195,-120.4549,38.57567
0.34121203,-120.094,38.62627
0.32481194,-120.5208,38.8577
0.5008118,-120.1582,38.90858
0.33641195,-119.795,38.9581
0.52681184,-120.223,39.19109
0.2636118,-119.8581,39.24089
0.596812,-120.2885,39.4738
0.29801178,-119.9218,39.5239
1.8422116,-120.4549,38.57567
0.74421155,-120.094,38.62627
1.3074125,-120.5208,38.8577
