lftx4,lon,lat
3.3456104,-119.8581,39.24089
3.5581105,-120.2885,39.4738
3.5456104,-119.9218,39.5239
7.173148,-120.4549,38.57567
3.9981477,-120.094,38.62627
7.0856476,-120.5208,38.8577
5.6981473,-120.1582,38.90858
5.5106473,-119.795,38.9581
5.3356476,-120.223,39.19109
5.5856476,-119.8581,39.24089
5.5356474,-120.2885,39.4738
6.698148,-119.9218,39.5239
10.848917,-120.4549,38.57567
5.961417,-120.094,38.62627
10.836417,-120.5208,38.8577
7.1364164,-120.1582,38.90858
7.6239176,-119.795,38.9581
7.236417,-120.223,39.19109
8.111417,-119.8581,39.24089
6.8864164,-120.2885,39.4738
9.073916,-119.9218,39.5239
9.880258,-120.4549,38.57567
5.7302585,-120.094,38.62627
9.642758,-120.5208,38.8577
6.5052586,-120.1582,38.90858
6.5927587,-119.795,38.9581
6.405258,-120.223,39.19109
6.905258,-119.8581,39.24089
5.5552583,-120.2885,39.4738
7.480258,-119.9218,39.5239
8.556472,-120.4549,38.57567
5.5439725,-120.094,38.62627
8.218972,-120.5208,38.8577
6.0064726,-120.1582,38.90858
6.4314723,-119.795,38.9581
5.781472,-120.223,39.19109
6.7064724,-119.8581,39.24089
5.4314723,-120.2885,39.4738
6.818973,-119.9218,39.5239
7.1010447,-120.4549,38.57567
3.6260445,-120.094,38.62627
6.9885445,-120.5208,38.8577
3.9135447,-120.1582,38.90858
4.5010443,-119.795,38.9581
3.9385445,-120.223,39.19109
4.9010444,-119.8581,39.24089
3.7010443,-120.2885,39.4738
5.6510444,-119.9218,39.5239
5.214702,-120.4549,38.57567
2.9647021,-120.094,38.62627
5.1272025,-120.5208,38.8577
3.364702,-120.1582,38.90858
3.677202,-119.795,38.9581
3.0647018,-120.223,39.19109
3.889702,-119.8581,39.24089
3.077202,-120.2885,39.4738
4.102202,-119.9218,39.5239
7.3121634,-120.4549,38.57567
4.5496635,-120.094,38.62627
7.2246633,-120.5208,38.8577
6.174664,-120.1582,38.90858
5.574664,-119.795,38.9581
5.512164,-120.223,39.19109
5.4996634,-119.8581,39.24089
5.4621634,-120.2885,39.4738
5.9621634,-119.9218,39.5239
5.0273814,-120.4549,38.57567
1.9148815,-120.094,38.62627
5.202381,-120.5208,38.8577
3.4023814,-120.1582,38.90858
3.0398812,-119.795,38.9581
3.089881,-120.223,39.19109
3.189881,-119.8581,39.24089
2.9648817,-120.2885,39.4738
4.0648813,-119.9218,39.5239
8.1388645,-120.4549,38.57567
4.3888655,-120.094,38.62627
8.213865,-120.5208,38.8577
5.5513654,-120.1582,38.90858
5.688865,-119.795,38.9581
5.163865,-120.223,39.19109
5.738865,-119.8581,39.24089
4.776365,-120.2885,39.4738
6.713865,-119.9218,39.5239
7.2464,-120.4549,38.57567
4.5589,-120.094,38.62627
7.5213995,-120.5208,38.8577
6.2839,-120.1582,38.90858
5.7838993,-119.795,38.9581
6.1963997,-120.223,39.19109
5.9588995,-119.8581,39.24089
6.1464,-120.2885,39.4738
6.883899,-119.9218,39.5239
8.464977,-120.4549,38.57567
3.764978,-120.094,38.62627
8.614979,-120.5208,38.8577
5.602478,-120.1582,38.90858
5.202478,-119.795,38.9581
5.364977,-120.223,39.19109
5.452478,-119.8581,39.24089
5.389978,-120.2885,39.4738
6.8149776,-119.9218,39.5239
8.127906,-120.4549,38.57567
3.1904058,-120.094,38.62627
8.252906,-120.5208,38.8577
4.9279056,-120.1582,38.90858
4.0529056,-119.795,38.9581
4.5904055,-120.223,39.19109
