lhtfl,lon,lat
0.837677,-119.9218,39.5239
-36.262848,-120.4549,38.57567
-10.934723,-120.094,38.62627
-32.17691,-120.5208,38.8577
-2.919098,-120.1582,38.90858
3.315277,-119.795,38.9581
21.830902,-120.223,39.19109
-3.8019104,-119.8581,39.24089
1.7371521,-120.2885,39.4738
-1.5909729,-119.9218,39.5239
-41.26178,-120.4549,38.57567
-12.76178,-120.094,38.62627
-41.988342,-120.5208,38.8577
-15.308655,-120.1582,38.90858
-6.996155,-119.795,38.9581
10.441345,-120.223,39.19109
-27.464905,-119.8581,39.24089
-16.73053,-120.2885,39.4738
-11.058655,-119.9218,39.5239
-35.068665,-120.4549,38.57567
-11.310852,-120.094,38.62627
-27.638977,-120.5208,38.8577
-2.5842896,-120.1582,38.90858
-2.310852,-119.795,38.9581
0.42352295,-120.223,39.19109
-9.162415,-119.8581,39.24089
-1.654602,-120.2885,39.4738
1.923523,-119.9218,39.5239
-28.420044,-120.4549,38.57567
4.3065186,-120.094,38.62627
-29.724731,-120.5208,38.8577
2.439331,-120.1582,38.90858
3.8846436,-119.795,38.9581
-10.802856,-120.223,39.19109
3.126831,-119.8581,39.24089
8.353394,-120.2885,39.4738
-6.404419,-119.9218,39.5239
-28.04065,-120.4549,38.57567
-22.181274,-120.094,38.62627
-27.837524,-120.5208,38.8577
-9.860962,-120.1582,38.90858
-2.189087,-119.795,38.9581
-3.189087,-120.223,39.19109
-5.8218994,-119.8581,39.24089
-7.7281494,-120.2885,39.4738
-4.220337,-119.9218,39.5239
-21.116608,-120.4549,38.57567
-29.71817,-120.094,38.62627
-16.31192,-120.5208,38.8577
-19.53067,-120.1582,38.90858
-10.37442,-119.795,38.9581
0.87557983,-120.223,39.19109
-16.507233,-119.8581,39.24089
-12.09317,-120.2885,39.4738
-11.444733,-119.9218,39.5239
-31.064972,-120.4549,38.57567
10.544403,-120.094,38.62627
-18.49466,-120.5208,38.8577
23.966278,-120.1582,38.90858
0.8647156,-119.795,38.9581
51.177216,-120.223,39.19109
5.8022156,-119.8581,39.24089
25.200653,-120.2885,39.4738
-20.596222,-119.9218,39.5239
-15.468231,-120.4549,38.57567
-12.968231,-120.094,38.62627
-3.0541687,-120.5208,38.8577
-1.1322937,-120.1582,38.90858
0.1723938,-119.795,38.9581
20.109894,-120.223,39.19109
-0.4838562,-119.8581,39.24089
-0.7729187,-120.2885,39.4738
-11.249481,-119.9218,39.5239
-27.964722,-120.4549,38.57567
-16.167847,-120.094,38.62627
-26.870972,-120.5208,38.8577
-17.441284,-120.1582,38.90858
-9.824097,-119.795,38.9581
-8.745972,-120.223,39.19109
-14.464722,-119.8581,39.24089
-18.847534,-120.2885,39.4738
-14.058472,-119.9218,39.5239
-34.580383,-120.4549,38.57567
-15.080383,-120.094,38.62627
-30.580383,-120.5208,38.8577
-14.322571,-120.1582,38.90858
-14.721008,-119.795,38.9581
-23.471008,-120.223,39.19109
