wvvflx,lon,lat
-296710.75,-120.094,38.62627
-362585.75,-120.5208,38.8577
-292585.75,-120.1582,38.90858
-243335.75,-119.795,38.9581
-288085.75,-120.223,39.19109
-241960.75,-119.8581,39.24089
-280335.75,-120.2885,39.4738
-241710.75,-119.9218,39.5239
302574.66,-120.4549,38.57567
223949.66,-120.094,38.62627
301824.66,-120.5208,38.8577
235074.66,-120.1582,38.90858
190199.66,-119.795,38.9581
244324.66,-120.223,39.19109
199699.66,-119.8581,39.24089
247199.66,-120.2885,39.4738
217074.66,-119.9218,39.5239
954570.75,-120.4549,38.57567
691695.75,-120.094,38.62627
934695.75,-120.5208,38.8577
715195.75,-120.1582,38.90858
613945.75,-119.795,38.9581
732320.75,-120.223,39.19109
631945.75,-119.8581,39.24089
737695.75,-120.2885,39.4738
655445.75,-119.9218,39.5239
-213393.0,-120.4549,38.57567
-331018.0,-120.094,38.62627
-158143.0,-120.5208,38.8577
-283018.0,-120.1582,38.90858
-319268.0,-119.795,38.9581
-235268.0,-120.223,39.19109
-281643.0,-119.8581,39.24089
-190143.0,-120.2885,39.4738
-229018.0,-119.9218,39.5239
465262.28,-120.4549,38.57567
274387.28,-120.094,38.62627
524887.25,-120.5208,38.8577
341387.28,-120.1582,38.90858
229137.28,-119.795,38.9581
411012.28,-120.223,39.19109
296762.28,-119.8581,39.24089
477387.28,-120.2885,39.4738
372637.28,-119.9218,39.5239
1253499.4,-120.4549,38.57567
938999.25,-120.094,38.62627
1315999.2,-120.5208,38.8577
1018374.25,-120.1582,38.90858
840874.25,-119.795,38.9581
1105749.2,-120.223,39.19109
917374.25,-119.8581,39.24089
1191499.2,-120.2885,39.4738
1012124.25,-119.9218,39.5239
1897469.0,-120.4549,38.57567
1446468.8,-120.094,38.62627
1877094.0,-120.5208,38.8577
1486718.8,-120.1582,38.90858
1304093.8,-119.795,38.9581
1521218.8,-120.223,39.19109
1331343.8,-119.8581,39.24089
1543843.8,-120.2885,39.4738
1376468.8,-119.9218,39.5239
703882.44,-120.4549,38.57567
689257.44,-120.094,38.62627
669382.44,-120.5208,38.8577
676382.44,-120.1582,38.90858
685757.44,-119.795,38.9581
656882.44,-120.223,39.19109
683882.44,-119.8581,39.24089
635257.44,-120.2885,39.4738
664257.44,-119.9218,39.5239
167326.0,-120.4549,38.57567
129326.0,-120.094,38.62627
177201.0,-120.5208,38.8577
140576.0,-120.1582,38.90858
121076.0,-119.795,38.9581
146576.0,-120.223,39.19109
131201.0,-119.8581,39.24089
149826.0,-120.2885,39.4738
134576.0,-119.9218,39.5239
185398.66,-120.4549,38.57567
101023.66,-120.094,38.62627
167648.66,-120.5208,38.8577
103898.66,-120.1582,38.90858
81523.66,-119.795,38.9581
99648.66,-120.223,39.19109
81398.66,-119.8581,39.24089
93023.66,-120.2885,39.4738
82148.66,-119.9218,39.5239
93190.84,-120.4549,38.57567
102690.84,-120.094,38.62627
70190.84,-120.5208,38.8577
100190.84,-120.1582,38.90858
120065.84,-119.795,38.9581
89190.84,-120.223,39.19109
114440.84,-119.8581,39.24089
73315.84,-120.2885,39.4738
101190.84,-119.9218,39.5239
-577587.8,-120.4549,38.57567
-483087.8,-120.094,38.62627
-587337.8,-120.5208,38.8577
-501087.8,-120.1582,38.90858
-439462.8,-119.795,38.9581
-520837.8,-120.223,39.19109
-459837.8,-119.8581,39.24089
-544212.8,-120.2885,39.4738
-484462.8,-119.9218,39.5239
-1119720.4,-120.4549,38.57567
-1006970.4,-120.094,38.62627
-1132220.4,-120.5208,38.8577
-1047470.4,-120.1582,38.90858
-1007345.4,-119.795,38.9581
-1089095.4,-120.223,39.19109
-1059970.4,-119.8581,39.24089
-1125970.4,-120.2885,39.4738
-1116220.4,-119.9218,39.5239
-253584.22,-120.4549,38.57567
-270459.22,-120.094,38.62627
-216709.22,-120.5208,38.8577
-260584.22,-120.1582,38.90858
-299959.22,-119.795,38.9581
-245959.22,-120.223,39.19109
-296459.22,-119.8581,39.24089
-228709.22,-120.2885,39.4738
-284959.22,-119.9218,39.5239
-86337.31,-120.4549,38.57567
-79337.31,-120.094,38.62627
-110712.31,-120.5208,38.8577
-91712.31,-120.1582,38.90858
-83462.31,-119.795,38.9581
-114212.31,-120.223,39.19109
-101087.31,-119.8581,39.24089
-143087.31,-120.2885,39.4738
-126337.31,-119.9218,39.5239
-716024.5,-120.4549,38.57567
-629899.5,-120.094,38.62627
-785649.5,-120.5208,38.8577
-691274.5,-120.1582,38.90858
-630774.5,-119.795,38.9581
-766149.5,-120.223,39.19109
-699649.5,-119.8581,39.24089
-842524.5,-120.2885,39.4738
-777149.5,-119.9218,39.5239
-1711642.2,-120.4549,38.57567
-1480767.2,-120.094,38.62627
-1667767.2,-120.5208,38.8577
-1510017.2,-120.1582,38.90858
-1454517.2,-119.795,38.9581
-1517017.2,-120.223,39.19109
-1484767.2,-119.8581,39.24089
-1504642.2,-120.2885,39.4738
-1502267.2,-119.9218,39.5239
