snohf,lon,lat
-15.740215,-120.094,38.62627
0.0019721985,-120.5208,38.8577
-17.25584,-120.1582,38.90858
-47.482403,-119.795,38.9581
-31.982403,-120.223,39.19109
-40.333965,-119.8581,39.24089
-40.841778,-120.2885,39.4738
-4.8339653,-119.9218,39.5239
-0.0019760132,-120.4549,38.57567
-27.212914,-120.094,38.62627
-0.0019760132,-120.5208,38.8577
-32.212914,-120.1582,38.90858
-66.07229,-119.795,38.9581
-38.931664,-120.223,39.19109
-30.728539,-119.8581,39.24089
-34.939476,-120.2885,39.4738
-2.158226,-119.9218,39.5239
-0.17647934,-120.4549,38.57567
-29.309292,-120.094,38.62627
-0.46554184,-120.5208,38.8577
-29.39523,-120.1582,38.90858
-21.074917,-119.795,38.9581
-20.559292,-120.223,39.19109
-22.028042,-119.8581,39.24089
-32.92648,-120.2885,39.4738
-0.0046043396,-119.9218,39.5239
-0.57751465,-120.4549,38.57567
-28.147827,-120.094,38.62627
-0.39782715,-120.5208,38.8577
-32.960327,-120.1582,38.90858
-31.671265,-119.795,38.9581
-33.78064,-120.223,39.19109
-29.108765,-119.8581,39.24089
-35.87439,-120.2885,39.4738
-0.14782715,-119.9218,39.5239
0.004179001,-120.4549,38.57567
-27.886446,-120.094,38.62627
0.004179001,-120.5208,38.8577
-40.363007,-120.1582,38.90858
-39.55832,-119.795,38.9581
-37.394257,-120.223,39.19109
-20.691133,-119.8581,39.24089
-44.073944,-120.2885,39.4738
0.004179001,-119.9218,39.5239
-0.0067634583,-120.4549,38.57567
-92.33489,-120.094,38.62627
-0.0067634583,-120.5208,38.8577
-81.60052,-120.1582,38.90858
-85.70208,-119.795,38.9581
-65.436455,-120.223,39.19109
-80.97552,-119.8581,39.24089
-105.64739,-120.2885,39.4738
-0.0067634583,-119.9218,39.5239
0.004016876,-120.4549,38.57567
-47.64442,-120.094,38.62627
0.004016876,-120.5208,38.8577
-42.67567,-120.1582,38.90858
-54.464733,-119.795,38.9581
-5.183483,-120.223,39.19109
-51.370983,-119.8581,39.24089
-22.558483,-120.2885,39.4738
0.004016876,-119.9218,39.5239
0.0040416718,-120.4549,38.57567
-3.4803333,-120.094,38.62627
-0.011583328,-120.5208,38.8577
-17.949083,-120.1582,38.90858
-35.183456,-119.795,38.9581
-4.4803333,-120.223,39.19109
-22.402208,-119.8581,39.24089
-9.238146,-120.2885,39.4738
-0.26158333,-119.9218,39.5239
-0.26075745,-120.4549,38.57567
-0.0029449463,-120.094,38.62627
-0.057632446,-120.5208,38.8577
-0.63575745,-120.1582,38.90858
-3.9795074,-119.795,38.9581
-7.89357,-120.223,39.19109
-4.3232574,-119.8581,39.24089
-3.5107574,-120.2885,39.4738
-2.0420074,-119.9218,39.5239
-0.048233032,-120.4549,38.57567
-0.0013580322,-120.094,38.62627
