vstm,lon,lat
-5.913345,-120.5208,38.8577
-6.1633444,-120.1582,38.90858
-7.013345,-119.795,38.9581
-6.438344,-120.223,39.19109
-7.163344,-119.8581,39.24089
-6.888344,-120.2885,39.4738
-7.1383443,-119.9218,39.5239
-18.20683,-120.4549,38.57567
-16.494331,-120.094,38.62627
-15.41933,-120.5208,38.8577
-16.494331,-120.1582,38.90858
-14.29433,-119.795,38.9581
-14.28183,-120.223,39.19109
-13.55683,-119.8581,39.24089
-13.969331,-120.2885,39.4738
-13.531831,-119.9218,39.5239
-20.74291,-120.4549,38.57567
-19.95541,-120.094,38.62627
-19.492908,-120.5208,38.8577
-19.95541,-120.1582,38.90858
-18.03041,-119.795,38.9581
-18.467913,-120.223,39.19109
-17.91791,-119.8581,39.24089
-18.05541,-120.2885,39.4738
-17.91791,-119.9218,39.5239
-3.3661852,-120.4549,38.57567
-3.228685,-120.094,38.62627
-2.5161855,-120.5208,38.8577
-3.228685,-120.1582,38.90858
-2.9411845,-119.795,38.9581
-2.116185,-120.223,39.19109
-2.0286853,-119.8581,39.24089
-1.5161846,-120.2885,39.4738
-2.0411851,-119.9218,39.5239
15.212263,-120.4549,38.57567
14.999762,-120.094,38.62627
15.174763,-120.5208,38.8577
14.999762,-120.1582,38.90858
13.037262,-119.795,38.9581
14.299763,-120.223,39.19109
13.437263,-119.8581,39.24089
14.637262,-120.2885,39.4738
13.462263,-119.9218,39.5239
-13.060559,-120.4549,38.57567
-12.273059,-120.094,38.62627
-11.248058,-120.5208,38.8577
-12.260558,-120.1582,38.90858
-11.748058,-119.795,38.9581
-10.923059,-120.223,39.19109
-10.485559,-119.8581,39.24089
-10.023059,-120.2885,39.4738
-10.485559,-119.9218,39.5239
-3.7312713,-120.4549,38.57567
-3.968772,-120.094,38.62627
-3.1562707,-120.5208,38.8577
-3.968772,-120.1582,38.90858
-5.181271,-119.795,38.9581
-3.5687704,-120.223,39.19109
-3.7937703,-119.8581,39.24089
