vwnd,lon,lat
8.017353,-120.4549,38.57567
4.1150093,-120.094,38.62627
9.194111,-120.5208,38.8577
4.115986,-120.1582,38.90858
7.189228,-119.795,38.9581
7.191181,-120.223,39.19109
9.60622,-119.8581,39.24089
4.812275,-120.2885,39.4738
9.60915,-119.9218,39.5239
1.1687794,-120.4549,38.57567
-0.22184563,-120.094,38.62627
1.8572559,-120.5208,38.8577
-0.22184563,-120.1582,38.90858
1.5135059,-119.795,38.9581
0.83381844,-120.223,39.19109
2.3269825,-119.8581,39.24089
-0.19254875,-120.2885,39.4738
2.3269825,-119.9218,39.5239
0.8659897,-120.4549,38.57567
-0.12326813,-120.094,38.62627
1.9236069,-120.5208,38.8577
-0.121315,-120.1582,38.90858
1.3484116,-119.795,38.9581
-0.1291275,-120.223,39.19109
1.3845444,-119.8581,39.24089
-0.8742447,-120.2885,39.4738
1.3884506,-119.9218,39.5239
3.1421008,-120.4549,38.57567
1.3706166,-120.094,38.62627
3.7231555,-120.5208,38.8577
1.3725697,-120.1582,38.90858
2.4868274,-119.795,38.9581
1.2739369,-120.223,39.19109
2.6323352,-119.8581,39.24089
0.57374156,-120.2885,39.4738
2.6323352,-119.9218,39.5239
-2.0158634,-120.4549,38.57567
-1.11059,-120.094,38.62627
-1.9553165,-120.5208,38.8577
-1.1125431,-120.1582,38.90858
0.6472225,-119.795,38.9581
0.04566002,-120.223,39.19109
0.7517147,-119.8581,39.24089
0.3327694,-120.2885,39.4738
0.748785,-119.9218,39.5239
-4.5694523,-120.4549,38.57567
0.017461777,-120.094,38.62627
-4.1319523,-120.5208,38.8577
0.019414902,-120.1582,38.90858
-1.4610538,-119.795,38.9581
-0.71105385,-120.223,39.19109
-1.6368351,-119.8581,39.24089
-0.12804604,-120.2885,39.4738
-1.6387882,-119.9218,39.5239
-4.553631,-120.4549,38.57567
0.9590645,-120.094,38.62627
-4.1952324,-120.5208,38.8577
0.9610176,-120.1582,38.90858
-2.829998,-119.795,38.9581
-2.0428886,-120.223,39.19109
-3.4589043,-119.8581,39.24089
-1.3358574,-120.2885,39.4738
-3.4598808,-119.9218,39.5239
-0.63669205,-120.4549,38.57567
1.8428001,-120.094,38.62627
-0.5409889,-120.5208,38.8577
1.8428001,-120.1582,38.90858
0.4922142,-119.795,38.9581
0.99905014,-120.223,39.19109
0.78811264,-119.8581,39.24089
1.5742455,-120.2885,39.4738
0.7890892,-119.9218,39.5239
-1.0754375,-120.4549,38.57567
-0.83325005,-120.094,38.62627
-1.411375,-120.5208,38.8577
-0.8371563,-120.1582,38.90858
0.04760933,-119.795,38.9581
-0.4465313,-120.223,39.19109
-0.17016411,-119.8581,39.24089
-0.27270317,-120.2885,39.4738
-0.1730938,-119.9218,39.5239
-2.5282235,-120.4549,38.57567
0.14072168,-120.094,38.62627
-2.5096688,-120.5208,38.8577
0.13876855,-120.1582,38.90858
-0.20498145,-119.795,38.9581
0.056737304,-120.223,39.19109
-0.59072363,-119.8581,39.24089
0.5489248,-120.2885,39.4738
-0.5946299,-119.9218,39.5239
-2.491209,-120.4549,38.57567
1.3896503,-120.094,38.62627
-2.484373,-120.5208,38.8577
1.3935566,-120.1582,38.90858
-2.0097637,-119.795,38.9581
-0.84472466,-120.223,39.19109
-2.1992168,-119.8581,39.24089
-0.2656231,-120.2885,39.4738
-2.1953106,-119.9218,39.5239
-5.518368,-120.4549,38.57567
0.71600723,-120.094,38.62627
-4.1345787,-120.5208,38.8577
0.71600723,-120.1582,38.90858
-2.9744225,-119.795,38.9581
-2.0212975,-120.223,39.19109
-4.077938,-119.8581,39.24089
-1.3709068,-120.2885,39.4738
-4.075985,-119.9218,39.5239
-0.8125458,-120.4549,38.57567
2.3124542,-120.094,38.62627
-1.1894989,-120.5208,38.8577
2.3134308,-120.1582,38.90858
0.27827454,-119.795,38.9581
1.4813995,-120.223,39.19109
-0.19047546,-119.8581,39.24089
1.6747589,-120.2885,39.4738
-0.19242859,-119.9218,39.5239
3.7934227,-120.4549,38.57567
2.8246727,-120.094,38.62627
4.28561,-120.5208,38.8577
2.8266258,-120.1582,38.90858
6.439907,-119.795,38.9581
3.6371727,-120.223,39.19109
7.886196,-119.8581,39.24089
1.422329,-120.2885,39.4738
7.893032,-119.9218,39.5239
-0.99128723,-120.4549,38.57567
2.0868378,-120.094,38.62627
-0.0010528564,-120.5208,38.8577
2.0897675,-120.1582,38.90858
1.6591034,-119.795,38.9581
1.3925018,-120.223,39.19109
1.6962128,-119.8581,39.24089
0.089767456,-120.2885,39.4738
1.6981659,-119.9218,39.5239
-4.3251095,-120.4549,38.57567
2.4366093,-120.094,38.62627
-3.4149532,-120.5208,38.8577
2.4375858,-120.1582,38.90858
-0.7411251,-119.795,38.9581
1.2588749,-120.223,39.19109
-0.88272667,-119.8581,39.24089
0.6436405,-120.2885,39.4738
-0.88370323,-119.9218,39.5239
1.4122696,-120.4549,38.57567
2.7042618,-120.094,38.62627
1.5489883,-120.5208,38.8577
2.7052383,-120.1582,38.90858
3.2052383,-119.795,38.9581
3.1720352,-120.223,39.19109
3.9142227,-119.8581,39.24089
2.674965,-120.2885,39.4738
3.9142227,-119.9218,39.5239
0.7201977,-120.4549,38.57567
1.8696117,-120.094,38.62627
2.0561352,-120.5208,38.8577
1.873518,-120.1582,38.90858
2.8403149,-119.795,38.9581
1.5571117,-120.223,39.19109
3.1996899,-119.8581,39.24089
0.64793205,-120.2885,39.4738
3.203596,-119.9218,39.5239
0.52350044,-120.4549,38.57567
0.98443794,-120.094,38.62627
1.4971333,-120.5208,38.8577
0.98639107,-120.1582,38.90858
1.5801411,-119.795,38.9581
-0.025327682,-120.223,39.19109
1.406313,-119.8581,39.24089
-0.77630424,-120.2885,39.4738
1.4082661,-119.9218,39.5239
-3.2852688,-120.4549,38.57567
1.4969578,-120.094,38.62627
-2.3975735,-120.5208,38.8577
1.4989109,-120.1582,38.90858
-1.4844875,-119.795,38.9581
-0.27257347,-120.223,39.19109
-1.6065578,-119.8581,39.24089
-0.12315941,-120.2885,39.4738
-1.6055813,-119.9218,39.5239
1.0441666,-120.4549,38.57567
3.2111588,-120.094,38.62627
2.402565,-120.5208,38.8577
3.2179947,-120.1582,38.90858
5.067604,-119.795,38.9581
3.0109634,-120.223,39.19109
5.9904556,-119.8581,39.24089
0.64865875,-120.2885,39.4738
5.9992447,-119.9218,39.5239
-1.3554649,-120.4549,38.57567
1.8251991,-120.094,38.62627
-0.5019493,-120.5208,38.8577
1.8281288,-120.1582,38.90858
1.3759804,-119.795,38.9581
0.44433975,-120.223,39.19109
1.2910194,-119.8581,39.24089
-0.395504,-120.2885,39.4738
1.2968788,-119.9218,39.5239
1.3538532,-120.4549,38.57567
3.544283,-120.094,38.62627
3.044283,-120.5208,38.8577
3.5491657,-120.1582,38.90858
4.7747517,-119.795,38.9581
3.216158,-120.223,39.19109
5.8665485,-119.8581,39.24089
1.1038532,-120.2885,39.4738
5.874361,-119.9218,39.5239
2.5885735,-120.4549,38.57567
5.221386,-120.094,38.62627
4.5485344,-120.5208,38.8577
5.226269,-120.1582,38.90858
7.235058,-119.795,38.9581
6.5436516,-120.223,39.19109
9.080761,-119.8581,39.24089
2.6940422,-120.2885,39.4738
9.088573,-119.9218,39.5239
1.105505,-120.4549,38.57567
2.9121456,-120.094,38.62627
2.270544,-120.5208,38.8577
2.9150753,-120.1582,38.90858
4.013708,-119.795,38.9581
3.2871456,-120.223,39.19109
4.7119503,-119.8581,39.24089
1.8340206,-120.2885,39.4738
4.7139034,-119.9218,39.5239
8.962969,-120.4549,38.57567
4.835039,-120.094,38.62627
10.063555,-120.5208,38.8577
4.8389454,-120.1582,38.90858
9.42,-119.795,38.9581
8.676836,-120.223,39.19109
12.209063,-119.8581,39.24089
5.2383595,-120.2885,39.4738
12.212969,-119.9218,39.5239
2.7858257,-120.4549,38.57567
2.0563335,-120.094,38.62627
4.09149,-120.5208,38.8577
2.05731,-120.1582,38.90858
3.9625835,-119.795,38.9581
2.6881695,-120.223,39.19109
