dswrf,lon,lat
130.40625,-120.1582,38.90858
130.47656,-119.795,38.9581
118.5,-120.223,39.19109
121.50781,-119.8581,39.24089
124.125,-120.2885,39.4738
101.22656,-119.9218,39.5239
132.85938,-120.4549,38.57567
137.91406,-120.094,38.62627
126.60156,-120.5208,38.8577
134.9375,-120.1582,38.90858
135.79688,-119.795,38.9581
131.27344,-120.223,39.19109
133.1875,-119.8581,39.24089
131.07812,-120.2885,39.4738
128.04688,-119.9218,39.5239
116.78125,-120.4549,38.57567
125.125,-120.094,38.62627
106.875,-120.5208,38.8577
121.8125,-120.1582,38.90858
125.3125,-119.795,38.9581
110.52344,-120.223,39.19109
123.55469,-119.8581,39.24089
118.984375,-120.2885,39.4738
118.85156,-119.9218,39.5239
50.96875,-120.4549,38.57567
132.15625,-120.094,38.62627
48.0625,-120.5208,38.8577
128.5,-120.1582,38.90858
128.89062,-119.795,38.9581
80.08594,-120.223,39.19109
126.34375,-119.8581,39.24089
125.10156,-120.2885,39.4738
116.27344,-119.9218,39.5239
69.41406,-120.4549,38.57567
96.99219,-120.094,38.62627
54.992188,-120.5208,38.8577
110.703125,-120.1582,38.90858
107.421875,-119.795,38.9581
80.96094,-120.223,39.19109
104.96094,-119.8581,39.24089
104.875,-120.2885,39.4738
87.52344,-119.9218,39.5239
114.984375,-120.4549,38.57567
124.67969,-120.094,38.62627
113.375,-120.5208,38.8577
117.03906,-120.1582,38.90858
121.96094,-119.795,38.9581
112.296875,-120.223,39.19109
112.0,-119.8581,39.24089
110.42969,-120.2885,39.4738
111.50781,-119.9218,39.5239
124.65625,-120.4549,38.57567
133.40625,-120.094,38.62627
119.58594,-120.5208,38.8577
130.19531,-120.1582,38.90858
132.79688,-119.795,38.9581
126.125,-120.223,39.19109
127.27344,-119.8581,39.24089
127.07031,-120.2885,39.4738
124.125,-119.9218,39.5239
66.609375,-120.4549,38.57567
114.78906,-120.094,38.62627
70.08594,-120.5208,38.8577
110.65625,-120.1582,38.90858
115.42969,-119.795,38.9581
96.15625,-120.223,39.19109
107.9375,-119.8581,39.24089
109.3125,-120.2885,39.4738
110.25,-119.9218,39.5239
99.69531,-120.4549,38.57567
113.609375,-120.094,38.62627
94.80469,-120.5208,38.8577
111.015625,-120.1582,38.90858
102.44531,-119.795,38.9581
101.41406,-120.223,39.19109
94.28906,-119.8581,39.24089
108.13281,-120.2885,39.4738
81.796875,-119.9218,39.5239
110.0,-120.4549,38.57567
132.92969,-120.094,38.62627
110.765625,-120.5208,38.8577
129.1875,-120.1582,38.90858
130.40625,-119.795,38.9581
125.69531,-120.223,39.19109
124.94531,-119.8581,39.24089
126.65625,-120.2885,39.4738
121.671875,-119.9218,39.5239
82.703125,-120.4549,38.57567
132.26562,-120.094,38.62627
83.41406,-120.5208,38.8577
120.34375,-120.1582,38.90858
124.71094,-119.795,38.9581
96.22656,-120.223,39.19109
99.34375,-119.8581,39.24089
110.890625,-120.2885,39.4738
96.03125,-119.9218,39.5239
125.96875,-120.4549,38.57567
134.14844,-120.094,38.62627
128.55469,-120.5208,38.8577
131.21875,-120.1582,38.90858
129.40625,-119.795,38.9581
129.625,-120.223,39.19109
127.421875,-119.8581,39.24089
130.07031,-120.2885,39.4738
125.52344,-119.9218,39.5239
130.60156,-120.4549,38.57567
135.47656,-120.094,38.62627
128.22656,-120.5208,38.8577
132.13281,-120.1582,38.90858
133.91406,-119.795,38.9581
129.59375,-120.223,39.19109
128.21094,-119.8581,39.24089
129.92188,-120.2885,39.4738
124.265625,-119.9218,39.5239
113.85156,-120.4549,38.57567
127.640625,-120.094,38.62627
106.33594,-120.5208,38.8577
125.42969,-120.1582,38.90858
131.25781,-119.795,38.9581
117.47656,-120.223,39.19109
123.78125,-119.8581,39.24089
120.99219,-120.2885,39.4738
120.02344,-119.9218,39.5239
63.335938,-120.4549,38.57567
85.03125,-120.094,38.62627
76.28125,-120.5208,38.8577
85.1875,-120.1582,38.90858
98.328125,-119.795,38.9581
82.53125,-120.223,39.19109
71.21875,-119.8581,39.24089
82.125,-120.2885,39.4738
67.625,-119.9218,39.5239
128.70312,-120.4549,38.57567
133.99219,-120.094,38.62627
126.375,-120.5208,38.8577
126.49219,-120.1582,38.90858
111.09375,-119.795,38.9581
128.73438,-120.223,39.19109
86.859375,-119.8581,39.24089
128.32031,-120.2885,39.4738
61.179688,-119.9218,39.5239
113.64844,-120.4549,38.57567
128.03125,-120.094,38.62627
108.3125,-120.5208,38.8577
119.24219,-120.1582,38.90858
121.55469,-119.795,38.9581
112.25781,-120.223,39.19109
109.8125,-119.8581,39.24089
112.21094,-120.2885,39.4738
104.796875,-119.9218,39.5239
56.78125,-120.4549,38.57567
106.03125,-120.094,38.62627
52.671875,-120.5208,38.8577
107.58594,-120.1582,38.90858
109.6875,-119.795,38.9581
83.32031,-120.223,39.19109
102.42969,-119.8581,39.24089
