shtfl,lon,lat
39.0632,-120.223,39.19109
43.1882,-119.8581,39.24089
49.766327,-120.2885,39.4738
15.539764,-119.9218,39.5239
25.728485,-120.4549,38.57567
38.05661,-120.094,38.62627
27.439423,-120.5208,38.8577
42.36911,-120.1582,38.90858
33.173798,-119.795,38.9581
48.790985,-120.223,39.19109
71.83786,-119.8581,39.24089
46.759735,-120.2885,39.4738
30.15036,-119.9218,39.5239
4.84552,-120.4549,38.57567
20.993958,-120.094,38.62627
-0.93573,-120.5208,38.8577
17.65802,-120.1582,38.90858
21.423645,-119.795,38.9581
11.5720825,-120.223,39.19109
19.790833,-119.8581,39.24089
18.25177,-120.2885,39.4738
0.22833252,-119.9218,39.5239
2.6327515,-120.4549,38.57567
43.648376,-120.094,38.62627
3.6483765,-120.5208,38.8577
35.273376,-120.1582,38.90858
24.343689,-119.795,38.9581
35.94525,-120.223,39.19109
25.148376,-119.8581,39.24089
31.664001,-120.2885,39.4738
-12.414124,-119.9218,39.5239
1.0973511,-120.4549,38.57567
60.3161,-120.094,38.62627
-3.1448364,-120.5208,38.8577
47.761414,-120.1582,38.90858
42.90204,-119.795,38.9581
39.073914,-120.223,39.19109
39.323914,-119.8581,39.24089
47.0036,-120.2885,39.4738
-5.4573364,-119.9218,39.5239
0.39224243,-120.4549,38.57567
60.548492,-120.094,38.62627
3.91568,-120.5208,38.8577
50.868805,-120.1582,38.90858
34.97818,-119.795,38.9581
27.900055,-120.223,39.19109
29.282867,-119.8581,39.24089
46.556305,-120.2885,39.4738
-5.0296326,-119.9218,39.5239
-9.597626,-120.4549,38.57567
54.20706,-120.094,38.62627
-5.0351257,-120.5208,38.8577
49.902374,-120.1582,38.90858
43.69925,-119.795,38.9581
37.160187,-120.223,39.19109
57.70706,-119.8581,39.24089
57.293,-120.2885,39.4738
-8.152313,-119.9218,39.5239
-5.7068787,-120.4549,38.57567
44.22281,-120.094,38.62627
-2.1365662,-120.5208,38.8577
36.47281,-120.1582,38.90858
27.683746,-119.795,38.9581
6.7462463,-120.223,39.19109
37.707184,-119.8581,39.24089
23.629059,-120.2885,39.4738
-3.0975037,-119.9218,39.5239
-10.853302,-120.4549,38.57567
16.943573,-120.094,38.62627
-5.4704895,-120.5208,38.8577
12.443573,-120.1582,38.90858
