rcq,lon,lat
0.975,-119.9218,39.5239
0.8925,-120.4549,38.57567
0.885,-120.094,38.62627
0.905,-120.5208,38.8577
0.89000005,-120.1582,38.90858
0.90625,-119.795,38.9581
0.92999995,-120.223,39.19109
0.90875,-119.8581,39.24089
0.90999997,-120.2885,39.4738
0.9475,-119.9218,39.5239
0.9175001,-120.4549,38.57567
0.95875007,-120.094,38.62627
0.92875004,-120.5208,38.8577
0.9475,-120.1582,38.90858
0.92125,-119.795,38.9581
0.9575,-120.223,39.19109
0.92499995,-119.8581,39.24089
0.95500004,-120.2885,39.4738
0.92375,-119.9218,39.5239
0.9525,-120.4549,38.57567
0.98375,-120.094,38.62627
0.97,-120.5208,38.8577
0.98125005,-120.1582,38.90858
0.9562501,-119.795,38.9581
0.9825,-120.223,39.19109
0.96125007,-119.8581,39.24089
0.985,-120.2885,39.4738
0.96000004,-119.9218,39.5239
0.89374995,-120.4549,38.57567
0.8937501,-120.094,38.62627
0.8875,-120.5208,38.8577
0.91125,-120.1582,38.90858
0.96500003,-119.795,38.9581
0.90625,-120.223,39.19109
0.96124995,-119.8581,39.24089
0.91875005,-120.2885,39.4738
0.96125,-119.9218,39.5239
0.8625,-120.4549,38.57567
0.8025,-120.094,38.62627
0.8525,-120.5208,38.8577
0.79875,-120.1582,38.90858
0.89374995,-119.795,38.9581
0.83750004,-120.223,39.19109
0.88250005,-119.8581,39.24089
0.82000005,-120.2885,39.4738
0.95124996,-119.9218,39.5239
0.8975001,-120.4549,38.57567
0.88625,-120.094,38.62627
0.9175,-120.5208,38.8577
0.89374995,-120.1582,38.90858
0.88874996,-119.795,38.9581
0.9325,-120.223,39.19109
0.89625,-119.8581,39.24089
0.92125005,-120.2885,39.4738
0.91875005,-119.9218,39.5239
0.9537501,-120.4549,38.57567
0.95125,-120.094,38.62627
0.96624994,-120.5208,38.8577
0.94125,-120.1582,38.90858
0.93499994,-119.795,38.9581
0.9562501,-120.223,39.19109
0.93875,-119.8581,39.24089
0.955,-120.2885,39.4738
0.90500003,-119.9218,39.5239
0.94750005,-120.4549,38.57567
0.94250005,-120.094,38.62627
0.95875007,-120.5208,38.8577
0.95000005,-120.1582,38.90858
0.92999995,-119.795,38.9581
0.96999997,-120.223,39.19109
0.93625,-119.8581,39.24089
0.96875,-120.2885,39.4738
0.91875,-119.9218,39.5239
0.9475,-120.4549,38.57567
0.96625,-120.094,38.62627
0.95750004,-120.5208,38.8577
0.96125007,-120.1582,38.90858
0.95250005,-119.795,38.9581
0.96125007,-120.223,39.19109
0.9549999,-119.8581,39.24089
0.96625006,-120.2885,39.4738
0.9425,-119.9218,39.5239
0.94625,-120.4549,38.57567
0.975,-120.094,38.62627
0.95,-120.5208,38.8577
0.97375,-120.1582,38.90858
0.96625006,-119.795,38.9581
0.97249997,-120.223,39.19109
0.96375,-119.8581,39.24089
0.975,-120.2885,39.4738
0.95375,-119.9218,39.5239
0.90250003,-120.4549,38.57567
0.90250003,-120.094,38.62627
0.8837501,-120.5208,38.8577
0.91625005,-120.1582,38.90858
0.97,-119.795,38.9581
0.90250003,-120.223,39.19109
0.96625006,-119.8581,39.24089
0.92375004,-120.2885,39.4738
0.96375,-119.9218,39.5239
0.81624997,-120.4549,38.57567
0.8271251,-120.094,38.62627
0.80175006,-120.5208,38.8577
0.832125,-120.1582,38.90858
0.92050004,-119.795,38.9581
0.83387506,-120.223,39.19109
0.916375,-119.8581,39.24089
0.8525,-120.2885,39.4738
0.94350004,-119.9218,39.5239
0.83374995,-120.4549,38.57567
0.89750004,-120.094,38.62627
0.85125,-120.5208,38.8577
0.88125,-120.1582,38.90858
0.90625,-119.795,38.9581
0.90125,-120.223,39.19109
0.90625,-119.8581,39.24089
0.89625,-120.2885,39.4738
0.91,-119.9218,39.5239
0.94625,-120.4549,38.57567
0.95800006,-120.094,38.62627
0.9611251,-120.5208,38.8577
0.960375,-120.1582,38.90858
0.9347501,-119.795,38.9581
0.97275007,-120.223,39.19109
0.94575,-119.8581,39.24089
0.9685,-120.2885,39.4738
0.9095,-119.9218,39.5239
0.88250005,-120.4549,38.57567
0.84375006,-120.094,38.62627
0.89374995,-120.5208,38.8577
0.8525,-120.1582,38.90858
0.88624996,-119.795,38.9581
0.91,-120.223,39.19109
0.89125,-119.8581,39.24089
0.8925,-120.2885,39.4738
0.895,-119.9218,39.5239
0.77624995,-120.4549,38.57567
0.7975,-120.094,38.62627
0.80375004,-120.5208,38.8577
0.79125,-120.1582,38.90858
0.79749995,-119.795,38.9581
0.8475001,-120.223,39.19109
0.79625005,-119.8581,39.24089
0.82750005,-120.2885,39.4738
0.82250005,-119.9218,39.5239
