omega,lon,lat
0.08760896,-119.8581,39.24089
-0.057410568,-120.2885,39.4738
0.0016714633,-119.9218,39.5239
0.06205038,-120.4549,38.57567
-0.006308995,-120.094,38.62627
0.08890585,-120.5208,38.8577
0.08158163,-120.1582,38.90858
0.10941366,-119.795,38.9581
0.08939413,-120.223,39.19109
0.110878505,-119.8581,39.24089
0.0010152236,-120.2885,39.4738
0.047890224,-119.9218,39.5239
0.06218806,-120.4549,38.57567
0.114922434,-120.094,38.62627
0.06658259,-120.5208,38.8577
0.10857478,-120.1582,38.90858
0.091973215,-119.795,38.9581
0.09050837,-120.223,39.19109
0.09050837,-119.8581,39.24089
0.075859934,-120.2885,39.4738
0.08269587,-119.9218,39.5239
-0.1025163,-120.4549,38.57567
-0.045387395,-120.094,38.62627
-0.108375676,-120.5208,38.8577
-0.0033952072,-120.1582,38.90858
0.083030574,-119.795,38.9581
-0.03952802,-120.223,39.19109
0.09670245,-119.8581,39.24089
0.02297198,-120.2885,39.4738
0.03908526,-119.9218,39.5239
0.060197987,-120.4549,38.57567
-0.013044201,-120.094,38.62627
0.028947987,-120.5208,38.8577
0.04603783,-120.1582,38.90858
0.102678455,-119.795,38.9581
0.0572683,-120.223,39.19109
0.12025658,-119.8581,39.24089
0.029436268,-120.2885,39.4738
0.07972924,-119.9218,39.5239
-0.04143758,-120.4549,38.57567
-0.0096993,-120.094,38.62627
-0.008722737,-120.5208,38.8577
0.0059257,-120.1582,38.90858
-0.018000081,-119.795,38.9581
0.018621013,-120.223,39.19109
-0.007746175,-119.8581,39.24089
0.018132731,-120.2885,39.4738
-0.0067696124,-119.9218,39.5239
-0.029730693,-120.4549,38.57567
-0.0062931925,-120.094,38.62627
-0.027777568,-120.5208,38.8577
-0.00092209876,-120.1582,38.90858
5.4463744e-05,-119.795,38.9581
-0.029242411,-120.223,39.19109
0.019585714,-119.8581,39.24089
-0.0048283488,-120.2885,39.4738
-0.022406474,-119.9218,39.5239
-0.052176334,-120.4549,38.57567
-0.07707868,-120.094,38.62627
-0.075613834,-120.5208,38.8577
0.00397601,-120.1582,38.90858
0.09479632,-119.795,38.9581
-0.01164899,-120.223,39.19109
0.09430804,-119.8581,39.24089
-0.026297428,-120.2885,39.4738
0.032784604,-119.9218,39.5239
-0.11140786,-120.4549,38.57567
-0.13435708,-120.094,38.62627
-0.11922036,-120.5208,38.8577
-0.09138833,-120.1582,38.90858
-0.05281411,-119.795,38.9581
-0.11189614,-120.223,39.19109
-0.007892236,-119.8581,39.24089
-0.07625161,-120.2885,39.4738
-0.06306802,-119.9218,39.5239
-0.070615105,-120.4549,38.57567
-0.078427605,-120.094,38.62627
-0.05645495,-120.5208,38.8577
-0.038876824,-120.1582,38.90858
-0.035458855,-119.795,38.9581
-0.031064324,-120.223,39.19109
0.00067395717,-119.8581,39.24089
-0.031552605,-120.2885,39.4738
-0.054013543,-119.9218,39.5239
-0.016206957,-120.4549,38.57567
-0.120699145,-120.094,38.62627
-0.043062426,-120.5208,38.8577
-0.050386645,-120.1582,38.90858
0.13516024,-119.795,38.9581
-0.07626555,-120.223,39.19109
0.1932657,-119.8581,39.24089
-0.03280852,-120.2885,39.4738
0.07558992,-119.9218,39.5239
-0.09688973,-120.4549,38.57567
-0.14278817,-120.094,38.62627
-0.076870196,-120.5208,38.8577
-0.09884285,-120.1582,38.90858
-0.0011866018,-119.795,38.9581
-0.07784676,-120.223,39.19109
0.024692304,-119.8581,39.24089
-0.07540535,-120.2885,39.4738
-0.04708504,-119.9218,39.5239
-0.048569307,-120.4549,38.57567
-0.08812009,-120.094,38.62627
-0.045151338,-120.5208,38.8577
-0.031479463,-120.1582,38.90858
0.089126006,-119.795,38.9581
-0.059311494,-120.223,39.19109
0.14625493,-119.8581,39.24089
-0.013413057,-120.2885,39.4738
0.062270537,-119.9218,39.5239
-0.096141934,-120.4549,38.57567
-0.14594662,-120.094,38.62627
-0.10102475,-120.5208,38.8577
-0.0814935,-120.1582,38.90858
0.13432682,-119.795,38.9581
-0.112255216,-120.223,39.19109
0.2129401,-119.8581,39.24089
0.007861972,-120.2885,39.4738
0.15385807,-119.9218,39.5239
-0.0569764,-120.4549,38.57567
-0.016937338,-120.094,38.62627
-0.030609213,-120.5208,38.8577
-0.011566244,-120.1582,38.90858
-0.007171713,-119.795,38.9581
-0.046722494,-120.223,39.19109
-0.0032654628,-119.8581,39.24089
-0.0179139,-120.2885,39.4738
-0.016449057,-119.9218,39.5239
-0.004248798,-120.4549,38.57567
0.05727464,-120.094,38.62627
-0.05991286,-120.5208,38.8577
0.09926683,-120.1582,38.90858
0.1417473,-119.795,38.9581
0.007958233,-120.223,39.19109
0.10121995,-119.8581,39.24089
0.10561448,-120.2885,39.4738
0.10073167,-119.9218,39.5239
-0.001813069,-120.4549,38.57567
-0.03794588,-120.094,38.62627
-0.035504475,-120.5208,38.8577
0.0011166185,-120.1582,38.90858
0.1397885,-119.795,38.9581
0.0030697435,-120.223,39.19109
0.121233806,-119.8581,39.24089
0.0484799,-120.2885,39.4738
0.10609709,-119.9218,39.5239
0.11182796,-120.4549,38.57567
0.10596859,-120.094,38.62627
0.08839046,-120.5208,38.8577
0.089367025,-120.1582,38.90858
0.116710775,-119.795,38.9581
0.09180843,-120.223,39.19109
0.12745297,-119.8581,39.24089
0.11573421,-120.2885,39.4738
