hgt,lon,lat
10029.457,-120.2885,39.4738
10005.707,-119.9218,39.5239
11391.783,-120.4549,38.57567
11323.033,-120.094,38.62627
11346.783,-120.5208,38.8577
11328.033,-120.1582,38.90858
11290.533,-119.795,38.9581
11330.533,-120.223,39.19109
11315.533,-119.8581,39.24089
11365.533,-120.2885,39.4738
11308.033,-119.9218,39.5239
12574.425,-120.4549,38.57567
12326.925,-120.094,38.62627
12591.925,-120.5208,38.8577
12606.925,-120.1582,38.90858
12366.925,-119.795,38.9581
12653.175,-120.223,39.19109
12808.175,-119.8581,39.24089
12553.175,-120.2885,39.4738
12535.675,-119.9218,39.5239
12234.098,-120.4549,38.57567
12207.848,-120.094,38.62627
12231.598,-120.5208,38.8577
12207.848,-120.1582,38.90858
12115.348,-119.795,38.9581
12194.098,-120.223,39.19109
12095.348,-119.8581,39.24089
12199.098,-120.2885,39.4738
12114.098,-119.9218,39.5239
14067.071,-120.4549,38.57567
14039.571,-120.094,38.62627
14059.571,-120.5208,38.8577
14037.071,-120.1582,38.90858
13769.571,-119.795,38.9581
13844.571,-120.223,39.19109
13509.571,-119.8581,39.24089
13732.071,-120.2885,39.4738
13452.071,-119.9218,39.5239
13566.309,-120.4549,38.57567
13812.559,-120.094,38.62627
13437.559,-120.5208,38.8577
14143.809,-120.1582,38.90858
14400.059,-119.795,38.9581
14005.059,-120.223,39.19109
14556.309,-119.8581,39.24089
14043.809,-120.2885,39.4738
14456.309,-119.9218,39.5239
10759.702,-120.4549,38.57567
10763.452,-120.094,38.62627
10745.952,-120.5208,38.8577
10749.702,-120.1582,38.90858
10753.452,-119.795,38.9581
10662.202,-120.223,39.19109
10723.452,-119.8581,39.24089
10590.952,-120.2885,39.4738
10577.202,-119.9218,39.5239
11510.84,-120.4549,38.57567
11593.34,-120.094,38.62627
11469.59,-120.5208,38.8577
11460.84,-120.1582,38.90858
11427.09,-119.795,38.9581
11450.84,-120.223,39.19109
11438.34,-119.8581,39.24089
11440.84,-120.2885,39.4738
11417.09,-119.9218,39.5239
11513.562,-120.4549,38.57567
11486.062,-120.094,38.62627
11516.062,-120.5208,38.8577
11547.312,-120.1582,38.90858
11484.812,-119.795,38.9581
11538.562,-120.223,39.19109
11463.562,-119.8581,39.24089
11508.562,-120.2885,39.4738
11477.312,-119.9218,39.5239
11046.079,-120.4549,38.57567
10938.579,-120.094,38.62627
10954.829,-120.5208,38.8577
10941.079,-120.1582,38.90858
10851.079,-119.795,38.9581
10902.329,-120.223,39.19109
10831.079,-119.8581,39.24089
10873.579,-120.2885,39.4738
10834.829,-119.9218,39.5239
10124.491,-120.4549,38.57567
9981.991,-120.094,38.62627
10080.741,-120.5208,38.8577
9924.491,-120.1582,38.90858
9874.491,-119.795,38.9581
9940.741,-120.223,39.19109
9865.741,-119.8581,39.24089
9840.741,-120.2885,39.4738
9845.741,-119.9218,39.5239
12381.81,-120.4549,38.57567
12298.06,-120.094,38.62627
12394.31,-120.5208,38.8577
12300.56,-120.1582,38.90858
12093.06,-119.795,38.9581
12300.56,-120.223,39.19109
12080.56,-119.8581,39.24089
12309.31,-120.2885,39.4738
12101.81,-119.9218,39.5239
11579.063,-120.4549,38.57567
11626.563,-120.094,38.62627
11501.563,-120.5208,38.8577
11552.813,-120.1582,38.90858
11550.313,-119.795,38.9581
11509.063,-120.223,39.19109
11539.063,-119.8581,39.24089
11501.563,-120.2885,39.4738
11532.813,-119.9218,39.5239
10746.689,-120.4549,38.57567
10664.189,-120.094,38.62627
10654.189,-120.5208,38.8577
10652.939,-120.1582,38.90858
10646.689,-119.795,38.9581
10644.189,-120.223,39.19109
10636.689,-119.8581,39.24089
10637.939,-120.2885,39.4738
10626.689,-119.9218,39.5239
11633.104,-120.4549,38.57567
11633.104,-120.094,38.62627
11620.604,-120.5208,38.8577
11625.604,-120.1582,38.90858
11624.354,-119.795,38.9581
11619.354,-120.223,39.19109
11614.354,-119.8581,39.24089
11613.104,-120.2885,39.4738
11604.354,-119.9218,39.5239
10974.169,-120.4549,38.57567
10976.669,-120.094,38.62627
10904.169,-120.5208,38.8577
10914.169,-120.1582,38.90858
10895.419,-119.795,38.9581
10819.169,-120.223,39.19109
10876.669,-119.8581,39.24089
10746.669,-120.2885,39.4738
10787.919,-119.9218,39.5239
11280.053,-120.4549,38.57567
11225.053,-120.094,38.62627
11108.803,-120.5208,38.8577
11153.803,-120.1582,38.90858
