air,lon,lat
264.7806,-120.2885,39.4738
268.9603,-119.9218,39.5239
278.06284,-120.4549,38.57567
267.89096,-120.094,38.62627
277.5316,-120.5208,38.8577
267.55502,-120.1582,38.90858
265.75815,-119.795,38.9581
270.64096,-120.223,39.19109
269.32065,-119.8581,39.24089
267.00034,-120.2885,39.4738
270.43784,-119.9218,39.5239
279.12384,-120.4549,38.57567
271.06134,-120.094,38.62627
279.07697,-120.5208,38.8577
271.56134,-120.1582,38.90858
270.30353,-119.795,38.9581
273.67853,-120.223,39.19109
272.8504,-119.8581,39.24089
271.4129,-120.2885,39.4738
273.31134,-119.9218,39.5239
278.62866,-120.4549,38.57567
269.11304,-120.094,38.62627
277.88647,-120.5208,38.8577
270.2224,-120.1582,38.90858
270.36304,-119.795,38.9581
272.10522,-120.223,39.19109
272.9021,-119.8581,39.24089
270.38647,-120.2885,39.4738
273.7146,-119.9218,39.5239
280.1713,-120.4549,38.57567
269.71817,-120.094,38.62627
279.70255,-120.5208,38.8577
269.84317,-120.1582,38.90858
267.46817,-119.795,38.9581
273.3588,-120.223,39.19109
271.44473,-119.8581,39.24089
269.0463,-120.2885,39.4738
272.77286,-119.9218,39.5239
281.41263,-120.4549,38.57567
274.06888,-120.094,38.62627
281.24857,-120.5208,38.8577
274.5142,-120.1582,38.90858
273.18607,-119.795,38.9581
275.63138,-120.223,39.19109
276.0142,-119.8581,39.24089
274.63138,-120.2885,39.4738
276.63138,-119.9218,39.5239
281.1454,-120.4549,38.57567
271.7157,-120.094,38.62627
279.93445,-120.5208,38.8577
271.05945,-120.1582,38.90858
270.5985,-119.795,38.9581
273.4657,-120.223,39.19109
273.3407,-119.8581,39.24089
270.49695,-120.2885,39.4738
274.7235,-119.9218,39.5239
282.12738,-120.4549,38.57567
272.91644,-120.094,38.62627
281.91644,-120.5208,38.8577
272.92426,-120.1582,38.90858
270.22113,-119.795,38.9581
275.48676,-120.223,39.19109
274.54926,-119.8581,39.24089
272.768,-120.2885,39.4738
275.5727,-119.9218,39.5239
280.5915,-120.4549,38.57567
273.85712,-120.094,38.62627
280.2868,-120.5208,38.8577
274.5915,-120.1582,38.90858
272.56024,-119.795,38.9581
274.93524,-120.223,39.19109
274.19305,-119.8581,39.24089
274.12274,-120.2885,39.4738
276.01337,-119.9218,39.5239
276.92453,-120.4549,38.57567
269.56516,-120.094,38.62627
278.31516,-120.5208,38.8577
269.9011,-120.1582,38.90858
