pr_wtr,lon,lat
7.403843,-119.8581,39.24089
6.919468,-120.2885,39.4738
8.153843,-119.9218,39.5239
6.908868,-120.4549,38.57567
4.705743,-120.094,38.62627
7.080743,-120.5208,38.8577
5.518243,-120.1582,38.90858
5.908868,-119.795,38.9581
5.893243,-120.223,39.19109
6.236993,-119.8581,39.24089
5.955743,-120.2885,39.4738
7.127618,-119.9218,39.5239
12.412758,-120.4549,38.57567
9.365884,-120.094,38.62627
12.803383,-120.5208,38.8577
10.303384,-120.1582,38.90858
10.131509,-119.795,38.9581
10.615884,-120.223,39.19109
10.444009,-119.8581,39.24089
10.397134,-120.2885,39.4738
11.303383,-119.9218,39.5239
10.46851,-120.4549,38.57567
7.1247597,-120.094,38.62627
10.359135,-120.5208,38.8577
7.65601,-120.1582,38.90858
7.3435097,-119.795,38.9581
7.7028847,-120.223,39.19109
7.4216347,-119.8581,39.24089
7.4372597,-120.2885,39.4738
8.109135,-119.9218,39.5239
5.9424877,-120.4549,38.57567
4.2393627,-120.094,38.62627
6.0674877,-120.5208,38.8577
4.7706127,-120.1582,38.90858
4.9112377,-119.795,38.9581
5.0206127,-120.223,39.19109
5.1612377,-119.8581,39.24089
5.0518627,-120.2885,39.4738
5.8643627,-119.9218,39.5239
8.035102,-120.4549,38.57567
4.5976024,-120.094,38.62627
8.425727,-120.5208,38.8577
5.253852,-120.1582,38.90858
4.566352,-119.795,38.9581
5.660102,-120.223,39.19109
4.9882274,-119.8581,39.24089
5.566352,-120.2885,39.4738
5.863227,-119.9218,39.5239
5.9507303,-120.4549,38.57567
3.1851058,-120.094,38.62627
6.2319803,-120.5208,38.8577
3.7007306,-120.1582,38.90858
3.4038558,-119.795,38.9581
3.9976056,-120.223,39.19109
3.7632306,-119.8581,39.24089
3.9819806,-120.2885,39.4738
4.5913553,-119.9218,39.5239
5.72501,-120.4549,38.57567
4.00626,-120.094,38.62627
6.03751,-120.5208,38.8577
4.490635,-120.1582,38.90858
4.490635,-119.795,38.9581
4.78751,-120.223,39.19109
4.803135,-119.8581,39.24089
4.88126,-120.2885,39.4738
5.53751,-119.9218,39.5239
7.7732277,-120.4549,38.57567
5.6326017,-120.094,38.62627
7.9451027,-120.5208,38.8577
6.2263527,-120.1582,38.90858
6.1326027,-119.795,38.9581
6.3044777,-120.223,39.19109
6.2888527,-119.8581,39.24089
6.1326027,-120.2885,39.4738
6.8826027,-119.9218,39.5239
7.091461,-120.4549,38.57567
4.1539617,-120.094,38.62627
7.153961,-120.5208,38.8577
4.7789617,-120.1582,38.90858
4.5445867,-119.795,38.9581
5.2320867,-120.223,39.19109
4.8414617,-119.8581,39.24089
4.9664617,-120.2885,39.4738
5.5602117,-119.9218,39.5239
8.905789,-120.4549,38.57567
5.2026644,-120.094,38.62627
8.843289,-120.5208,38.8577
5.8120394,-120.1582,38.90858
5.3901644,-119.795,38.9581
5.8589144,-120.223,39.19109
5.5307894,-119.8581,39.24089
5.4526644,-120.2885,39.4738
6.0620394,-119.9218,39.5239
6.9271355,-120.4549,38.57567
4.8646355,-120.094,38.62627
6.6146355,-120.5208,38.8577
5.1927605,-120.1582,38.90858
5.0990105,-119.795,38.9581
5.3646355,-120.223,39.19109
5.2396355,-119.8581,39.24089
5.4740105,-120.2885,39.4738
5.8021355,-119.9218,39.5239
8.427116,-120.4549,38.57567
5.348991,-120.094,38.62627
8.348991,-120.5208,38.8577
5.8802414,-120.1582,38.90858
5.395866,-119.795,38.9581
