wcuflx,lon,lat
76456.31,-120.223,39.19109
68187.56,-119.8581,39.24089
74807.56,-120.2885,39.4738
71298.81,-119.9218,39.5239
1940.832,-120.4549,38.57567
733.33203,-120.094,38.62627
1118.332,-120.5208,38.8577
600.83203,-120.1582,38.90858
1085.832,-119.795,38.9581
990.83203,-120.223,39.19109
1105.832,-119.8581,39.24089
1748.332,-120.2885,39.4738
1270.832,-119.9218,39.5239
13614.129,-120.4549,38.57567
12414.129,-120.094,38.62627
14661.629,-120.5208,38.8577
12669.129,-120.1582,38.90858
11686.629,-119.795,38.9581
13111.629,-120.223,39.19109
12061.629,-119.8581,39.24089
13106.629,-120.2885,39.4738
12136.629,-119.9218,39.5239
63585.95,-120.4549,38.57567
52040.95,-120.094,38.62627
73400.95,-120.5208,38.8577
60535.95,-120.1582,38.90858
42843.45,-119.795,38.9581
65835.95,-120.223,39.19109
44740.95,-119.8581,39.24089
68218.45,-120.2885,39.4738
47203.45,-119.9218,39.5239
166800.25,-120.4549,38.57567
158060.25,-120.094,38.62627
196987.75,-120.5208,38.8577
185525.25,-120.1582,38.90858
154290.25,-119.795,38.9581
206060.25,-120.223,39.19109
166245.25,-119.8581,39.24089
207860.25,-120.2885,39.4738
164185.25,-119.9218,39.5239
143070.83,-120.4549,38.57567
143698.31,-120.094,38.62627
156393.33,-120.5208,38.8577
154903.33,-120.1582,38.90858
143570.81,-119.795,38.9581
165490.81,-120.223,39.19109
148085.81,-119.8581,39.24089
169698.31,-120.2885,39.4738
150543.31,-119.9218,39.5239
113812.445,-120.4549,38.57567
119759.945,-120.094,38.62627
114347.445,-120.5208,38.8577
121882.445,-120.1582,38.90858
111744.945,-119.795,38.9581
112459.945,-120.223,39.19109
107369.945,-119.8581,39.24089
102522.445,-120.2885,39.4738
90882.445,-119.9218,39.5239
20258.348,-120.4549,38.57567
26378.348,-120.094,38.62627
23418.348,-120.5208,38.8577
28620.848,-120.1582,38.90858
30000.848,-119.795,38.9581
32003.348,-120.223,39.19109
33945.848,-119.8581,39.24089
36795.848,-120.2885,39.4738
32783.348,-119.9218,39.5239
9407.154,-120.4549,38.57567
6772.1543,-120.094,38.62627
8037.1543,-120.5208,38.8577
5677.1543,-120.1582,38.90858
4209.6543,-119.795,38.9581
4804.6543,-120.223,39.19109
3917.1543,-119.8581,39.24089
5079.6543,-120.2885,39.4738
4174.6543,-119.9218,39.5239
12405.967,-120.4549,38.57567
12088.467,-120.094,38.62627
12318.467,-120.5208,38.8577
11730.967,-120.1582,38.90858
10738.467,-119.795,38.9581
11353.467,-120.223,39.19109
10500.967,-119.8581,39.24089
10823.467,-120.2885,39.4738
9993.467,-119.9218,39.5239
20504.445,-120.4549,38.57567
16776.945,-120.094,38.62627
21471.945,-120.5208,38.8577
15146.945,-120.1582,38.90858
6891.9453,-119.795,38.9581
14029.445,-120.223,39.19109
5129.4453,-119.8581,39.24089
13851.945,-120.2885,39.4738
6264.4453,-119.9218,39.5239
45775.945,-120.4549,38.57567
35898.445,-120.094,38.62627
51065.945,-120.5208,38.8577
40140.945,-120.1582,38.90858
30970.945,-119.795,38.9581
45193.445,-120.223,39.19109
32783.445,-119.8581,39.24089
49573.445,-120.2885,39.4738
38420.945,-119.9218,39.5239
35112.91,-120.4549,38.57567
32402.91,-120.094,38.62627
36117.91,-120.5208,38.8577
34280.41,-120.1582,38.90858
32470.41,-119.795,38.9581
36087.91,-120.223,39.19109
34520.41,-119.8581,39.24089
37520.41,-120.2885,39.4738
36237.91,-119.9218,39.5239
34873.016,-120.4549,38.57567
23618.014,-120.094,38.62627
35475.516,-120.5208,38.8577
24400.514,-120.1582,38.90858
16113.014,-119.795,38.9581
25773.014,-120.223,39.19109
16510.514,-119.8581,39.24089
25333.014,-120.2885,39.4738
18868.014,-119.9218,39.5239
47878.613,-120.4549,38.57567
42401.113,-120.094,38.62627
49073.613,-120.5208,38.8577
38361.113,-120.1582,38.90858
27906.113,-119.795,38.9581
37593.613,-120.223,39.19109
25463.613,-119.8581,39.24089
34818.613,-120.2885,39.4738
24728.613,-119.9218,39.5239
17817.656,-120.4549,38.57567
24567.656,-120.094,38.62627
17862.656,-120.5208,38.8577
22352.656,-120.1582,38.90858
21255.156,-119.795,38.9581
20017.656,-120.223,39.19109
21577.656,-119.8581,39.24089
19905.156,-120.2885,39.4738
19235.156,-119.9218,39.5239
3672.3594,-120.4549,38.57567
5602.3594,-120.094,38.62627
3934.8594,-120.5208,38.8577
5424.8594,-120.1582,38.90858
5944.8594,-119.795,38.9581
5742.3594,-120.223,39.19109
5807.3594,-119.8581,39.24089
5364.8594,-120.2885,39.4738
5614.8594,-119.9218,39.5239
12523.082,-120.4549,38.57567
10705.582,-120.094,38.62627
12663.082,-120.5208,38.8577
10635.582,-120.1582,38.90858
8948.082,-119.795,38.9581
11098.082,-120.223,39.19109
9078.082,-119.8581,39.24089
10895.582,-120.2885,39.4738
9118.082,-119.9218,39.5239
-1725.5781,-120.4549,38.57567
-910.5781,-120.094,38.62627
-385.57812,-120.5208,38.8577
-410.57812,-120.1582,38.90858
-503.07812,-119.795,38.9581
744.4219,-120.223,39.19109
969.4219,-119.8581,39.24089
1526.9219,-120.2885,39.4738
2066.9219,-119.9218,39.5239
-52.273438,-120.4549,38.57567
897.72656,-120.094,38.62627
-252.27344,-120.5208,38.8577
997.72656,-120.1582,38.90858
1265.2266,-119.795,38.9581
677.72656,-120.223,39.19109
-137.27344,-119.8581,39.24089
300.22656,-120.2885,39.4738
512.72656,-119.9218,39.5239
2972.6992,-120.4549,38.57567
2602.6992,-120.094,38.62627
3260.1992,-120.5208,38.8577
2422.6992,-120.1582,38.90858
1732.6992,-119.795,38.9581
2707.6992,-120.223,39.19109
1852.6992,-119.8581,39.24089
2927.6992,-120.2885,39.4738
2220.1992,-119.9218,39.5239
27764.941,-120.4549,38.57567
26239.941,-120.094,38.62627
27877.441,-120.5208,38.8577
26439.941,-120.1582,38.90858
25164.941,-119.795,38.9581
26477.441,-120.223,39.19109
24852.441,-119.8581,39.24089
26489.941,-120.2885,39.4738
25264.941,-119.9218,39.5239
-1677.043,-120.4549,38.57567
-3039.543,-120.094,38.62627
