prmsl,lon,lat
102155.9,-119.8581,39.24089
102134.4,-120.2885,39.4738
102266.52,-119.9218,39.5239
102315.47,-120.4549,38.57567
102214.84,-120.094,38.62627
102324.34,-120.5208,38.8577
102200.84,-120.1582,38.90858
102150.34,-119.795,38.9581
102190.97,-120.223,39.19109
102118.34,-119.8581,39.24089
102155.09,-120.2885,39.4738
102139.84,-119.9218,39.5239
102277.375,-120.4549,38.57567
102165.375,-120.094,38.62627
102243.0,-120.5208,38.8577
102110.5,-120.1582,38.90858
102031.375,-119.795,38.9581
102056.125,-120.223,39.19109
101976.5,-119.8581,39.24089
101983.625,-120.2885,39.4738
101935.125,-119.9218,39.5239
102290.914,-120.4549,38.57567
102186.414,-120.094,38.62627
102302.664,-120.5208,38.8577
102179.79,-120.1582,38.90858
102098.04,-119.795,38.9581
102181.54,-120.223,39.19109
102095.54,-119.8581,39.24089
102157.29,-120.2885,39.4738
102110.04,-119.9218,39.5239
101724.71,-120.4549,38.57567
101585.836,-120.094,38.62627
101714.836,-120.5208,38.8577
101580.21,-120.1582,38.90858
101502.21,-119.795,38.9581
101554.586,-120.223,39.19109
101481.96,-119.8581,39.24089
101513.21,-120.2885,39.4738
101497.336,-119.9218,39.5239
101902.9,-120.4549,38.57567
101860.15,-120.094,38.62627
101898.9,-120.5208,38.8577
101849.02,-120.1582,38.90858
101806.77,-119.795,38.9581
101827.27,-120.223,39.19109
101775.77,-119.8581,39.24089
101803.9,-120.2885,39.4738
101777.27,-119.9218,39.5239
102535.47,-120.4549,38.57567
102579.72,-120.094,38.62627
102574.47,-120.5208,38.8577
102669.72,-120.1582,38.90858
102843.47,-119.795,38.9581
102716.34,-120.223,39.19109
102866.72,-119.8581,39.24089
102761.84,-120.2885,39.4738
102908.59,-119.9218,39.5239
102310.62,-120.4549,38.57567
102234.49,-120.094,38.62627
102310.49,-120.5208,38.8577
102299.24,-120.1582,38.90858
102457.12,-119.795,38.9581
102334.49,-120.223,39.19109
102488.99,-119.8581,39.24089
102373.99,-120.2885,39.4738
102604.62,-119.9218,39.5239
101699.39,-120.4549,38.57567
101673.516,-120.094,38.62627
101703.516,-120.5208,38.8577
101675.64,-120.1582,38.90858
101714.89,-119.795,38.9581
101688.89,-120.223,39.19109
101725.266,-119.8581,39.24089
101689.39,-120.2885,39.4738
101786.39,-119.9218,39.5239
101994.55,-120.4549,38.57567
101916.55,-120.094,38.62627
101995.8,-120.5208,38.8577
101918.3,-120.1582,38.90858
101901.17,-119.795,38.9581
101896.8,-120.223,39.19109
101867.67,-119.8581,39.24089
101844.05,-120.2885,39.4738
101856.05,-119.9218,39.5239
102284.16,-120.4549,38.57567
102202.03,-120.094,38.62627
102300.03,-120.5208,38.8577
