tcdc,lon,lat
24.125,-120.4549,38.57567
27.0,-120.094,38.62627
22.75,-120.5208,38.8577
30.0,-120.1582,38.90858
61.375,-119.795,38.9581
34.375,-120.223,39.19109
72.5,-119.8581,39.24089
38.0,-120.2885,39.4738
75.125,-119.9218,39.5239
16.625,-120.4549,38.57567
15.0,-120.094,38.62627
19.375,-120.5208,38.8577
18.0,-120.1582,38.90858
17.75,-119.795,38.9581
20.0,-120.223,39.19109
18.875,-119.8581,39.24089
22.625,-120.2885,39.4738
22.0,-119.9218,39.5239
57.375,-120.4549,38.57567
53.625,-120.094,38.62627
62.5,-120.5208,38.8577
53.0,-120.1582,38.90858
49.5,-119.795,38.9581
54.25,-120.223,39.19109
51.0,-119.8581,39.24089
54.5,-120.2885,39.4738
56.125,-119.9218,39.5239
40.75,-120.4549,38.57567
36.25,-120.094,38.62627
44.625,-120.5208,38.8577
40.5,-120.1582,38.90858
37.5,-119.795,38.9581
44.0,-120.223,39.19109
41.625,-119.8581,39.24089
46.875,-120.2885,39.4738
43.875,-119.9218,39.5239
27.5,-120.4549,38.57567
24.0,-120.094,38.62627
28.875,-120.5208,38.8577
23.5,-120.1582,38.90858
22.75,-119.795,38.9581
25.0,-120.223,39.19109
23.625,-119.8581,39.24089
29.75,-120.2885,39.4738
33.75,-119.9218,39.5239
24.625,-120.4549,38.57567
17.375,-120.094,38.62627
31.25,-120.5208,38.8577
17.75,-120.1582,38.90858
15.5,-119.795,38.9581
19.125,-120.223,39.19109
13.5,-119.8581,39.24089
20.625,-120.2885,39.4738
16.125,-119.9218,39.5239
23.375,-120.4549,38.57567
22.125,-120.094,38.62627
35.5,-120.5208,38.8577
28.5,-120.1582,38.90858
22.625,-119.795,38.9581
31.25,-120.223,39.19109
27.375,-119.8581,39.24089
34.125,-120.2885,39.4738
33.125,-119.9218,39.5239
6.5,-120.4549,38.57567
6.625,-120.094,38.62627
8.875,-120.5208,38.8577
9.375,-120.1582,38.90858
9.125,-119.795,38.9581
12.125,-120.223,39.19109
11.75,-119.8581,39.24089
15.5,-120.2885,39.4738
15.0,-119.9218,39.5239
13.875,-120.4549,38.57567
12.5,-120.094,38.62627
12.0,-120.5208,38.8577
12.875,-120.1582,38.90858
13.375,-119.795,38.9581
19.625,-120.223,39.19109
15.5,-119.8581,39.24089
18.375,-120.2885,39.4738
18.75,-119.9218,39.5239
48.625,-120.4549,38.57567
31.5,-120.094,38.62627
57.125,-120.5208,38.8577
44.125,-120.1582,38.90858
31.875,-119.795,38.9581
45.875,-120.223,39.19109
36.625,-119.8581,39.24089
48.0,-120.2885,39.4738
42.0,-119.9218,39.5239
67.0,-120.4549,38.57567
67.625,-120.094,38.62627
70.875,-120.5208,38.8577
70.75,-120.1582,38.90858
77.75,-119.795,38.9581
71.375,-120.223,39.19109
78.125,-119.8581,39.24089
73.25,-120.2885,39.4738
79.125,-119.9218,39.5239
24.0,-120.4549,38.57567
16.25,-120.094,38.62627
24.875,-120.5208,38.8577
22.25,-120.1582,38.90858
17.75,-119.795,38.9581
24.125,-120.223,39.19109
20.875,-119.8581,39.24089
24.75,-120.2885,39.4738
22.375,-119.9218,39.5239
59.5,-120.4549,38.57567
21.5,-120.094,38.62627
75.0,-120.5208,38.8577
26.25,-120.1582,38.90858
14.75,-119.795,38.9581
37.125,-120.223,39.19109
25.25,-119.8581,39.24089
27.0,-120.2885,39.4738
30.125,-119.9218,39.5239
36.75,-120.4549,38.57567
44.625,-120.094,38.62627
40.125,-120.5208,38.8577
45.75,-120.1582,38.90858
59.125,-119.795,38.9581
55.125,-120.223,39.19109
67.375,-119.8581,39.24089
66.75,-120.2885,39.4738
68.875,-119.9218,39.5239
61.75,-120.4549,38.57567
23.125,-120.094,38.62627
69.75,-120.5208,38.8577
37.25,-120.1582,38.90858
23.0,-119.795,38.9581
37.0,-120.223,39.19109
22.125,-119.8581,39.24089
31.375,-120.2885,39.4738
22.375,-119.9218,39.5239
79.125,-120.4549,38.57567
36.5,-120.094,38.62627
93.875,-120.5208,38.8577
50.75,-120.1582,38.90858
27.375,-119.795,38.9581
57.375,-120.223,39.19109
42.375,-119.8581,39.24089
52.375,-120.2885,39.4738
44.375,-119.9218,39.5239
42.25,-120.4549,38.57567
34.625,-120.094,38.62627
44.625,-120.5208,38.8577
36.75,-120.1582,38.90858
28.875,-119.795,38.9581
41.0,-120.223,39.19109
33.5,-119.8581,39.24089
45.5,-120.2885,39.4738
40.0,-119.9218,39.5239
91.0,-120.4549,38.57567
61.5,-120.094,38.62627
91.5,-120.5208,38.8577
63.375,-120.1582,38.90858
34.875,-119.795,38.9581
62.5,-120.223,39.19109
37.125,-119.8581,39.24089
50.625,-120.2885,39.4738
33.75,-119.9218,39.5239
77.5,-120.4549,38.57567
58.875,-120.094,38.62627
78.25,-120.5208,38.8577
68.375,-120.1582,38.90858
56.0,-119.795,38.9581
68.75,-120.223,39.19109
56.125,-119.8581,39.24089
63.25,-120.2885,39.4738
53.125,-119.9218,39.5239
69.75,-120.4549,38.57567
69.5,-120.094,38.62627
68.75,-120.5208,38.8577
66.5,-120.1582,38.90858
68.0,-119.795,38.9581
65.0,-120.223,39.19109
63.5,-119.8581,39.24089
63.25,-120.2885,39.4738
63.0,-119.9218,39.5239
71.0,-120.4549,38.57567
69.5,-120.094,38.62627
72.5,-120.5208,38.8577
71.625,-120.1582,38.90858
71.75,-119.795,38.9581
73.875,-120.223,39.19109
73.0,-119.8581,39.24089
77.625,-120.2885,39.4738
76.375,-119.9218,39.5239
97.875,-120.4549,38.57567
94.625,-120.094,38.62627
98.0,-120.5208,38.8577
96.625,-120.1582,38.90858
94.5,-119.795,38.9581
98.125,-120.223,39.19109
97.75,-119.8581,39.24089
98.875,-120.2885,39.4738
99.25,-119.9218,39.5239
74.0,-120.4549,38.57567
39.75,-120.094,38.62627
78.75,-120.5208,38.8577
60.5,-120.1582,38.90858
44.125,-119.795,38.9581
57.125,-120.223,39.19109
44.25,-119.8581,39.24089
48.0,-120.2885,39.4738
39.75,-119.9218,39.5239
72.625,-120.4549,38.57567
54.125,-120.094,38.62627
77.25,-120.5208,38.8577
64.125,-120.1582,38.90858
50.75,-119.795,38.9581
66.125,-120.223,39.19109
56.0,-119.8581,39.24089
63.0,-120.2885,39.4738
56.5,-119.9218,39.5239
54.625,-120.4549,38.57567
48.5,-120.094,38.62627
57.0,-120.5208,38.8577
51.25,-120.1582,38.90858
44.0,-119.795,38.9581
52.5,-120.223,39.19109
46.75,-119.8581,39.24089
53.5,-120.2885,39.4738
48.75,-119.9218,39.5239
61.25,-120.4549,38.57567
51.0,-120.094,38.62627
68.875,-120.5208,38.8577
53.625,-120.1582,38.90858
43.75,-119.795,38.9581
53.625,-120.223,39.19109
46.75,-119.8581,39.24089
56.875,-120.2885,39.4738
58.5,-119.9218,39.5239
39.0,-120.4549,38.57567
30.75,-120.094,38.62627
42.375,-120.5208,38.8577
31.875,-120.1582,38.90858
29.375,-119.795,38.9581
35.25,-120.223,39.19109
30.625,-119.8581,39.24089
34.75,-120.2885,39.4738
35.25,-119.9218,39.5239
86.25,-120.4549,38.57567
68.0,-120.094,38.62627
85.625,-120.5208,38.8577
77.875,-120.1582,38.90858
71.5,-119.795,38.9581
72.25,-120.223,39.19109
76.0,-119.8581,39.24089
71.625,-120.2885,39.4738
68.375,-119.9218,39.5239
41.125,-120.4549,38.57567
36.125,-120.094,38.62627
46.0,-120.5208,38.8577
37.875,-120.1582,38.90858
33.125,-119.795,38.9581
38.0,-120.223,39.19109
32.25,-119.8581,39.24089
38.125,-120.2885,39.4738
33.875,-119.9218,39.5239
49.625,-120.4549,38.57567
43.125,-120.094,38.62627
65.625,-120.5208,38.8577
51.0,-120.1582,38.90858
49.0,-119.795,38.9581
61.0,-120.223,39.19109
59.625,-119.8581,39.24089
64.875,-120.2885,39.4738
60.25,-119.9218,39.5239
13.0,-120.4549,38.57567
10.625,-120.094,38.62627
13.875,-120.5208,38.8577
11.75,-120.1582,38.90858
10.125,-119.795,38.9581
12.75,-120.223,39.19109
10.5,-119.8581,39.24089
14.5,-120.2885,39.4738
12.625,-119.9218,39.5239
39.25,-120.4549,38.57567
37.375,-120.094,38.62627
45.375,-120.5208,38.8577
41.625,-120.1582,38.90858
44.375,-119.795,38.9581
42.75,-120.223,39.19109
47.125,-119.8581,39.24089
43.25,-120.2885,39.4738
49.125,-119.9218,39.5239
39.125,-120.4549,38.57567
23.0,-120.094,38.62627
41.5,-120.5208,38.8577
26.125,-120.1582,38.90858
19.75,-119.795,38.9581
27.125,-120.223,39.19109
22.375,-119.8581,39.24089
28.375,-120.2885,39.4738
24.5,-119.9218,39.5239
6.625,-120.4549,38.57567
6.125,-120.094,38.62627
