rhum,lon,lat
85.889565,-120.4549,38.57567
95.108315,-120.094,38.62627
92.24894,-120.5208,38.8577
93.17863,-120.1582,38.90858
97.11613,-119.795,38.9581
89.75675,-120.223,39.19109
93.44425,-119.8581,39.24089
93.858315,-120.2885,39.4738
93.63175,-119.9218,39.5239
76.680214,-120.4549,38.57567
85.09428,-120.094,38.62627
86.273964,-120.5208,38.8577
82.6724,-120.1582,38.90858
87.6099,-119.795,38.9581
87.21928,-120.223,39.19109
85.82084,-119.8581,39.24089
86.7974,-120.2885,39.4738
91.81303,-119.9218,39.5239
80.74974,-120.4549,38.57567
79.046616,-120.094,38.62627
83.89818,-120.5208,38.8577
73.88255,-120.1582,38.90858
81.44505,-119.795,38.9581
82.03099,-120.223,39.19109
79.88255,-119.8581,39.24089
76.19505,-120.2885,39.4738
87.48411,-119.9218,39.5239
87.81824,-120.4549,38.57567
90.529175,-120.094,38.62627
89.0448,-120.5208,38.8577
89.1698,-120.1582,38.90858
93.25574,-119.795,38.9581
91.747925,-120.223,39.19109
91.81824,-119.8581,39.24089
94.63074,-120.2885,39.4738
89.13855,-119.9218,39.5239
80.22134,-120.4549,38.57567
77.557274,-120.094,38.62627
81.14321,-120.5208,38.8577
76.6979,-120.1582,38.90858
73.78384,-119.795,38.9581
84.47134,-120.223,39.19109
75.64321,-119.8581,39.24089
80.276024,-120.2885,39.4738
83.42446,-119.9218,39.5239
82.466446,-120.4549,38.57567
89.53676,-120.094,38.62627
83.64613,-120.5208,38.8577
84.83363,-120.1582,38.90858
77.83363,-119.795,38.9581
86.122696,-120.223,39.19109
74.528946,-119.8581,39.24089
86.32582,-120.2885,39.4738
77.153946,-119.9218,39.5239
88.50338,-120.4549,38.57567
92.37838,-120.094,38.62627
91.88619,-120.5208,38.8577
91.94869,-120.1582,38.90858
88.02682,-119.795,38.9581
92.644005,-120.223,39.19109
85.71432,-119.8581,39.24089
92.44869,-120.2885,39.4738
84.737755,-119.9218,39.5239
74.92052,-120.4549,38.57567
65.55332,-120.094,38.62627
72.600204,-120.5208,38.8577
69.061134,-120.1582,38.90858
83.60802,-119.795,38.9581
65.38145,-120.223,39.19109
82.631454,-119.8581,39.24089
70.00645,-120.2885,39.4738
83.52989,-119.9218,39.5239
67.88008,-120.4549,38.57567
30.075397,-120.094,38.62627
61.13008,-120.5208,38.8577
31.887897,-120.1582,38.90858
53.169144,-119.795,38.9581
42.73946,-120.223,39.19109
50.841022,-119.8581,39.24089
31.278522,-120.2885,39.4738
80.10664,-119.9218,39.5239
76.91344,-120.4549,38.57567
62.514996,-120.094,38.62627
81.75719,-120.5208,38.8577
66.19469,-120.1582,38.90858
57.452496,-119.795,38.9581
78.39,-120.223,39.19109
63.179058,-119.8581,39.24089
71.61656,-120.2885,39.4738
70.14,-119.9218,39.5239
91.81306,-120.4549,38.57567
91.75837,-120.094,38.62627
94.28962,-120.5208,38.8577
89.37556,-120.1582,38.90858
88.10212,-119.795,38.9581
91.19587,-120.223,39.19109
85.78181,-119.8581,39.24089
92.180244,-120.2885,39.4738
77.430244,-119.9218,39.5239
89.31527,-120.4549,38.57567
83.35433,-120.094,38.62627
92.30746,-120.5208,38.8577
86.19808,-120.1582,38.90858
82.60433,-119.795,38.9581
89.77621,-120.223,39.19109
81.56527,-119.8581,39.24089
88.74496,-120.2885,39.4738
73.518394,-119.9218,39.5239
89.07148,-120.4549,38.57567
90.50898,-120.094,38.62627
90.40742,-120.5208,38.8577
90.87617,-120.1582,38.90858
87.21992,-119.795,38.9581
88.899605,-120.223,39.19109
87.14179,-119.8581,39.24089
90.087105,-120.2885,39.4738
82.06367,-119.9218,39.5239
83.14968,-120.4549,38.57567
87.71218,-120.094,38.62627
83.37624,-120.5208,38.8577
88.89968,-120.1582,38.90858
85.89968,-119.795,38.9581
88.24343,-120.223,39.19109
83.7903,-119.8581,39.24089
89.53249,-120.2885,39.4738
79.8528,-119.9218,39.5239
69.08622,-120.4549,38.57567
49.2659,-120.094,38.62627
62.554966,-120.5208,38.8577
55.484653,-120.1582,38.90858
75.34403,-119.795,38.9581
58.328403,-120.223,39.19109
74.49247,-119.8581,39.24089
59.78934,-120.2885,39.4738
80.039345,-119.9218,39.5239
45.613514,-120.4549,38.57567
25.261955,-120.094,38.62627
37.426018,-120.5208,38.8577
33.09008,-120.1582,38.90858
51.277576,-119.795,38.9581
40.238518,-120.223,39.19109
53.840076,-119.8581,39.24089
36.941643,-120.2885,39.4738
72.51977,-119.9218,39.5239
51.05877,-120.4549,38.57567
55.988457,-120.094,38.62627
52.59783,-120.5208,38.8577
55.980644,-120.1582,38.90858
50.16033,-119.795,38.9581
58.894707,-120.223,39.19109
57.34002,-119.8581,39.24089
59.02752,-120.2885,39.4738
61.832207,-119.9218,39.5239
86.54762,-120.4549,38.57567
88.20387,-120.094,38.62627
90.38356,-120.5208,38.8577
89.305435,-120.1582,38.90858
76.28199,-119.795,38.9581
92.782,-120.223,39.19109
81.1023,-119.8581,39.24089
89.50075,-120.2885,39.4738
69.2273,-119.9218,39.5239
75.85239,-120.4549,38.57567
55.258636,-120.094,38.62627
78.375824,-120.5208,38.8577
63.82895,-120.1582,38.90858
64.11801,-119.795,38.9581
75.10239,-120.223,39.19109
66.469574,-119.8581,39.24089
67.76645,-120.2885,39.4738
65.36801,-119.9218,39.5239
52.953125,-120.4549,38.57567
40.21875,-120.094,38.62627
58.648438,-120.5208,38.8577
45.820312,-120.1582,38.90858
37.273438,-119.795,38.9581
58.914062,-120.223,39.19109
30.78125,-119.8581,39.24089
47.984375,-120.2885,39.4738
40.601562,-119.9218,39.5239
62.648438,-120.4549,38.57567
47.882812,-120.094,38.62627
67.03125,-120.5208,38.8577
49.390625,-120.1582,38.90858
35.617188,-119.795,38.9581
68.0,-120.223,39.19109
35.882812,-119.8581,39.24089
50.992188,-120.2885,39.4738
35.117188,-119.9218,39.5239
84.94531,-120.4549,38.57567
