cdlyr,lon,lat
70.75,-119.8581,39.24089
74.25,-120.2885,39.4738
72.75,-119.9218,39.5239
98.25,-120.4549,38.57567
94.875,-120.094,38.62627
98.0,-120.5208,38.8577
97.125,-120.1582,38.90858
96.25,-119.795,38.9581
98.625,-120.223,39.19109
98.5,-119.8581,39.24089
99.25,-120.2885,39.4738
99.5,-119.9218,39.5239
70.125,-120.4549,38.57567
39.125,-120.094,38.62627
74.75,-120.5208,38.8577
55.125,-120.1582,38.90858
42.5,-119.795,38.9581
54.625,-120.223,39.19109
42.25,-119.8581,39.24089
45.75,-120.2885,39.4738
41.125,-119.9218,39.5239
77.125,-120.4549,38.57567
58.125,-120.094,38.62627
79.625,-120.5208,38.8577
66.625,-120.1582,38.90858
54.625,-119.795,38.9581
67.125,-120.223,39.19109
57.125,-119.8581,39.24089
65.75,-120.2885,39.4738
57.0,-119.9218,39.5239
47.75,-120.4549,38.57567
42.625,-120.094,38.62627
50.875,-120.5208,38.8577
46.0,-120.1582,38.90858
39.5,-119.795,38.9581
47.5,-120.223,39.19109
41.375,-119.8581,39.24089
48.5,-120.2885,39.4738
44.25,-119.9218,39.5239
59.0,-120.4549,38.57567
47.75,-120.094,38.62627
62.0,-120.5208,38.8577
52.625,-120.1582,38.90858
46.375,-119.795,38.9581
54.625,-120.223,39.19109
48.125,-119.8581,39.24089
57.375,-120.2885,39.4738
60.625,-119.9218,39.5239
37.75,-120.4549,38.57567
32.125,-120.094,38.62627
41.5,-120.5208,38.8577
31.625,-120.1582,38.90858
29.5,-119.795,38.9581
32.25,-120.223,39.19109
27.0,-119.8581,39.24089
31.625,-120.2885,39.4738
31.375,-119.9218,39.5239
86.375,-120.4549,38.57567
70.625,-120.094,38.62627
86.25,-120.5208,38.8577
74.875,-120.1582,38.90858
67.625,-119.795,38.9581
73.5,-120.223,39.19109
68.625,-119.8581,39.24089
72.125,-120.2885,39.4738
67.75,-119.9218,39.5239
42.875,-120.4549,38.57567
35.625,-120.094,38.62627
45.75,-120.5208,38.8577
39.25,-120.1582,38.90858
35.0,-119.795,38.9581
39.5,-120.223,39.19109
38.625,-119.8581,39.24089
40.125,-120.2885,39.4738
36.0,-119.9218,39.5239
48.25,-120.4549,38.57567
41.625,-120.094,38.62627
63.875,-120.5208,38.8577
53.125,-120.1582,38.90858
51.125,-119.795,38.9581
62.5,-120.223,39.19109
59.875,-119.8581,39.24089
68.0,-120.2885,39.4738
65.0,-119.9218,39.5239
13.0,-120.4549,38.57567
10.75,-120.094,38.62627
14.5,-120.5208,38.8577
12.125,-120.1582,38.90858
10.5,-119.795,38.9581
12.875,-120.223,39.19109
11.0,-119.8581,39.24089
13.5,-120.2885,39.4738
11.75,-119.9218,39.5239
43.375,-120.4549,38.57567
44.5,-120.094,38.62627
47.875,-120.5208,38.8577
46.875,-120.1582,38.90858
48.375,-119.795,38.9581
48.25,-120.223,39.19109
49.75,-119.8581,39.24089
50.625,-120.2885,39.4738
53.25,-119.9218,39.5239
38.75,-120.4549,38.57567
22.125,-120.094,38.62627
41.0,-120.5208,38.8577
25.25,-120.1582,38.90858
17.375,-119.795,38.9581
28.0,-120.223,39.19109
20.125,-119.8581,39.24089
28.875,-120.2885,39.4738
21.875,-119.9218,39.5239
6.875,-120.4549,38.57567
