wvinc,lon,lat
-0.075852394,-120.4549,38.57567
0.001147747,-120.094,38.62627
-0.111977816,-120.5208,38.8577
-0.14110184,-120.1582,38.90858
0.09252286,-119.795,38.9581
0.017522335,-120.223,39.19109
0.24964762,-119.8581,39.24089
0.21064734,-120.2885,39.4738
0.07689786,-119.9218,39.5239
0.16549182,-120.4549,38.57567
0.8117416,-120.094,38.62627
1.6178668,-120.5208,38.8577
0.67399216,-120.1582,38.90858
0.04386735,-119.795,38.9581
1.1056173,-120.223,39.19109
-0.16400814,-119.8581,39.24089
0.25224233,-120.2885,39.4738
-0.15125799,-119.9218,39.5239
0.56012845,-120.4549,38.57567
0.79900384,-120.094,38.62627
0.91175413,-120.5208,38.8577
0.5852535,-120.1582,38.90858
0.23300362,-119.795,38.9581
0.44250393,-120.223,39.19109
-0.15637136,-119.8581,39.24089
0.28437877,-120.2885,39.4738
-0.16274595,-119.9218,39.5239
0.70262074,-120.4549,38.57567
1.2952466,-120.094,38.62627
1.6614969,-120.5208,38.8577
1.141746,-120.1582,38.90858
0.3166213,-119.795,38.9581
0.84712124,-120.223,39.19109
0.08049631,-119.8581,39.24089
0.6619961,-120.2885,39.4738
0.07499623,-119.9218,39.5239
-0.1785016,-120.4549,38.57567
0.44824886,-120.094,38.62627
-0.080126286,-120.5208,38.8577
0.3747487,-120.1582,38.90858
0.12499809,-119.795,38.9581
0.22837329,-120.223,39.19109
-0.06737685,-119.8581,39.24089
0.027748346,-120.2885,39.4738
-0.083126545,-119.9218,39.5239
0.0012310743,-120.4549,38.57567
0.0031058788,-120.094,38.62627
0.012981057,-120.5208,38.8577
0.0019811392,-120.1582,38.90858
0.0013561249,-119.795,38.9581
0.0022310019,-120.223,39.19109
0.0009810925,-119.8581,39.24089
0.007981181,-120.2885,39.4738
0.0018560886,-119.9218,39.5239
-7.891655e-05,-120.4549,38.57567
-7.891655e-05,-120.094,38.62627
-0.00020384789,-120.5208,38.8577
-0.00032901764,-120.1582,38.90858
-0.00045394897,-119.795,38.9581
-0.00070381165,-120.223,39.19109
-0.00095391273,-119.8581,39.24089
-0.00070381165,-120.2885,39.4738
-0.00070405006,-119.9218,39.5239
-0.10114169,-120.4549,38.57567
-0.0045166016,-120.094,38.62627
-0.12526631,-120.5208,38.8577
-0.006516218,-120.1582,38.90858
-1.6212463e-05,-119.795,38.9581
-0.0027663708,-120.223,39.19109
-1.6212463e-05,-119.8581,39.24089
-0.0032663345,-120.2885,39.4738
0.0008585453,-119.9218,39.5239
-0.010879874,-120.4549,38.57567
