wcvflx,lon,lat
25.066406,-119.795,38.9581
5622.5664,-120.223,39.19109
-307.4336,-119.8581,39.24089
5615.0664,-120.2885,39.4738
927.5664,-119.9218,39.5239
19053.393,-120.4549,38.57567
14215.893,-120.094,38.62627
23707.143,-120.5208,38.8577
16458.393,-120.1582,38.90858
13308.393,-119.795,38.9581
19224.643,-120.223,39.19109
13540.893,-119.8581,39.24089
19998.393,-120.2885,39.4738
14063.393,-119.9218,39.5239
127075.92,-120.4549,38.57567
106898.44,-120.094,38.62627
125123.42,-120.5208,38.8577
99130.94,-120.1582,38.90858
60378.426,-119.795,38.9581
99953.44,-120.223,39.19109
55695.926,-119.8581,39.24089
103075.94,-120.2885,39.4738
64805.926,-119.9218,39.5239
47662.03,-120.4549,38.57567
47523.28,-120.094,38.62627
50059.53,-120.5208,38.8577
45545.78,-120.1582,38.90858
33794.527,-119.795,38.9581
50557.023,-120.223,39.19109
35048.28,-119.8581,39.24089
48058.273,-120.2885,39.4738
37394.53,-119.9218,39.5239
-5974.047,-120.4549,38.57567
-3539.0469,-120.094,38.62627
-3816.5469,-120.5208,38.8577
-3871.5469,-120.1582,38.90858
-4006.5469,-119.795,38.9581
-3904.0469,-120.223,39.19109
-4366.547,-119.8581,39.24089
-4981.547,-120.2885,39.4738
-4201.547,-119.9218,39.5239
2735.4844,-120.4549,38.57567
2095.4844,-120.094,38.62627
2960.4844,-120.5208,38.8577
2310.4844,-120.1582,38.90858
1872.9844,-119.795,38.9581
2782.9844,-120.223,39.19109
2177.9844,-119.8581,39.24089
3125.4844,-120.2885,39.4738
2345.4844,-119.9218,39.5239
8441.814,-120.4549,38.57567
1729.3145,-120.094,38.62627
13866.814,-120.5208,38.8577
1641.8145,-120.1582,38.90858
-1083.1855,-119.795,38.9581
6204.3145,-120.223,39.19109
-620.68555,-119.8581,39.24089
11091.814,-120.2885,39.4738
4816.8145,-119.9218,39.5239
-17234.838,-120.4549,38.57567
-26722.338,-120.094,38.62627
-3822.338,-120.5208,38.8577
-19534.838,-120.1582,38.90858
-31459.838,-119.795,38.9581
-147.33789,-120.223,39.19109
-20209.838,-119.8581,39.24089
13102.662,-120.2885,39.4738
-11034.838,-119.9218,39.5239
-15875.533,-120.4549,38.57567
-16805.533,-120.094,38.62627
-13325.533,-120.5208,38.8577
-16920.533,-120.1582,38.90858
-20293.033,-119.795,38.9581
-13833.033,-120.223,39.19109
-17963.033,-119.8581,39.24089
-6883.033,-120.2885,39.4738
-15048.033,-119.9218,39.5239
25043.182,-120.4549,38.57567
23578.182,-120.094,38.62627
29814.432,-120.5208,38.8577
30094.432,-120.1582,38.90858
17935.682,-119.795,38.9581
28414.432,-120.223,39.19109
18710.682,-119.8581,39.24089
21900.682,-120.2885,39.4738
17313.182,-119.9218,39.5239
-10334.195,-120.4549,38.57567
-8449.195,-120.094,38.62627
-11926.695,-120.5208,38.8577
-9204.195,-120.1582,38.90858
-11206.695,-119.795,38.9581
-14021.695,-120.223,39.19109
-15379.195,-119.8581,39.24089
-19926.695,-120.2885,39.4738
-17101.695,-119.9218,39.5239
-8674.73,-120.4549,38.57567
-6364.7305,-120.094,38.62627
-7939.7305,-120.5208,38.8577
-5487.2305,-120.1582,38.90858
-4119.7305,-119.795,38.9581
-4729.7305,-120.223,39.19109
-4022.2305,-119.8581,39.24089
-5092.2305,-120.2885,39.4738
-4172.2305,-119.9218,39.5239
10345.51,-120.4549,38.57567
7965.51,-120.094,38.62627
11040.51,-120.5208,38.8577
8578.01,-120.1582,38.90858
6333.01,-119.795,38.9581
8958.01,-120.223,39.19109
6773.01,-119.8581,39.24089
8493.01,-120.2885,39.4738
6853.01,-119.9218,39.5239
54970.65,-120.4549,38.57567
39448.152,-120.094,38.62627
55220.65,-120.5208,38.8577
39463.152,-120.1582,38.90858
27115.652,-119.795,38.9581
41208.152,-120.223,39.19109
28150.652,-119.8581,39.24089
43280.656,-120.2885,39.4738
34005.652,-119.9218,39.5239
-15655.941,-120.4549,38.57567
-20080.941,-120.094,38.62627
-13223.441,-120.5208,38.8577
-21240.941,-120.1582,38.90858
-22810.941,-119.795,38.9581
-20590.941,-120.223,39.19109
-22833.441,-119.8581,39.24089
-19190.941,-120.2885,39.4738
-22605.941,-119.9218,39.5239
-2449.1602,-120.4549,38.57567
-3909.1602,-120.094,38.62627
-1131.6602,-120.5208,38.8577
-2551.6602,-120.1582,38.90858
-3794.1602,-119.795,38.9581
-761.66016,-120.223,39.19109
-1924.1602,-119.8581,39.24089
180.83984,-120.2885,39.4738
-1184.1602,-119.9218,39.5239
30090.883,-120.4549,38.57567
19349.633,-120.094,38.62627
32092.133,-120.5208,38.8577
20379.633,-120.1582,38.90858
11733.383,-119.795,38.9581
22053.383,-120.223,39.19109
12028.383,-119.8581,39.24089
21114.633,-120.2885,39.4738
14145.883,-119.9218,39.5239
120093.35,-120.4549,38.57567
90073.36,-120.094,38.62627
115045.85,-120.5208,38.8577
81855.86,-120.1582,38.90858
59138.36,-119.795,38.9581
79845.86,-120.223,39.19109
54995.86,-119.8581,39.24089
73720.86,-120.2885,39.4738
55033.36,-119.9218,39.5239
68516.69,-120.4549,38.57567
72056.69,-120.094,38.62627
62514.184,-120.5208,38.8577
69194.19,-120.1582,38.90858
66726.69,-119.795,38.9581
62774.184,-120.223,39.19109
64216.684,-119.8581,39.24089
57794.184,-120.2885,39.4738
58446.684,-119.9218,39.5239
6109.8027,-120.4549,38.57567
7414.8027,-120.094,38.62627
5996.0527,-120.5208,38.8577
6392.3027,-120.1582,38.90858
6813.5527,-119.795,38.9581
6068.5527,-120.223,39.19109
5697.3027,-119.8581,39.24089
5722.3027,-120.2885,39.4738
6217.3027,-119.9218,39.5239
9273.139,-120.4549,38.57567
7663.1387,-120.094,38.62627
9740.639,-120.5208,38.8577
7911.8887,-120.1582,38.90858
6924.3887,-119.795,38.9581
8380.639,-120.223,39.19109
7395.6387,-119.8581,39.24089
8959.389,-120.2885,39.4738
8051.8887,-119.9218,39.5239
6568.9277,-120.4549,38.57567
7248.9277,-120.094,38.62627
5126.4277,-120.5208,38.8577
6518.9277,-120.1582,38.90858
8156.4277,-119.795,38.9581
5548.9277,-120.223,39.19109
6886.4277,-119.8581,39.24089
4503.9277,-120.2885,39.4738
5271.4277,-119.9218,39.5239
-9598.041,-120.4549,38.57567
-10780.541,-120.094,38.62627
-10085.541,-120.5208,38.8577
-11650.541,-120.1582,38.90858
-9513.041,-119.795,38.9581
-9993.041,-120.223,39.19109
-9065.541,-119.8581,39.24089
-8208.041,-120.2885,39.4738
-9168.041,-119.9218,39.5239
-7665.3555,-120.4549,38.57567
-7282.8555,-120.094,38.62627
-8205.355,-120.5208,38.8577
-6497.8555,-120.1582,38.90858
-5232.8555,-119.795,38.9581
-7017.8555,-120.223,39.19109
-5545.3555,-119.8581,39.24089
-7600.3555,-120.2885,39.4738
-6155.3555,-119.9218,39.5239
-1969.1289,-120.4549,38.57567
-3929.129,-120.094,38.62627
-1516.6289,-120.5208,38.8577
-3896.629,-120.1582,38.90858
-5586.629,-119.795,38.9581
-3704.129,-120.223,39.19109
-5619.129,-119.8581,39.24089
-3544.129,-120.2885,39.4738
-5984.129,-119.9218,39.5239
2243.8242,-120.4549,38.57567
-513.6758,-120.094,38.62627
1991.3242,-120.5208,38.8577
-653.6758,-120.1582,38.90858
-2401.1758,-119.795,38.9581
-586.1758,-120.223,39.19109
-2706.1758,-119.8581,39.24089
-1578.6758,-120.2885,39.4738
-2758.6758,-119.9218,39.5239
-16266.428,-120.4549,38.57567
-15256.428,-120.094,38.62627
-17453.928,-120.5208,38.8577
-16451.428,-120.1582,38.90858
-15711.428,-119.795,38.9581
-17011.428,-120.223,39.19109
-16936.428,-119.8581,39.24089
-18293.928,-120.2885,39.4738
-18163.928,-119.9218,39.5239
