hcdc,lon,lat
6.875,-120.4549,38.57567
6.875,-120.094,38.62627
7.5,-120.5208,38.8577
7.75,-120.1582,38.90858
7.5,-119.795,38.9581
9.0,-120.223,39.19109
8.25,-119.8581,39.24089
11.5,-120.2885,39.4738
9.375,-119.9218,39.5239
41.375,-120.4549,38.57567
41.125,-120.094,38.62627
47.875,-120.5208,38.8577
45.375,-120.1582,38.90858
44.625,-119.795,38.9581
48.75,-120.223,39.19109
48.0,-119.8581,39.24089
50.25,-120.2885,39.4738
50.625,-119.9218,39.5239
25.5,-120.4549,38.57567
22.625,-120.094,38.62627
30.75,-120.5208,38.8577
28.75,-120.1582,38.90858
26.625,-119.795,38.9581
33.25,-120.223,39.19109
30.75,-119.8581,39.24089
36.5,-120.2885,39.4738
32.875,-119.9218,39.5239
27.5,-120.4549,38.57567
24.0,-120.094,38.62627
28.875,-120.5208,38.8577
23.5,-120.1582,38.90858
22.75,-119.795,38.9581
25.0,-120.223,39.19109
23.625,-119.8581,39.24089
29.75,-120.2885,39.4738
33.75,-119.9218,39.5239
10.0,-120.4549,38.57567
8.125,-120.094,38.62627
8.875,-120.5208,38.8577
7.625,-120.1582,38.90858
11.125,-119.795,38.9581
6.875,-120.223,39.19109
7.125,-119.8581,39.24089
6.0,-120.2885,39.4738
8.25,-119.9218,39.5239
8.625,-120.4549,38.57567
7.5,-120.094,38.62627
8.875,-120.5208,38.8577
7.625,-120.1582,38.90858
7.0,-119.795,38.9581
8.5,-120.223,39.19109
7.75,-119.8581,39.24089
8.75,-120.2885,39.4738
9.25,-119.9218,39.5239
6.0,-120.4549,38.57567
5.625,-120.094,38.62627
7.625,-120.5208,38.8577
6.75,-120.1582,38.90858
5.75,-119.795,38.9581
7.625,-120.223,39.19109
6.5,-119.8581,39.24089
9.5,-120.2885,39.4738
8.625,-119.9218,39.5239
8.25,-120.4549,38.57567
8.375,-120.094,38.62627
8.375,-120.5208,38.8577
9.625,-120.1582,38.90858
11.125,-119.795,38.9581
15.625,-120.223,39.19109
12.125,-119.8581,39.24089
11.625,-120.2885,39.4738
12.125,-119.9218,39.5239
5.0,-120.4549,38.57567
4.75,-120.094,38.62627
6.125,-120.5208,38.8577
5.375,-120.1582,38.90858
5.0,-119.795,38.9581
6.125,-120.223,39.19109
4.75,-119.8581,39.24089
7.5,-120.2885,39.4738
5.75,-119.9218,39.5239
12.0,-120.4549,38.57567
23.125,-120.094,38.62627
11.0,-120.5208,38.8577
23.625,-120.1582,38.90858
27.875,-119.795,38.9581
22.75,-120.223,39.19109
27.5,-119.8581,39.24089
23.375,-120.2885,39.4738
28.25,-119.9218,39.5239
11.125,-120.4549,38.57567
10.125,-120.094,38.62627
