snod,lon,lat
1.92e-05,-120.5208,38.8577
0.40261117,-120.1582,38.90858
0.24819839,-119.795,38.9581
0.2539328,-120.223,39.19109
0.0124096,-119.8581,39.24089
0.21601921,-120.2885,39.4738
0.00083199993,-119.9218,39.5239
0.00023040001,-120.4549,38.57567
0.3456192,-120.094,38.62627
0.00095360004,-120.5208,38.8577
0.302912,-120.1582,38.90858
0.169184,-119.795,38.9581
0.222976,-120.223,39.19109
0.0002112,-119.8581,39.24089
0.232192,-120.2885,39.4738
0.0001088,-119.9218,39.5239
0.0003776,-120.4549,38.57567
0.34690562,-120.094,38.62627
0.00037119997,-120.5208,38.8577
0.39582083,-120.1582,38.90858
0.18854399,-119.795,38.9581
0.3177536,-120.223,39.19109
0.0733184,-119.8581,39.24089
0.23249279,-120.2885,39.4738
0.0,-119.9218,39.5239
3.2e-05,-120.4549,38.57567
0.341152,-120.094,38.62627
3.2e-05,-120.5208,38.8577
0.36381438,-120.1582,38.90858
