cdlyr,lon,lat
16.375,-119.9218,39.5239
79.25,-120.4549,38.57567
78.0,-120.094,38.62627
83.125,-120.5208,38.8577
79.625,-120.1582,38.90858
78.25,-119.795,38.9581
84.375,-120.223,39.19109
79.125,-119.8581,39.24089
87.625,-120.2885,39.4738
85.125,-119.9218,39.5239
74.875,-120.4549,38.57567
62.0,-120.094,38.62627
68.0,-120.5208,38.8577
66.125,-120.1582,38.90858
61.125,-119.795,38.9581
67.25,-120.223,39.19109
65.375,-119.8581,39.24089
66.375,-120.2885,39.4738
64.25,-119.9218,39.5239
80.25,-120.4549,38.57567
72.125,-120.094,38.62627
89.25,-120.5208,38.8577
62.0,-120.1582,38.90858
47.0,-119.795,38.9581
62.5,-120.223,39.19109
51.5,-119.8581,39.24089
63.125,-120.2885,39.4738
52.0,-119.9218,39.5239
85.625,-120.4549,38.57567
64.5,-120.094,38.62627
88.75,-120.5208,38.8577
65.375,-120.1582,38.90858
58.0,-119.795,38.9581
66.125,-120.223,39.19109
64.125,-119.8581,39.24089
68.625,-120.2885,39.4738
68.75,-119.9218,39.5239
84.375,-120.4549,38.57567
80.875,-120.094,38.62627
84.75,-120.5208,38.8577
81.625,-120.1582,38.90858
79.75,-119.795,38.9581
83.0,-120.223,39.19109
80.75,-119.8581,39.24089
86.5,-120.2885,39.4738
83.5,-119.9218,39.5239
90.75,-120.4549,38.57567
53.0,-120.094,38.62627
90.375,-120.5208,38.8577
60.125,-120.1582,38.90858
32.125,-119.795,38.9581
60.5,-120.223,39.19109
36.0,-119.8581,39.24089
52.375,-120.2885,39.4738
42.875,-119.9218,39.5239
49.875,-120.4549,38.57567
26.0,-120.094,38.62627
53.0,-120.5208,38.8577
36.5,-120.1582,38.90858
26.75,-119.795,38.9581
41.375,-120.223,39.19109
33.125,-119.8581,39.24089
42.0,-120.2885,39.4738
42.125,-119.9218,39.5239
42.125,-120.4549,38.57567
39.0,-120.094,38.62627
42.625,-120.5208,38.8577
39.75,-120.1582,38.90858
39.0,-119.795,38.9581
40.25,-120.223,39.19109
38.5,-119.8581,39.24089
40.75,-120.2885,39.4738
40.875,-119.9218,39.5239
40.375,-120.4549,38.57567
42.0,-120.094,38.62627
40.375,-120.5208,38.8577
39.625,-120.1582,38.90858
44.625,-119.795,38.9581
35.125,-120.223,39.19109
38.25,-119.8581,39.24089
31.875,-120.2885,39.4738
35.125,-119.9218,39.5239
3.125,-120.4549,38.57567
1.875,-120.094,38.62627
2.375,-120.5208,38.8577
1.5,-120.1582,38.90858
0.75,-119.795,38.9581
1.375,-120.223,39.19109
0.875,-119.8581,39.24089
1.375,-120.2885,39.4738
0.875,-119.9218,39.5239
27.375,-120.4549,38.57567
19.125,-120.094,38.62627
26.0,-120.5208,38.8577
20.875,-120.1582,38.90858
20.625,-119.795,38.9581
18.25,-120.223,39.19109
19.875,-119.8581,39.24089
16.0,-120.2885,39.4738
16.375,-119.9218,39.5239
70.75,-120.4549,38.57567
58.375,-120.094,38.62627
75.5,-120.5208,38.8577
64.0,-120.1582,38.90858
58.625,-119.795,38.9581
63.875,-120.223,39.19109
58.875,-119.8581,39.24089
61.125,-120.2885,39.4738
60.0,-119.9218,39.5239
94.875,-120.4549,38.57567
71.0,-120.094,38.62627
96.875,-120.5208,38.8577
75.25,-120.1582,38.90858
67.125,-119.795,38.9581
82.25,-120.223,39.19109
77.375,-119.8581,39.24089
80.625,-120.2885,39.4738
82.125,-119.9218,39.5239
