dpt,lon,lat
261.63773,-120.1582,38.90858
262.9688,-119.795,38.9581
266.74713,-120.223,39.19109
266.3526,-119.8581,39.24089
262.98245,-120.2885,39.4738
270.17584,-119.9218,39.5239
273.62433,-120.4549,38.57567
262.72394,-120.094,38.62627
274.28546,-120.5208,38.8577
264.50128,-120.1582,38.90858
266.19855,-119.795,38.9581
268.41046,-120.223,39.19109
267.82355,-119.8581,39.24089
264.99738,-120.2885,39.4738
269.4876,-119.9218,39.5239
273.0219,-120.4549,38.57567
257.4184,-120.094,38.62627
273.53558,-120.5208,38.8577
261.99554,-120.1582,38.90858
262.32172,-119.795,38.9581
266.70453,-120.223,39.19109
265.96625,-119.8581,39.24089
262.75922,-120.2885,39.4738
267.05316,-119.9218,39.5239
269.14783,-120.4549,38.57567
258.68494,-120.094,38.62627
270.0287,-120.5208,38.8577
262.17126,-120.1582,38.90858
262.1488,-119.795,38.9581
263.68494,-120.223,39.19109
265.67224,-119.8581,39.24089
263.19177,-120.2885,39.4738
265.39294,-119.9218,39.5239
274.48273,-120.4549,38.57567
266.19855,-120.094,38.62627
275.1634,-120.5208,38.8577
266.90167,-120.1582,38.90858
266.9759,-119.795,38.9581
269.76788,-120.223,39.19109
268.47394,-119.8581,39.24089
267.29425,-120.2885,39.4738
268.31964,-119.9218,39.5239
276.68356,-120.4549,38.57567
270.87497,-120.094,38.62627
277.84665,-120.5208,38.8577
271.5732,-120.1582,38.90858
272.07516,-119.795,38.9581
273.34177,-120.223,39.19109
271.79,-119.8581,39.24089
271.7822,-120.2885,39.4738
272.4824,-119.9218,39.5239
276.7107,-120.4549,38.57567
270.42163,-120.094,38.62627
277.41382,-120.5208,38.8577
271.3181,-120.1582,38.90858
271.9275,-119.795,38.9581
272.51733,-120.223,39.19109
271.9519,-119.8581,39.24089
271.08862,-120.2885,39.4738
273.43335,-119.9218,39.5239
274.7758,-120.4549,38.57567
268.03067,-120.094,38.62627
276.10587,-120.5208,38.8577
268.86368,-120.1582,38.90858
269.1254,-119.795,38.9581
270.94864,-120.223,39.19109
269.49454,-119.8581,39.24089
268.9174,-120.2885,39.4738
270.9672,-119.9218,39.5239
275.01,-120.4549,38.57567
270.86157,-120.094,38.62627
278.32935,-120.5208,38.8577
272.40454,-120.1582,38.90858
272.1194,-119.795,38.9581
273.55103,-120.223,39.19109
272.8225,-119.8581,39.24089
273.15845,-120.2885,39.4738
274.13306,-119.9218,39.5239
276.84528,-120.4549,38.57567
267.00543,-120.094,38.62627
277.44293,-120.5208,38.8577
269.23297,-120.1582,38.90858
266.4146,-119.795,38.9581
273.38336,-120.223,39.19109
269.22614,-119.8581,39.24089
270.70758,-120.2885,39.4738
272.08258,-119.9218,39.5239
273.69916,-120.4549,38.57567
266.07416,-120.094,38.62627
273.33002,-120.5208,38.8577
267.20892,-120.1582,38.90858
268.7558,-119.795,38.9581
269.58295,-120.223,39.19109
268.9101,-119.8581,39.24089
267.3847,-120.2885,39.4738
271.0683,-119.9218,39.5239
266.57367,-120.4549,38.57567
259.45355,-120.094,38.62627
267.11664,-120.5208,38.8577
261.12054,-120.1582,38.90858
262.8764,-119.795,38.9581
262.7807,-120.223,39.19109
263.7719,-119.8581,39.24089
260.35297,-120.2885,39.4738
266.268,-119.9218,39.5239
264.66992,-120.4549,38.57567
265.7246,-120.094,38.62627
266.68848,-120.5208,38.8577
265.62598,-120.1582,38.90858
265.25586,-119.795,38.9581
266.31445,-120.223,39.19109
266.6006,-119.8581,39.24089
266.04688,-120.2885,39.4738
267.29102,-119.9218,39.5239
270.973,-120.4549,38.57567
259.0433,-120.094,38.62627
270.24838,-120.5208,38.8577
263.9515,-120.1582,38.90858
266.04037,-119.795,38.9581
265.12143,-120.223,39.19109
268.14096,-119.8581,39.24089
265.35776,-120.2885,39.4738
270.1644,-119.9218,39.5239
269.74783,-120.4549,38.57567
246.74393,-120.094,38.62627
266.33475,-120.5208,38.8577
255.2117,-120.1582,38.90858
262.96268,-119.795,38.9581
260.58084,-120.223,39.19109
264.4578,-119.8581,39.24089
259.6404,-120.2885,39.4738
269.30154,-119.9218,39.5239
268.54892,-120.4549,38.57567
260.22568,-120.094,38.62627
267.11435,-120.5208,38.8577
261.20126,-120.1582,38.90858
261.2286,-119.795,38.9581
263.25693,-120.223,39.19109
263.76376,-119.8581,39.24089
262.28036,-120.2885,39.4738
267.06357,-119.9218,39.5239
272.10983,-120.4549,38.57567
264.4116,-120.094,38.62627
271.7817,-120.5208,38.8577
265.90182,-120.1582,38.90858
267.061,-119.795,38.9581
266.89597,-120.223,39.19109
268.0825,-119.8581,39.24089
266.82565,-120.2885,39.4738
269.96042,-119.9218,39.5239
274.2184,-120.4549,38.57567
