apcp,lon,lat
0.7138546,-120.5208,38.8577
0.6513546,-120.1582,38.90858
0.2841671,-119.795,38.9581
0.83104205,-120.223,39.19109
0.2997921,-119.8581,39.24089
0.72166705,-120.2885,39.4738
0.48729208,-119.9218,39.5239
14.34375,-120.4549,38.57567
9.5,-120.094,38.62627
22.0,-120.5208,38.8577
12.3671875,-120.1582,38.90858
6.234375,-119.795,38.9581
18.84375,-120.223,39.19109
7.9375,-119.8581,39.24089
13.0859375,-120.2885,39.4738
8.71875,-119.9218,39.5239
21.268713,-120.4549,38.57567
16.698399,-120.094,38.62627
19.174963,-120.5208,38.8577
15.307775,-120.1582,38.90858
12.940587,-119.795,38.9581
12.768712,-120.223,39.19109
12.10465,-119.8581,39.24089
