wcvflx,lon,lat
130178.84,-119.8581,39.24089
172953.86,-120.2885,39.4738
140286.34,-119.9218,39.5239
104308.59,-120.4549,38.57567
87743.59,-120.094,38.62627
98689.84,-120.5208,38.8577
83924.84,-120.1582,38.90858
63582.344,-119.795,38.9581
77596.09,-120.223,39.19109
59931.094,-119.8581,39.24089
71203.59,-120.2885,39.4738
56489.844,-119.9218,39.5239
119760.37,-120.4549,38.57567
113242.87,-120.094,38.62627
116630.37,-120.5208,38.8577
107500.37,-120.1582,38.90858
76867.87,-119.795,38.9581
98975.37,-120.223,39.19109
77687.87,-119.8581,39.24089
92805.37,-120.2885,39.4738
70390.36,-119.9218,39.5239
39954.07,-120.4549,38.57567
44216.57,-120.094,38.62627
38959.07,-120.5208,38.8577
40922.82,-120.1582,38.90858
33404.07,-119.795,38.9581
36984.07,-120.223,39.19109
34827.82,-119.8581,39.24089
29507.82,-120.2885,39.4738
30320.324,-119.9218,39.5239
-37297.93,-120.4549,38.57567
-33669.18,-120.094,38.62627
-38829.18,-120.5208,38.8577
-34802.93,-120.1582,38.90858
-31436.682,-119.795,38.9581
-36186.68,-120.223,39.19109
-30125.432,-119.8581,39.24089
-37939.18,-120.2885,39.4738
-30652.932,-119.9218,39.5239
-2213.6357,-120.4549,38.57567
-2958.6357,-120.094,38.62627
-2823.6357,-120.5208,38.8577
-4588.6357,-120.1582,38.90858
-4376.1357,-119.795,38.9581
-4876.1357,-120.223,39.19109
-3941.1357,-119.8581,39.24089
-5341.1357,-120.2885,39.4738
-3378.6357,-119.9218,39.5239
14222.1455,-120.4549,38.57567
13454.6455,-120.094,38.62627
13099.6455,-120.5208,38.8577
12062.1455,-120.1582,38.90858
10717.1455,-119.795,38.9581
11277.1455,-120.223,39.19109
9764.6455,-119.8581,39.24089
11092.1455,-120.2885,39.4738
9912.1455,-119.9218,39.5239
36248.797,-120.4549,38.57567
29523.799,-120.094,38.62627
36686.297,-120.5208,38.8577
29476.299,-120.1582,38.90858
20468.799,-119.795,38.9581
31291.299,-120.223,39.19109
23281.299,-119.8581,39.24089
32406.299,-120.2885,39.4738
22656.299,-119.9218,39.5239
64389.617,-120.4549,38.57567
69569.62,-120.094,38.62627
65014.617,-120.5208,38.8577
66077.12,-120.1582,38.90858
48704.617,-119.795,38.9581
63177.117,-120.223,39.19109
48479.617,-119.8581,39.24089
55367.117,-120.2885,39.4738
45987.117,-119.9218,39.5239
-6492.6523,-120.4549,38.57567
-6297.6523,-120.094,38.62627
-5105.1523,-120.5208,38.8577
