mslet,lon,lat
102600.93,-120.223,39.19109
102692.18,-119.8581,39.24089
102650.805,-120.2885,39.4738
102717.68,-119.9218,39.5239
101911.98,-120.4549,38.57567
101909.23,-120.094,38.62627
101893.98,-120.5208,38.8577
101890.73,-120.1582,38.90858
101900.48,-119.795,38.9581
101884.6,-120.223,39.19109
101895.35,-119.8581,39.24089
101868.35,-120.2885,39.4738
101882.85,-119.9218,39.5239
101934.62,-120.4549,38.57567
101883.87,-120.094,38.62627
101924.99,-120.5208,38.8577
101861.99,-120.1582,38.90858
101800.99,-119.795,38.9581
101850.87,-120.223,39.19109
101796.37,-119.8581,39.24089
101825.49,-120.2885,39.4738
101783.62,-119.9218,39.5239
101735.47,-120.4549,38.57567
101664.09,-120.094,38.62627
101708.22,-120.5208,38.8577
101637.34,-120.1582,38.90858
101590.09,-119.795,38.9581
101619.09,-120.223,39.19109
101579.72,-119.8581,39.24089
101580.84,-120.2885,39.4738
101565.47,-119.9218,39.5239
101970.24,-120.4549,38.57567
101902.99,-120.094,38.62627
101932.62,-120.5208,38.8577
101865.62,-120.1582,38.90858
101800.62,-119.795,38.9581
101830.49,-120.223,39.19109
101779.87,-119.8581,39.24089
101785.74,-120.2885,39.4738
101751.74,-119.9218,39.5239
102568.29,-120.4549,38.57567
102543.29,-120.094,38.62627
102571.54,-120.5208,38.8577
102521.79,-120.1582,38.90858
102448.29,-119.795,38.9581
102507.414,-120.223,39.19109
102430.29,-119.8581,39.24089
102477.54,-120.2885,39.4738
102406.164,-119.9218,39.5239
102635.67,-120.4549,38.57567
102670.05,-120.094,38.62627
102660.8,-120.5208,38.8577
102681.67,-120.1582,38.90858
102675.92,-119.795,38.9581
102697.17,-120.223,39.19109
102685.55,-119.8581,39.24089
102704.17,-120.2885,39.4738
102680.67,-119.9218,39.5239
102155.0,-120.4549,38.57567
102146.125,-120.094,38.62627
102146.625,-120.5208,38.8577
102136.5,-120.1582,38.90858
102130.0,-119.795,38.9581
102139.75,-120.223,39.19109
102133.75,-119.8581,39.24089
102137.0,-120.2885,39.4738
102127.625,-119.9218,39.5239
101953.27,-120.4549,38.57567
101913.02,-120.094,38.62627
101953.15,-120.5208,38.8577
101894.02,-120.1582,38.90858
101826.15,-119.795,38.9581
101883.9,-120.223,39.19109
101827.65,-119.8581,39.24089
101865.77,-120.2885,39.4738
101824.02,-119.9218,39.5239
101982.67,-120.4549,38.57567
102030.3,-120.094,38.62627
101999.92,-120.5208,38.8577
102054.8,-120.1582,38.90858
102096.42,-119.795,38.9581
102090.67,-120.223,39.19109
102132.3,-119.8581,39.24089
102139.55,-120.2885,39.4738
102168.05,-119.9218,39.5239
102266.29,-120.4549,38.57567
102282.54,-120.094,38.62627
102271.04,-120.5208,38.8577
102279.664,-120.1582,38.90858
102270.79,-119.795,38.9581
102286.79,-120.223,39.19109
102277.04,-119.8581,39.24089
102291.914,-120.2885,39.4738
102278.54,-119.9218,39.5239
102180.52,-120.4549,38.57567
102139.77,-120.094,38.62627
102175.15,-120.5208,38.8577
102113.27,-120.1582,38.90858
102064.77,-119.795,38.9581
102101.27,-120.223,39.19109
102054.15,-119.8581,39.24089
102086.02,-120.2885,39.4738
102051.02,-119.9218,39.5239
101270.99,-120.4549,38.57567
101202.62,-120.094,38.62627
101269.12,-120.5208,38.8577
101206.37,-120.1582,38.90858
101135.62,-119.795,38.9581
101207.24,-120.223,39.19109
101142.12,-119.8581,39.24089
101215.87,-120.2885,39.4738
101154.37,-119.9218,39.5239
101836.43,-120.4549,38.57567
101914.18,-120.094,38.62627
101860.555,-120.5208,38.8577
101950.43,-120.1582,38.90858
102020.43,-119.795,38.9581
101983.805,-120.223,39.19109
102045.555,-119.8581,39.24089
102032.305,-120.2885,39.4738
102065.93,-119.9218,39.5239
102051.07,-120.4549,38.57567
102108.57,-120.094,38.62627
102084.82,-120.5208,38.8577
102148.195,-120.1582,38.90858
102190.82,-119.795,38.9581
102185.445,-120.223,39.19109
102222.945,-119.8581,39.24089
102233.945,-120.2885,39.4738
102251.82,-119.9218,39.5239
102316.86,-120.4549,38.57567
102459.36,-120.094,38.62627
102376.11,-120.5208,38.8577
102526.484,-120.1582,38.90858
102641.11,-119.795,38.9581
102579.61,-120.223,39.19109
102679.86,-119.8581,39.24089
102649.734,-120.2885,39.4738
102711.484,-119.9218,39.5239
102709.5,-120.4549,38.57567
102871.875,-120.094,38.62627
102746.875,-120.5208,38.8577
102923.375,-120.1582,38.90858
103076.125,-119.795,38.9581
102973.25,-120.223,39.19109
103106.5,-119.8581,39.24089
103039.875,-120.2885,39.4738
103123.125,-119.9218,39.5239
102401.15,-120.4549,38.57567
102448.9,-120.094,38.62627
102407.77,-120.5208,38.8577
102451.52,-120.1582,38.90858
102482.02,-119.795,38.9581
102459.77,-120.223,39.19109
102481.9,-119.8581,39.24089
102479.15,-120.2885,39.4738
102485.77,-119.9218,39.5239
101656.48,-120.4549,38.57567
101738.98,-120.094,38.62627
101708.6,-120.5208,38.8577
101797.98,-120.1582,38.90858
101870.1,-119.795,38.9581
101856.23,-120.223,39.19109
101917.48,-119.8581,39.24089
101929.85,-120.2885,39.4738
101971.85,-119.9218,39.5239
