albedo,lon,lat
37.15,-120.1582,38.90858
48.600002,-119.795,38.9581
20.7,-120.223,39.19109
41.1125,-119.8581,39.24089
10.0,-120.2885,39.4738
20.0,-119.9218,39.5239
27.237503,-120.4549,38.57567
44.975,-120.094,38.62627
10.0,-120.5208,38.8577
35.75,-120.1582,38.90858
48.600002,-119.795,38.9581
19.0,-120.223,39.19109
39.75,-119.8581,39.24089
15.0375,-120.2885,39.4738
21.7625,-119.9218,39.5239
23.45,-120.4549,38.57567
44.324997,-120.094,38.62627
10.0,-120.5208,38.8577
33.1875,-120.1582,38.90858
48.600002,-119.795,38.9581
20.287502,-120.223,39.19109
42.15,-119.8581,39.24089
15.4375,-120.2885,39.4738
22.0625,-119.9218,39.5239
27.1125,-120.4549,38.57567
41.237503,-120.094,38.62627
10.0125,-120.5208,38.8577
29.337502,-120.1582,38.90858
48.575,-119.795,38.9581
20.0875,-120.223,39.19109
40.4625,-119.8581,39.24089
17.4625,-120.2885,39.4738
20.0,-119.9218,39.5239
10.0,-120.4549,38.57567
40.6,-120.094,38.62627
10.0,-120.5208,38.8577
31.4,-120.1582,38.90858
48.4625,-119.795,38.9581
17.75,-120.223,39.19109
27.587502,-119.8581,39.24089
19.3875,-120.2885,39.4738
20.0,-119.9218,39.5239
10.0,-120.4549,38.57567
44.6625,-120.094,38.62627
10.0,-120.5208,38.8577
37.625,-120.1582,38.90858
48.600002,-119.795,38.9581
29.8875,-120.223,39.19109
29.162502,-119.8581,39.24089
29.662502,-120.2885,39.4738
30.400002,-119.9218,39.5239
28.125002,-120.4549,38.57567
45.0,-120.094,38.62627
10.0,-120.5208,38.8577
43.275005,-120.1582,38.90858
48.600002,-119.795,38.9581
37.1625,-120.223,39.19109
46.6875,-119.8581,39.24089
40.0625,-120.2885,39.4738
29.8125,-119.9218,39.5239
37.15,-120.4549,38.57567
45.0,-120.094,38.62627
28.1875,-120.5208,38.8577
43.3875,-120.1582,38.90858
48.600002,-119.795,38.9581
37.4875,-120.223,39.19109
43.5625,-119.8581,39.24089
41.425003,-120.2885,39.4738
24.675001,-119.9218,39.5239
30.650002,-120.4549,38.57567
45.0,-120.094,38.62627
13.075,-120.5208,38.8577
41.5625,-120.1582,38.90858
48.600002,-119.795,38.9581
35.4625,-120.223,39.19109
31.800001,-119.8581,39.24089
37.087498,-120.2885,39.4738
23.562502,-119.9218,39.5239
14.150001,-120.4549,38.57567
45.0,-120.094,38.62627
11.7,-120.5208,38.8577
27.6875,-120.1582,38.90858
48.600002,-119.795,38.9581
31.125,-120.223,39.19109
34.7375,-119.8581,39.24089
25.237501,-120.2885,39.4738
20.025,-119.9218,39.5239
39.4125,-120.4549,38.57567
45.0,-120.094,38.62627
10.0125,-120.5208,38.8577
25.525002,-120.1582,38.90858
48.5125,-119.795,38.9581
26.85,-120.223,39.19109
25.900002,-119.8581,39.24089
20.95,-120.2885,39.4738
20.275,-119.9218,39.5239
39.612503,-120.4549,38.57567
45.0,-120.094,38.62627
10.0,-120.5208,38.8577
37.925003,-120.1582,38.90858
48.5875,-119.795,38.9581
28.2625,-120.223,39.19109
26.224998,-119.8581,39.24089
27.9,-120.2885,39.4738
22.2375,-119.9218,39.5239
34.1375,-120.4549,38.57567
45.0,-120.094,38.62627
10.0875,-120.5208,38.8577
38.3875,-120.1582,38.90858
48.600002,-119.795,38.9581
25.387503,-120.223,39.19109
21.4875,-119.8581,39.24089
26.575,-120.2885,39.4738
20.0,-119.9218,39.5239
39.387497,-120.4549,38.57567
45.0,-120.094,38.62627
10.025,-120.5208,38.8577
39.262497,-120.1582,38.90858
48.600002,-119.795,38.9581
24.050001,-120.223,39.19109
21.7125,-119.8581,39.24089
26.325,-120.2885,39.4738
20.0,-119.9218,39.5239
36.45,-120.4549,38.57567
45.0,-120.094,38.62627
10.0,-120.5208,38.8577
40.35,-120.1582,38.90858
48.600002,-119.795,38.9581
31.5625,-120.223,39.19109
24.75,-119.8581,39.24089
23.387499,-120.2885,39.4738
10.0,-119.9218,39.5239
24.8125,-120.4549,38.57567
45.0,-120.094,38.62627
10.0,-120.5208,38.8577
43.362503,-120.1582,38.90858
48.600002,-119.795,38.9581
29.275,-120.223,39.19109
43.25,-119.8581,39.24089
38.4875,-120.2885,39.4738
12.2875,-119.9218,39.5239
20.125,-120.4549,38.57567
45.0,-120.094,38.62627
10.0,-120.5208,38.8577
43.700005,-120.1582,38.90858
48.600002,-119.795,38.9581
24.75,-120.223,39.19109
33.975002,-119.8581,39.24089
38.1875,-120.2885,39.4738
10.125,-119.9218,39.5239
32.75,-120.4549,38.57567
45.0,-120.094,38.62627
10.0,-120.5208,38.8577
43.700005,-120.1582,38.90858
48.600002,-119.795,38.9581
28.625,-120.223,39.19109
34.6,-119.8581,39.24089
39.774998,-120.2885,39.4738
14.612499,-119.9218,39.5239
33.699997,-120.4549,38.57567
45.0,-120.094,38.62627
10.0,-120.5208,38.8577
43.700005,-120.1582,38.90858
48.600002,-119.795,38.9581
21.1,-120.223,39.19109
25.425001,-119.8581,39.24089
37.425,-120.2885,39.4738
10.05,-119.9218,39.5239
41.149998,-120.4549,38.57567
45.0,-120.094,38.62627
26.150002,-120.5208,38.8577
43.575,-120.1582,38.90858
48.600002,-119.795,38.9581
17.0625,-120.223,39.19109
20.8375,-119.8581,39.24089
36.587498,-120.2885,39.4738
10.025,-119.9218,39.5239
41.4375,-120.4549,38.57567
45.0,-120.094,38.62627
27.4875,-120.5208,38.8577
43.700005,-120.1582,38.90858
48.600002,-119.795,38.9581
29.237501,-120.223,39.19109
31.900002,-119.8581,39.24089
39.5125,-120.2885,39.4738
13.475,-119.9218,39.5239
41.5,-120.4549,38.57567
45.0,-120.094,38.62627
10.0,-120.5208,38.8577
43.700005,-120.1582,38.90858
48.600002,-119.795,38.9581
24.075,-120.223,39.19109
34.887505,-119.8581,39.24089
40.3625,-120.2885,39.4738
23.75,-119.9218,39.5239
41.5,-120.4549,38.57567
45.0,-120.094,38.62627
30.787498,-120.5208,38.8577
43.700005,-120.1582,38.90858
48.600002,-119.795,38.9581
32.5625,-120.223,39.19109
37.925003,-119.8581,39.24089
39.2,-120.2885,39.4738
27.012497,-119.9218,39.5239
14.512501,-120.4549,38.57567
45.0,-120.094,38.62627
10.0,-120.5208,38.8577
43.700005,-120.1582,38.90858
48.600002,-119.795,38.9581
21.125002,-120.223,39.19109
31.849998,-119.8581,39.24089
32.412502,-120.2885,39.4738
10.225,-119.9218,39.5239
10.8125,-120.4549,38.57567
45.0,-120.094,38.62627
10.0,-120.5208,38.8577
43.662502,-120.1582,38.90858
48.600002,-119.795,38.9581
12.9,-120.223,39.19109
31.7,-119.8581,39.24089
25.8125,-120.2885,39.4738
10.087501,-119.9218,39.5239
10.1875,-120.4549,38.57567
45.0,-120.094,38.62627
10.0,-120.5208,38.8577
43.0375,-120.1582,38.90858
48.550003,-119.795,38.9581
11.95,-120.223,39.19109
31.074999,-119.8581,39.24089
17.95,-120.2885,39.4738
10.0,-119.9218,39.5239
10.0,-120.4549,38.57567
45.0,-120.094,38.62627
10.0,-120.5208,38.8577
41.3,-120.1582,38.90858
48.600002,-119.795,38.9581
16.15,-120.223,39.19109
25.137499,-119.8581,39.24089
19.2125,-120.2885,39.4738
10.0125,-119.9218,39.5239
10.0,-120.4549,38.57567
10.0,-120.094,38.62627
10.0,-120.5208,38.8577
10.0,-120.1582,38.90858
10.0,-119.795,38.9581
11.5875,-120.223,39.19109
25.3125,-119.8581,39.24089
11.7375,-120.2885,39.4738
10.0,-119.9218,39.5239
10.0,-120.4549,38.57567
43.337498,-120.094,38.62627
10.0,-120.5208,38.8577
12.387501,-120.1582,38.90858
48.600002,-119.795,38.9581
11.5375,-120.223,39.19109
20.85,-119.8581,39.24089
10.7125,-120.2885,39.4738
10.0,-119.9218,39.5239
19.787502,-120.4549,38.57567
45.0,-120.094,38.62627
10.0,-120.5208,38.8577
21.5125,-120.1582,38.90858
48.600002,-119.795,38.9581
13.3,-120.223,39.19109
19.2625,-119.8581,39.24089
14.15,-120.2885,39.4738
10.25,-119.9218,39.5239
17.100002,-120.4549,38.57567
45.0,-120.094,38.62627
10.0,-120.5208,38.8577
13.7375,-120.1582,38.90858
48.600002,-119.795,38.9581
13.125,-120.223,39.19109
18.8125,-119.8581,39.24089
11.0625,-120.2885,39.4738
10.0,-119.9218,39.5239
29.6625,-120.4549,38.57567
45.0,-120.094,38.62627
10.0,-120.5208,38.8577
18.275,-120.1582,38.90858
48.600002,-119.795,38.9581
13.725,-120.223,39.19109
25.425,-119.8581,39.24089
14.212501,-120.2885,39.4738
10.0875,-119.9218,39.5239
22.25,-120.4549,38.57567
45.0,-120.094,38.62627
10.0,-120.5208,38.8577
22.737501,-120.1582,38.90858
48.600002,-119.795,38.9581
10.3125,-120.223,39.19109
19.85,-119.8581,39.24089
21.1375,-120.2885,39.4738
10.0,-119.9218,39.5239
30.9625,-120.4549,38.57567
45.0,-120.094,38.62627
10.0,-120.5208,38.8577
28.6875,-120.1582,38.90858
48.600002,-119.795,38.9581
22.925,-120.223,39.19109
30.2625,-119.8581,39.24089
28.337498,-120.2885,39.4738
10.2125,-119.9218,39.5239
36.9,-120.4549,38.57567
45.0,-120.094,38.62627
10.0,-120.5208,38.8577
36.7625,-120.1582,38.90858
48.600002,-119.795,38.9581
32.95,-120.223,39.19109
37.55,-119.8581,39.24089
34.075,-120.2885,39.4738
15.35,-119.9218,39.5239
41.4625,-120.4549,38.57567
45.0,-120.094,38.62627
29.25,-120.5208,38.8577
36.162502,-120.1582,38.90858
48.600002,-119.795,38.9581
32.65,-120.223,39.19109
29.675001,-119.8581,39.24089
33.1,-120.2885,39.4738
24.15,-119.9218,39.5239
41.5,-120.4549,38.57567
45.0,-120.094,38.62627
21.25,-120.5208,38.8577
27.675,-120.1582,38.90858
48.600002,-119.795,38.9581
27.675,-120.223,39.19109
39.0125,-119.8581,39.24089
34.5625,-120.2885,39.4738
22.150002,-119.9218,39.5239
41.4875,-120.4549,38.57567
45.0,-120.094,38.62627
17.8375,-120.5208,38.8577
25.2875,-120.1582,38.90858
48.600002,-119.795,38.9581
24.0125,-120.223,39.19109
39.425003,-119.8581,39.24089
33.837498,-120.2885,39.4738
21.350002,-119.9218,39.5239
41.1125,-120.4549,38.57567
45.0,-120.094,38.62627
16.7125,-120.5208,38.8577
10.0125,-120.1582,38.90858
48.600002,-119.795,38.9581
18.2,-120.223,39.19109
34.925,-119.8581,39.24089
29.125,-120.2885,39.4738
27.912502,-119.9218,39.5239
40.5625,-120.4549,38.57567
45.0,-120.094,38.62627
17.825,-120.5208,38.8577
22.050001,-120.1582,38.90858
48.600002,-119.795,38.9581
24.375002,-120.223,39.19109
41.8375,-119.8581,39.24089
31.7,-120.2885,39.4738
29.575,-119.9218,39.5239
39.95,-120.4549,38.57567
45.0,-120.094,38.62627
20.9625,-120.5208,38.8577
40.612503,-120.1582,38.90858
48.600002,-119.795,38.9581
36.45,-120.223,39.19109
47.85,-119.8581,39.24089
40.774998,-120.2885,39.4738
42.5375,-119.9218,39.5239
40.275,-120.4549,38.57567
45.0,-120.094,38.62627
25.2625,-120.5208,38.8577
28.175,-120.1582,38.90858
48.600002,-119.795,38.9581
32.475,-120.223,39.19109
48.399998,-119.8581,39.24089
40.175,-120.2885,39.4738
46.737503,-119.9218,39.5239
40.8875,-120.4549,38.57567
45.0,-120.094,38.62627
15.85,-120.5208,38.8577
33.7375,-120.1582,38.90858
48.600002,-119.795,38.9581
28.724998,-120.223,39.19109
48.399998,-119.8581,39.24089
39.649998,-120.2885,39.4738
40.537502,-119.9218,39.5239
36.025,-120.4549,38.57567
45.0,-120.094,38.62627
10.5,-120.5208,38.8577
40.725002,-120.1582,38.90858
48.600002,-119.795,38.9581
20.737501,-120.223,39.19109
47.4375,-119.8581,39.24089
38.250004,-120.2885,39.4738
33.85,-119.9218,39.5239
25.362503,-120.4549,38.57567
45.0,-120.094,38.62627
10.1875,-120.5208,38.8577
12.725,-120.1582,38.90858
48.600002,-119.795,38.9581
15.275001,-120.223,39.19109
10.0,-119.8581,39.24089
23.550001,-120.2885,39.4738
10.0,-119.9218,39.5239
40.512505,-120.4549,38.57567
