omega,lon,lat
-0.121643916,-120.4549,38.57567
-0.13482751,-120.094,38.62627
-0.14605798,-120.5208,38.8577
-0.094300166,-120.1582,38.90858
0.030699834,-119.795,38.9581
-0.0933236,-120.223,39.19109
0.015074834,-119.8581,39.24089
-0.117249385,-120.2885,39.4738
-0.059143916,-119.9218,39.5239
-0.07998445,-120.4549,38.57567
-0.023832105,-120.094,38.62627
-0.06582429,-120.5208,38.8577
-0.052152418,-120.1582,38.90858
-0.039945386,-119.795,38.9581
-0.031644605,-120.223,39.19109
-0.09219148,-119.8581,39.24089
-0.032621168,-120.2885,39.4738
-0.066312574,-119.9218,39.5239
-0.05286344,-120.4549,38.57567
-0.0826486,-120.094,38.62627
-0.0015939102,-120.5208,38.8577
-0.02893766,-120.1582,38.90858
-0.008429848,-119.795,38.9581
0.0013357773,-120.223,39.19109
0.0037771836,-119.8581,39.24089
-0.035285316,-120.2885,39.4738
-0.008429848,-119.9218,39.5239
0.093107425,-120.4549,38.57567
0.16488478,-120.094,38.62627
0.12631056,-120.5208,38.8577
0.09799024,-120.1582,38.90858
-0.010896482,-119.795,38.9581
0.10384961,-120.223,39.19109
-0.040193357,-119.8581,39.24089
0.041837893,-120.2885,39.4738
0.011564456,-119.9218,39.5239
-0.018823832,-120.4549,38.57567
0.05637148,-120.094,38.62627
-0.017358989,-120.5208,38.8577
0.022191793,-120.1582,38.90858
-0.031030864,-119.795,38.9581
0.016820699,-120.223,39.19109
-0.044214457,-119.8581,39.24089
-0.0012457073,-120.2885,39.4738
-0.032495707,-119.9218,39.5239
-0.03590118,-120.4549,38.57567
-0.09742462,-120.094,38.62627
-0.052991025,-120.5208,38.8577
-0.027112119,-120.1582,38.90858
0.0583371,-119.795,38.9581
-0.03883087,-120.223,39.19109
0.0739621,-119.8581,39.24089
-0.09254181,-120.2885,39.4738
-0.0354129,-119.9218,39.5239
-0.0051714256,-120.4549,38.57567
0.008500449,-120.094,38.62627
0.031449668,-120.5208,38.8577
-0.015913613,-120.1582,38.90858
-0.027144082,-119.795,38.9581
-0.00028861314,-120.223,39.19109
-0.08183158,-119.8581,39.24089
-0.06620658,-120.2885,39.4738
-0.07401908,-119.9218,39.5239
0.107942894,-120.4549,38.57567
0.22561868,-120.094,38.62627
0.124056175,-120.5208,38.8577
0.096224144,-120.1582,38.90858
-0.035611793,-119.795,38.9581
0.088899925,-120.223,39.19109
-0.09225242,-119.8581,39.24089
0.02786477,-120.2885,39.4738
-0.019498512,-119.9218,39.5239
0.13187595,-120.4549,38.57567
0.206583,-120.094,38.62627
0.13480563,-120.5208,38.8577
0.1802158,-120.1582,38.90858
