pr_wtr,lon,lat
6.981578,-120.4549,38.57567
4.1534534,-120.094,38.62627
6.747204,-120.5208,38.8577
4.6378284,-120.1582,38.90858
4.4503284,-119.795,38.9581
4.5597034,-120.223,39.19109
4.4190784,-119.8581,39.24089
3.9972034,-120.2885,39.4738
4.809703,-119.9218,39.5239
5.9234724,-120.4549,38.57567
4.0953474,-120.094,38.62627
5.5172224,-120.5208,38.8577
4.1890974,-120.1582,38.90858
4.0797224,-119.795,38.9581
3.8609726,-120.223,39.19109
3.7828476,-119.8581,39.24089
3.3609726,-120.2885,39.4738
3.9390976,-119.9218,39.5239
8.313726,-120.4549,38.57567
7.3449764,-120.094,38.62627
8.235602,-120.5208,38.8577
7.5793514,-120.1582,38.90858
7.8918514,-119.795,38.9581
7.5168514,-120.223,39.19109
7.8137264,-119.8581,39.24089
7.2043514,-120.2885,39.4738
7.9543514,-119.9218,39.5239
10.984948,-120.4549,38.57567
8.234948,-120.094,38.62627
10.828698,-120.5208,38.8577
8.922448,-120.1582,38.90858
8.953698,-119.795,38.9581
8.938073,-120.223,39.19109
9.172448,-119.8581,39.24089
8.547448,-120.2885,39.4738
9.594323,-119.9218,39.5239
11.516149,-120.4549,38.57567
7.0005245,-120.094,38.62627
10.797399,-120.5208,38.8577
7.5005245,-120.1582,38.90858
7.2505245,-119.795,38.9581
7.2036495,-120.223,39.19109
7.0942745,-119.8581,39.24089
6.5786495,-120.2885,39.4738
7.4223995,-119.9218,39.5239
7.999709,-120.4549,38.57567
4.6715846,-120.094,38.62627
7.6247096,-120.5208,38.8577
5.1090846,-120.1582,38.90858
5.2340846,-119.795,38.9581
4.8590846,-120.223,39.19109
5.0309596,-119.8581,39.24089
4.2184596,-120.2885,39.4738
5.4215846,-119.9218,39.5239
5.7250285,-120.4549,38.57567
2.6937778,-120.094,38.62627
5.7094035,-120.5208,38.8577
3.2719028,-120.1582,38.90858
3.146903,-119.795,38.9581
3.600028,-120.223,39.19109
3.506278,-119.8581,39.24089
3.521903,-120.2885,39.4738
4.490653,-119.9218,39.5239
5.26774,-120.4549,38.57567
3.314615,-120.094,38.62627
5.220865,-120.5208,38.8577
3.502115,-120.1582,38.90858
3.36149,-119.795,38.9581
3.564615,-120.223,39.19109
3.408365,-119.8581,39.24089
3.502115,-120.2885,39.4738
3.95524,-119.9218,39.5239
6.737471,-120.4549,38.57567
4.331221,-120.094,38.62627
7.096846,-120.5208,38.8577
4.862471,-120.1582,38.90858
4.456221,-119.795,38.9581
5.284346,-120.223,39.19109
4.846846,-119.8581,39.24089
5.424971,-120.2885,39.4738
5.643721,-119.9218,39.5239
5.0900154,-120.4549,38.57567
3.043141,-120.094,38.62627
5.4962654,-120.5208,38.8577
3.777516,-120.1582,38.90858
4.027516,-119.795,38.9581
4.199391,-120.223,39.19109
4.418141,-119.8581,39.24089
4.261891,-120.2885,39.4738
5.4025154,-119.9218,39.5239
7.2061915,-120.4549,38.57567
4.9874415,-120.094,38.62627
7.5186915,-120.5208,38.8577
5.6436915,-120.1582,38.90858
5.7061915,-119.795,38.9581
6.0030665,-120.223,39.19109
6.1124415,-119.8581,39.24089
5.9874415,-120.2885,39.4738
6.9718165,-119.9218,39.5239
7.206931,-120.4549,38.57567
6.144431,-120.094,38.62627
7.347556,-120.5208,38.8577
6.441306,-120.1582,38.90858
6.363181,-119.795,38.9581
6.519431,-120.223,39.19109
6.425681,-119.8581,39.24089
