lhtfl,lon,lat
-21.163696,-120.5208,38.8577
8.609741,-120.1582,38.90858
0.4925537,-119.795,38.9581
25.289429,-120.223,39.19109
-22.124634,-119.8581,39.24089
-7.5230713,-120.2885,39.4738
-17.460571,-119.9218,39.5239
-43.361237,-120.4549,38.57567
-12.751862,-120.094,38.62627
-47.197174,-120.5208,38.8577
-19.673737,-120.1582,38.90858
-17.470612,-119.795,38.9581
-7.681549,-120.223,39.19109
-31.853424,-119.8581,39.24089
-16.954987,-120.2885,39.4738
-21.99405,-119.9218,39.5239
10.078278,-120.4549,38.57567
-21.531097,-120.094,38.62627
8.30484,-120.5208,38.8577
-17.78891,-120.1582,38.90858
-19.843597,-119.795,38.9581
-9.398285,-120.223,39.19109
-26.023285,-119.8581,39.24089
-18.937347,-120.2885,39.4738
-23.00766,-119.9218,39.5239
15.924408,-120.4549,38.57567
-10.919342,-120.094,38.62627
13.830658,-120.5208,38.8577
-18.239655,-120.1582,38.90858
-16.833405,-119.795,38.9581
-4.3490295,-120.223,39.19109
-27.53653,-119.8581,39.24089
-19.25528,-120.2885,39.4738
-19.427155,-119.9218,39.5239
2.088623,-120.4549,38.57567
-14.302002,-120.094,38.62627
-1.927002,-120.5208,38.8577
-24.591064,-120.1582,38.90858
-11.653564,-119.795,38.9581
-14.739502,-120.223,39.19109
-13.153564,-119.8581,39.24089
-20.145752,-120.2885,39.4738
-8.981689,-119.9218,39.5239
-0.9086914,-120.4549,38.57567
-20.189941,-120.094,38.62627
-18.213379,-120.5208,38.8577
-18.736816,-120.1582,38.90858
-6.8930664,-119.795,38.9581
-26.174316,-120.223,39.19109
-10.924316,-119.8581,39.24089
-19.088379,-120.2885,39.4738
-4.4711914,-119.9218,39.5239
-31.1521,-120.4549,38.57567
-49.550537,-120.094,38.62627
-40.300537,-120.5208,38.8577
-39.230225,-120.1582,38.90858
-9.011475,-119.795,38.9581
-65.30054,-120.223,39.19109
-20.292725,-119.8581,39.24089
-41.480225,-120.2885,39.4738
-9.050537,-119.9218,39.5239
-7.5773315,-120.4549,38.57567
-3.8742065,-120.094,38.62627
-27.928894,-120.5208,38.8577
-12.217957,-120.1582,38.90858
-5.5929565,-119.795,38.9581
-19.405457,-120.223,39.19109
-13.686707,-119.8581,39.24089
-17.796082,-120.2885,39.4738
