hcdc,lon,lat
15.875,-120.1582,38.90858
13.5,-119.795,38.9581
16.375,-120.223,39.19109
14.25,-119.8581,39.24089
16.75,-120.2885,39.4738
15.5,-119.9218,39.5239
42.75,-120.4549,38.57567
39.375,-120.094,38.62627
43.75,-120.5208,38.8577
41.25,-120.1582,38.90858
22.75,-119.795,38.9581
30.375,-120.223,39.19109
8.0,-119.8581,39.24089
11.25,-120.2885,39.4738
5.625,-119.9218,39.5239
4.25,-120.4549,38.57567
3.125,-120.094,38.62627
4.5,-120.5208,38.8577
3.5,-120.1582,38.90858
2.875,-119.795,38.9581
3.875,-120.223,39.19109
3.375,-119.8581,39.24089
4.125,-120.2885,39.4738
3.875,-119.9218,39.5239
6.125,-120.4549,38.57567
5.5,-120.094,38.62627
6.0,-120.5208,38.8577
5.5,-120.1582,38.90858
5.375,-119.795,38.9581
5.625,-120.223,39.19109
5.625,-119.8581,39.24089
5.75,-120.2885,39.4738
5.625,-119.9218,39.5239
19.625,-120.4549,38.57567
23.75,-120.094,38.62627
23.25,-120.5208,38.8577
28.0,-120.1582,38.90858
30.375,-119.795,38.9581
30.75,-120.223,39.19109
33.0,-119.8581,39.24089
32.5,-120.2885,39.4738
34.0,-119.9218,39.5239
6.75,-120.4549,38.57567
5.875,-120.094,38.62627
6.375,-120.5208,38.8577
6.0,-120.1582,38.90858
5.375,-119.795,38.9581
6.25,-120.223,39.19109
5.75,-119.8581,39.24089
6.75,-120.2885,39.4738
4.375,-119.9218,39.5239
3.75,-120.4549,38.57567
2.75,-120.094,38.62627
3.875,-120.5208,38.8577
3.125,-120.1582,38.90858
2.75,-119.795,38.9581
3.0,-120.223,39.19109
2.75,-119.8581,39.24089
3.0,-120.2885,39.4738
3.0,-119.9218,39.5239
6.0,-120.4549,38.57567
5.625,-120.094,38.62627
6.0,-120.5208,38.8577
5.5,-120.1582,38.90858
5.25,-119.795,38.9581
5.875,-120.223,39.19109
5.625,-119.8581,39.24089
6.375,-120.2885,39.4738
5.875,-119.9218,39.5239
13.0,-120.4549,38.57567
11.75,-120.094,38.62627
15.875,-120.5208,38.8577
14.375,-120.1582,38.90858
12.75,-119.795,38.9581
17.0,-120.223,39.19109
13.875,-119.8581,39.24089
19.625,-120.2885,39.4738
16.875,-119.9218,39.5239
74.5,-120.4549,38.57567
72.5,-120.094,38.62627
80.125,-120.5208,38.8577
71.625,-120.1582,38.90858
70.375,-119.795,38.9581
78.875,-120.223,39.19109
69.0,-119.8581,39.24089
85.75,-120.2885,39.4738
78.875,-119.9218,39.5239
53.625,-120.4549,38.57567
42.875,-120.094,38.62627
53.375,-120.5208,38.8577
52.5,-120.1582,38.90858
52.875,-119.795,38.9581
52.125,-120.223,39.19109
54.875,-119.8581,39.24089
52.125,-120.2885,39.4738
56.125,-119.9218,39.5239
15.375,-120.4549,38.57567
8.0,-120.094,38.62627
11.875,-120.5208,38.8577
6.25,-120.1582,38.90858
5.125,-119.795,38.9581
6.25,-120.223,39.19109
6.125,-119.8581,39.24089
11.5,-120.2885,39.4738
11.0,-119.9218,39.5239
17.75,-120.4549,38.57567
12.0,-120.094,38.62627
17.875,-120.5208,38.8577
15.625,-120.1582,38.90858
18.875,-119.795,38.9581
20.25,-120.223,39.19109
22.75,-119.8581,39.24089
28.125,-120.2885,39.4738
28.375,-119.9218,39.5239
77.375,-120.4549,38.57567
75.875,-120.094,38.62627
79.75,-120.5208,38.8577
78.875,-120.1582,38.90858
77.125,-119.795,38.9581
81.5,-120.223,39.19109
78.875,-119.8581,39.24089
87.5,-120.2885,39.4738
83.375,-119.9218,39.5239
36.125,-120.4549,38.57567
19.125,-120.094,38.62627
