hlcy,lon,lat
101.90312,-120.223,39.19109
92.27812,-119.8581,39.24089
90.40312,-120.2885,39.4738
91.02812,-119.9218,39.5239
143.33356,-120.4549,38.57567
164.20856,-120.094,38.62627
133.58356,-120.5208,38.8577
160.95856,-120.1582,38.90858
135.95856,-119.795,38.9581
157.20856,-120.223,39.19109
151.83356,-119.8581,39.24089
131.08356,-120.2885,39.4738
126.833565,-119.9218,39.5239
90.3232,-120.4549,38.57567
105.3232,-120.094,38.62627
81.5732,-120.5208,38.8577
96.5732,-120.1582,38.90858
86.5732,-119.795,38.9581
82.8232,-120.223,39.19109
90.3232,-119.8581,39.24089
87.8232,-120.2885,39.4738
95.3232,-119.9218,39.5239
76.77492,-120.4549,38.57567
46.774925,-120.094,38.62627
104.27492,-120.5208,38.8577
133.02492,-120.1582,38.90858
115.52492,-119.795,38.9581
135.52492,-120.223,39.19109
133.02492,-119.8581,39.24089
138.02492,-120.2885,39.4738
154.27492,-119.9218,39.5239
112.742325,-120.4549,38.57567
85.242325,-120.094,38.62627
130.36732,-120.5208,38.8577
141.99231,-120.1582,38.90858
132.36732,-119.795,38.9581
140.24231,-120.223,39.19109
151.49231,-119.8581,39.24089
133.36732,-120.2885,39.4738
145.61731,-119.9218,39.5239
68.725555,-120.4549,38.57567
74.725555,-120.094,38.62627
73.600555,-120.5208,38.8577
77.10055,-120.1582,38.90858
82.22555,-119.795,38.9581
64.600555,-120.223,39.19109
82.97555,-119.8581,39.24089
46.600555,-120.2885,39.4738
50.85055,-119.9218,39.5239
24.328873,-120.4549,38.57567
40.078873,-120.094,38.62627
35.453873,-120.5208,38.8577
41.953873,-120.1582,38.90858
47.328873,-119.795,38.9581
45.828873,-120.223,39.19109
59.203873,-119.8581,39.24089
41.828873,-120.2885,39.4738
48.453873,-119.9218,39.5239
56.26718,-120.4549,38.57567
53.76718,-120.094,38.62627
65.01718,-120.5208,38.8577
67.51718,-120.1582,38.90858
66.26718,-119.795,38.9581
77.51719,-120.223,39.19109
77.51719,-119.8581,39.24089
73.76719,-120.2885,39.4738
75.01719,-119.9218,39.5239
71.31794,-120.4549,38.57567
37.94293,-120.094,38.62627
63.317932,-120.5208,38.8577
60.942932,-120.1582,38.90858
44.94293,-119.795,38.9581
68.69293,-120.223,39.19109
43.317924,-119.8581,39.24089
46.06793,-120.2885,39.4738
48.06793,-119.9218,39.5239
108.91852,-120.4549,38.57567
80.1685,-120.094,38.62627
108.91852,-120.5208,38.8577
102.66852,-120.1582,38.90858
80.1685,-119.795,38.9581
101.41852,-120.223,39.19109
86.41852,-119.8581,39.24089
73.9185,-120.2885,39.4738
71.4185,-119.9218,39.5239
112.14223,-120.4549,38.57567
92.39223,-120.094,38.62627
118.64223,-120.5208,38.8577
136.39223,-120.1582,38.90858
111.64223,-119.795,38.9581
130.51723,-120.223,39.19109
112.01723,-119.8581,39.24089
96.64223,-120.2885,39.4738
99.76723,-119.9218,39.5239
83.24631,-120.4549,38.57567
90.6213,-120.094,38.62627
90.7463,-120.5208,38.8577
105.8713,-120.1582,38.90858
107.9963,-119.795,38.9581
109.8713,-120.223,39.19109
124.7463,-119.8581,39.24089
110.6213,-120.2885,39.4738
111.7463,-119.9218,39.5239
110.59041,-120.4549,38.57567
84.84041,-120.094,38.62627
107.46541,-120.5208,38.8577
92.84041,-120.1582,38.90858
91.34041,-119.795,38.9581
104.46541,-120.223,39.19109
100.46541,-119.8581,39.24089
97.84041,-120.2885,39.4738
94.96541,-119.9218,39.5239
128.07584,-120.4549,38.57567
105.575836,-120.094,38.62627
135.57584,-120.5208,38.8577
135.57584,-120.1582,38.90858
133.07584,-119.795,38.9581
151.82584,-120.223,39.19109
143.07584,-119.8581,39.24089
145.57584,-120.2885,39.4738
143.07584,-119.9218,39.5239
132.22687,-120.4549,38.57567
83.47687,-120.094,38.62627
117.22687,-120.5208,38.8577
122.22687,-120.1582,38.90858
98.47687,-119.795,38.9581
128.47687,-120.223,39.19109
103.47687,-119.8581,39.24089
98.47687,-120.2885,39.4738
89.72687,-119.9218,39.5239
265.25693,-120.4549,38.57567
216.50693,-120.094,38.62627
234.00693,-120.5208,38.8577
230.25693,-120.1582,38.90858
210.2569,-119.795,38.9581
226.50693,-120.223,39.19109
201.5069,-119.8581,39.24089
207.75693,-120.2885,39.4738
185.2569,-119.9218,39.5239
237.3834,-120.4549,38.57567
173.75842,-120.094,38.62627
197.2584,-120.5208,38.8577
192.1334,-120.1582,38.90858
165.63342,-119.795,38.9581
182.63342,-120.223,39.19109
157.13342,-119.8581,39.24089
157.13342,-120.2885,39.4738
134.00842,-119.9218,39.5239
139.27881,-120.4549,38.57567
124.27881,-120.094,38.62627
130.77881,-120.5208,38.8577
136.77881,-120.1582,38.90858
118.52881,-119.795,38.9581
133.65381,-120.223,39.19109
123.65381,-119.8581,39.24089
108.65381,-120.2885,39.4738
97.77881,-119.9218,39.5239
208.67697,-120.4549,38.57567
149.92696,-120.094,38.62627
229.92697,-120.5208,38.8577
214.92697,-120.1582,38.90858
163.67696,-119.795,38.9581
231.17697,-120.223,39.19109
179.92697,-119.8581,39.24089
192.42697,-120.2885,39.4738
173.67697,-119.9218,39.5239
111.64148,-120.4549,38.57567
56.641487,-120.094,38.62627
109.14148,-120.5208,38.8577
102.89148,-120.1582,38.90858
77.89149,-119.795,38.9581
124.14148,-120.223,39.19109
82.89149,-119.8581,39.24089
94.14148,-120.2885,39.4738
96.64148,-119.9218,39.5239
174.22229,-120.4549,38.57567
144.34729,-120.094,38.62627
182.84729,-120.5208,38.8577
201.22229,-120.1582,38.90858
167.34729,-119.795,38.9581
199.84729,-120.223,39.19109
171.22229,-119.8581,39.24089
158.84729,-120.2885,39.4738
156.47229,-119.9218,39.5239
145.17982,-120.4549,38.57567
129.42982,-120.094,38.62627
148.55482,-120.5208,38.8577
168.17982,-120.1582,38.90858
140.80482,-119.795,38.9581
164.17982,-120.223,39.19109
144.92982,-119.8581,39.24089
137.42982,-120.2885,39.4738
134.92982,-119.9218,39.5239
81.505905,-120.4549,38.57567
62.255913,-120.094,38.62627
76.255905,-120.5208,38.8577
70.880905,-120.1582,38.90858
70.255905,-119.795,38.9581
86.880905,-120.223,39.19109
70.255905,-119.8581,39.24089
83.255905,-120.2885,39.4738
80.255905,-119.9218,39.5239
145.75725,-120.4549,38.57567
100.13225,-120.094,38.62627
139.38225,-120.5208,38.8577
142.13225,-120.1582,38.90858
111.50725,-119.795,38.9581
142.50725,-120.223,39.19109
108.88225,-119.8581,39.24089
102.88225,-120.2885,39.4738
104.50725,-119.9218,39.5239
117.70152,-120.4549,38.57567
87.07652,-120.094,38.62627
130.07652,-120.5208,38.8577
150.32652,-120.1582,38.90858
119.95152,-119.795,38.9581
151.95152,-120.223,39.19109
133.45152,-119.8581,39.24089
129.32652,-120.2885,39.4738
126.70152,-119.9218,39.5239
85.61977,-120.4549,38.57567
66.36977,-120.094,38.62627
83.86977,-120.5208,38.8577
68.11977,-120.1582,38.90858
59.119762,-119.795,38.9581
76.74477,-120.223,39.19109
66.61977,-119.8581,39.24089
69.49477,-120.2885,39.4738
71.99477,-119.9218,39.5239
77.39333,-120.4549,38.57567
90.51834,-120.094,38.62627
70.26833,-120.5208,38.8577
71.01833,-120.1582,38.90858
86.14334,-119.795,38.9581
67.39333,-120.223,39.19109
76.89333,-119.8581,39.24089
67.76833,-120.2885,39.4738
63.643333,-119.9218,39.5239
126.9742,-120.4549,38.57567
122.2242,-120.094,38.62627
120.3492,-120.5208,38.8577
93.8492,-120.1582,38.90858
102.0992,-119.795,38.9581
109.5992,-120.223,39.19109
117.9742,-119.8581,39.24089
120.3492,-120.2885,39.4738
114.8492,-119.9218,39.5239
67.85545,-120.4549,38.57567
144.10545,-120.094,38.62627
60.355453,-120.5208,38.8577
