lftx4,lon,lat
1.9362308,-119.9218,39.5239
4.3538074,-120.4549,38.57567
2.3913074,-120.094,38.62627
4.391308,-120.5208,38.8577
3.5288076,-120.1582,38.90858
3.0288074,-119.795,38.9581
3.0663075,-120.223,39.19109
3.1163075,-119.8581,39.24089
3.2288077,-120.2885,39.4738
3.2663076,-119.9218,39.5239
4.508925,-120.4549,38.57567
2.9214246,-120.094,38.62627
4.0089245,-120.5208,38.8577
3.6714244,-120.1582,38.90858
2.8839245,-119.795,38.9581
2.708924,-120.223,39.19109
2.4839244,-119.8581,39.24089
2.5964243,-120.2885,39.4738
2.4839244,-119.9218,39.5239
7.485369,-120.4549,38.57567
4.972869,-120.094,38.62627
6.5978694,-120.5208,38.8577
5.322869,-120.1582,38.90858
4.997869,-119.795,38.9581
4.835369,-120.223,39.19109
4.847869,-119.8581,39.24089
4.597869,-120.2885,39.4738
4.185369,-119.9218,39.5239
11.925043,-120.4549,38.57567
6.4875426,-120.094,38.62627
12.2125435,-120.5208,38.8577
8.937542,-120.1582,38.90858
9.137543,-119.795,38.9581
9.175042,-120.223,39.19109
9.750043,-119.8581,39.24089
9.012543,-120.2885,39.4738
11.450043,-119.9218,39.5239
9.475598,-120.4549,38.57567
3.5505981,-120.094,38.62627
9.2631,-120.5208,38.8577
5.338099,-120.1582,38.90858
5.000599,-119.795,38.9581
5.300599,-120.223,39.19109
5.400598,-119.8581,39.24089
5.175598,-120.2885,39.4738
7.1005983,-119.9218,39.5239
5.336184,-120.4549,38.57567
1.8111837,-120.094,38.62627
5.4236836,-120.5208,38.8577
3.648684,-120.1582,38.90858
3.2861838,-119.795,38.9581
3.3861837,-120.223,39.19109
3.548684,-119.8581,39.24089
3.7611837,-120.2885,39.4738
4.673684,-119.9218,39.5239
2.613026,-120.4549,38.57567
1.4880259,-120.094,38.62627
2.763026,-120.5208,38.8577
2.800526,-120.1582,38.90858
2.238026,-119.795,38.9581
2.2630258,-120.223,39.19109
2.2880259,-119.8581,39.24089
2.9880257,-120.2885,39.4738
3.113026,-119.9218,39.5239
5.690365,-120.4549,38.57567
3.5778642,-120.094,38.62627
5.8653646,-120.5208,38.8577
5.1903644,-120.1582,38.90858
4.4403644,-119.795,38.9581
4.702864,-120.223,39.19109
4.4903646,-119.8581,39.24089
4.865364,-120.2885,39.4738
5.465365,-119.9218,39.5239
7.7642593,-120.4549,38.57567
3.8517592,-120.094,38.62627
7.639259,-120.5208,38.8577
4.4767594,-120.1582,38.90858
4.6517596,-119.795,38.9581
4.2767596,-120.223,39.19109
4.9517593,-119.8581,39.24089
4.16426,-120.2885,39.4738
5.7642593,-119.9218,39.5239
7.678755,-120.4549,38.57567
3.0787544,-120.094,38.62627
7.5912547,-120.5208,38.8577
3.3037543,-120.1582,38.90858
3.7787547,-119.795,38.9581
3.2787547,-120.223,39.19109
4.2787547,-119.8581,39.24089
2.916255,-120.2885,39.4738
4.9912543,-119.9218,39.5239
6.4470987,-120.4549,38.57567
2.6970992,-120.094,38.62627
6.1846,-120.5208,38.8577
4.0720987,-120.1582,38.90858
3.6595988,-119.795,38.9581
3.6970987,-120.223,39.19109
3.8720987,-119.8581,39.24089
3.872099,-120.2885,39.4738
4.8220983,-119.9218,39.5239
6.615233,-120.4549,38.57567
3.2777326,-120.094,38.62627
6.5277324,-120.5208,38.8577
4.952733,-120.1582,38.90858
4.5402327,-119.795,38.9581
4.415233,-120.223,39.19109
4.6027327,-119.8581,39.24089
4.4527326,-120.2885,39.4738
5.452733,-119.9218,39.5239
6.3232455,-120.4549,38.57567
3.1232455,-120.094,38.62627
6.0607452,-120.5208,38.8577
4.3107452,-120.1582,38.90858
4.0607457,-119.795,38.9581
3.7857451,-120.223,39.19109
4.1857452,-119.8581,39.24089
4.1732454,-120.2885,39.4738
4.9357452,-119.9218,39.5239
8.725068,-120.4549,38.57567
5.3250675,-120.094,38.62627
8.350068,-120.5208,38.8577
5.537568,-120.1582,38.90858
6.175068,-119.795,38.9581
5.487568,-120.223,39.19109
6.512568,-119.8581,39.24089
5.362568,-120.2885,39.4738
7.0625677,-119.9218,39.5239
7.633695,-120.4549,38.57567
4.6461945,-120.094,38.62627
7.533695,-120.5208,38.8577
5.808695,-120.1582,38.90858
5.496195,-119.795,38.9581
5.3461947,-120.223,39.19109
5.5836945,-119.8581,39.24089
5.2836943,-120.2885,39.4738
6.3461947,-119.9218,39.5239
7.4448557,-120.4549,38.57567
4.1448555,-120.094,38.62627
7.5198555,-120.5208,38.8577
6.207356,-120.1582,38.90858
5.4948554,-119.795,38.9581
5.9823556,-120.223,39.19109
5.669856,-119.8581,39.24089
5.557356,-120.2885,39.4738
6.7198553,-119.9218,39.5239
8.785746,-120.4549,38.57567
4.8607464,-120.094,38.62627
8.935746,-120.5208,38.8577
6.8482466,-120.1582,38.90858
5.9357467,-119.795,38.9581
6.7232466,-120.223,39.19109
6.248246,-119.8581,39.24089
5.973246,-120.2885,39.4738
7.673246,-119.9218,39.5239
5.299666,-120.4549,38.57567
3.474666,-120.094,38.62627
5.362166,-120.5208,38.8577
4.9871655,-120.1582,38.90858
4.6371655,-119.795,38.9581
4.387166,-120.223,39.19109
4.6246657,-119.8581,39.24089
4.387166,-120.2885,39.4738
5.0621657,-119.9218,39.5239
9.5969,-120.4549,38.57567
4.4593997,-120.094,38.62627
9.559401,-120.5208,38.8577
5.6218996,-120.1582,38.90858
5.684399,-119.795,38.9581
5.3843994,-120.223,39.19109
5.8843994,-119.8581,39.24089
5.059399,-120.2885,39.4738
6.6844,-119.9218,39.5239
7.0415807,-120.4549,38.57567
3.5915804,-120.094,38.62627
6.9040804,-120.5208,38.8577
3.8290808,-120.1582,38.90858
4.2665806,-119.795,38.9581
3.6540806,-120.223,39.19109
4.4915805,-119.8581,39.24089
3.4290807,-120.2885,39.4738
4.9915805,-119.9218,39.5239
8.050386,-120.4549,38.57567
4.225386,-120.094,38.62627
8.050386,-120.5208,38.8577
4.9878864,-120.1582,38.90858
5.1253867,-119.795,38.9581
4.837887,-120.223,39.19109
5.450387,-119.8581,39.24089
5.0003867,-120.2885,39.4738
6.350386,-119.9218,39.5239
