rcq,lon,lat
0.8032501,-120.1582,38.90858
0.9025,-119.795,38.9581
0.79262507,-120.223,39.19109
0.8945,-119.8581,39.24089
0.82337505,-120.2885,39.4738
0.908,-119.9218,39.5239
0.77,-120.4549,38.57567
0.805,-120.094,38.62627
0.7612501,-120.5208,38.8577
0.79,-120.1582,38.90858
0.84875,-119.795,38.9581
0.81624997,-120.223,39.19109
0.8450001,-119.8581,39.24089
0.8175,-120.2885,39.4738
0.86375,-119.9218,39.5239
0.90975004,-120.4549,38.57567
0.92762506,-120.094,38.62627
0.929875,-120.5208,38.8577
0.92775,-120.1582,38.90858
0.87875,-119.795,38.9581
0.954375,-120.223,39.19109
0.8925,-119.8581,39.24089
0.941375,-120.2885,39.4738
0.86175,-119.9218,39.5239
0.8905,-120.4549,38.57567
0.851,-120.094,38.62627
0.907625,-120.5208,38.8577
0.863125,-120.1582,38.90858
0.8237501,-119.795,38.9581
0.9365001,-120.223,39.19109
0.8328751,-119.8581,39.24089
0.89299995,-120.2885,39.4738
0.816875,-119.9218,39.5239
0.97,-120.4549,38.57567
0.975,-120.094,38.62627
0.98125005,-120.5208,38.8577
0.96999997,-120.1582,38.90858
0.9175,-119.795,38.9581
0.98499995,-120.223,39.19109
0.9312501,-119.8581,39.24089
0.97499996,-120.2885,39.4738
0.89250004,-119.9218,39.5239
0.89250004,-120.4549,38.57567
0.88000005,-120.094,38.62627
0.89624995,-120.5208,38.8577
0.88750005,-120.1582,38.90858
0.88874996,-119.795,38.9581
0.9225,-120.223,39.19109
0.88875,-119.8581,39.24089
0.91374993,-120.2885,39.4738
0.8875,-119.9218,39.5239
0.88287497,-120.4549,38.57567
0.818375,-120.094,38.62627
0.87450004,-120.5208,38.8577
0.85,-120.1582,38.90858
0.885125,-119.795,38.9581
0.88462496,-120.223,39.19109
0.894,-119.8581,39.24089
0.88899994,-120.2885,39.4738
0.89849997,-119.9218,39.5239
0.84625006,-120.4549,38.57567
0.72875005,-120.094,38.62627
0.82000005,-120.5208,38.8577
0.73125005,-120.1582,38.90858
0.81,-119.795,38.9581
0.79,-120.223,39.19109
0.80500007,-119.8581,39.24089
0.7725,-120.2885,39.4738
0.83625007,-119.9218,39.5239
0.9100001,-120.4549,38.57567
0.90625,-120.094,38.62627
0.925,-120.5208,38.8577
0.905,-120.1582,38.90858
0.88374996,-119.795,38.9581
0.93625003,-120.223,39.19109
0.895,-119.8581,39.24089
0.92875004,-120.2885,39.4738
0.89,-119.9218,39.5239
0.8837501,-120.4549,38.57567
0.84375,-120.094,38.62627
0.8474999,-120.5208,38.8577
0.8600001,-120.1582,38.90858
0.94625,-119.795,38.9581
0.8525,-120.223,39.19109
0.93375,-119.8581,39.24089
0.87375003,-120.2885,39.4738
0.94374996,-119.9218,39.5239
0.801125,-120.4549,38.57567
0.847375,-120.094,38.62627
0.803,-120.5208,38.8577
0.83225,-120.1582,38.90858
