shum,lon,lat
0.0030771168,-120.1582,38.90858
0.0029096166,-119.795,38.9581
0.0036033667,-120.223,39.19109
0.0029121167,-119.8581,39.24089
0.0031296168,-120.2885,39.4738
0.0032071169,-119.9218,39.5239
0.0037097188,-120.4549,38.57567
0.002702219,-120.094,38.62627
0.004103469,-120.5208,38.8577
0.0029272188,-120.1582,38.90858
0.003042219,-119.795,38.9581
0.003087219,-120.223,39.19109
0.003169719,-119.8581,39.24089
0.0029322188,-120.2885,39.4738
0.0032209689,-119.9218,39.5239
0.0038310378,-120.4549,38.57567
0.002137288,-120.094,38.62627
0.004273538,-120.5208,38.8577
0.002557288,-120.1582,38.90858
0.002301038,-119.795,38.9581
0.0028860378,-120.223,39.19109
0.0025735379,-119.8581,39.24089
0.002668538,-120.2885,39.4738
0.0031772878,-119.9218,39.5239
0.003394791,-120.4549,38.57567
0.001527291,-120.094,38.62627
0.003689791,-120.5208,38.8577
0.001719791,-120.1582,38.90858
0.0018860409,-119.795,38.9581
0.002292291,-120.223,39.19109
0.0022172912,-119.8581,39.24089
0.0017860408,-120.2885,39.4738
0.0030685407,-119.9218,39.5239
0.0032526278,-120.4549,38.57567
0.001800128,-120.094,38.62627
0.0034651284,-120.5208,38.8577
0.002087628,-120.1582,38.90858
0.0015476281,-119.795,38.9581
0.0026751282,-120.223,39.19109
0.0018076281,-119.8581,39.24089
0.0024238783,-120.2885,39.4738
0.0028888783,-119.9218,39.5239
0.0034373233,-120.4549,38.57567
0.001841073,-120.094,38.62627
0.003296073,-120.5208,38.8577
0.0024173232,-120.1582,38.90858
0.002287323,-119.795,38.9581
0.002747323,-120.223,39.19109
0.002496073,-119.8581,39.24089
0.0027973228,-120.2885,39.4738
0.0031485728,-119.9218,39.5239
0.003247564,-120.4549,38.57567
0.0021913138,-120.094,38.62627
0.0033800635,-120.5208,38.8577
0.002692564,-120.1582,38.90858
0.0029500637,-119.795,38.9581
0.0028825637,-120.223,39.19109
0.0031550638,-119.8581,39.24089
0.0029963139,-120.2885,39.4738
0.0034688138,-119.9218,39.5239
0.0018277108,-120.4549,38.57567
0.0017077108,-120.094,38.62627
0.0016702109,-120.5208,38.8577
0.001806461,-120.1582,38.90858
0.002156461,-119.795,38.9581
0.0019289609,-120.223,39.19109
0.0023902107,-119.8581,39.24089
0.002020211,-120.2885,39.4738
0.0023289607,-119.9218,39.5239
0.0032632845,-120.4549,38.57567
0.0022345348,-120.094,38.62627
0.0033145344,-120.5208,38.8577
0.0023382846,-120.1582,38.90858
0.0023595346,-119.795,38.9581
0.0027557847,-120.223,39.19109
0.0024957848,-119.8581,39.24089
0.0024870348,-120.2885,39.4738
0.0025470348,-119.9218,39.5239
0.0050824415,-120.4549,38.57567
0.0036986915,-120.094,38.62627
0.0061374414,-120.5208,38.8577
0.0040174415,-120.1582,38.90858
0.0028661916,-119.795,38.9581
0.0047199414,-120.223,39.19109
0.0035099415,-119.8581,39.24089
0.004154941,-120.2885,39.4738
0.0032674414,-119.9218,39.5239
0.0050106803,-120.4549,38.57567
0.0028194303,-120.094,38.62627
0.0059006806,-120.5208,38.8577
0.0033931802,-120.1582,38.90858
0.0020419303,-119.795,38.9581
0.00470193,-120.223,39.19109
0.0028256802,-119.8581,39.24089
0.0037056804,-120.2885,39.4738
0.0023956804,-119.9218,39.5239
0.0053680856,-120.4549,38.57567
0.0040755854,-120.094,38.62627
0.006349336,-120.5208,38.8577
0.0043230853,-120.1582,38.90858
0.0037355851,-119.795,38.9581
0.0049130856,-120.223,39.19109
0.0040218355,-119.8581,39.24089
0.0043380857,-120.2885,39.4738
0.0039905855,-119.9218,39.5239
0.0038311926,-120.4549,38.57567
0.0027286923,-120.094,38.62627
0.004306192,-120.5208,38.8577
0.0029524425,-120.1582,38.90858
0.0027649426,-119.795,38.9581
0.0032161924,-120.223,39.19109
0.0027799425,-119.8581,39.24089
0.0030474423,-120.2885,39.4738
0.0029836926,-119.9218,39.5239
0.0040078065,-120.4549,38.57567
0.0031203064,-120.094,38.62627
0.0046390565,-120.5208,38.8577
0.0034065566,-120.1582,38.90858
0.0033465563,-119.795,38.9581
0.0035278064,-120.223,39.19109
0.0036540567,-119.8581,39.24089
0.0037465566,-120.2885,39.4738
0.0038303065,-119.9218,39.5239
0.0037329604,-120.4549,38.57567
0.0017667104,-120.094,38.62627
0.00443171,-120.5208,38.8577
0.0019604603,-120.1582,38.90858
0.0018929604,-119.795,38.9581
0.0025342102,-120.223,39.19109
0.0024342102,-119.8581,39.24089
0.0022279604,-120.2885,39.4738
0.0026892102,-119.9218,39.5239
0.0046115685,-120.4549,38.57567
0.0037790686,-120.094,38.62627
0.005555319,-120.5208,38.8577
0.0040303185,-120.1582,38.90858
0.003509069,-119.795,38.9581
0.004417819,-120.223,39.19109
0.003811569,-119.8581,39.24089
0.004110319,-120.2885,39.4738
0.003884069,-119.9218,39.5239
0.003943859,-120.4549,38.57567
0.0022913597,-120.094,38.62627
0.0038013596,-120.5208,38.8577
0.0025576097,-120.1582,38.90858
