dlwrf,lon,lat
235.79688,-120.4549,38.57567
184.82031,-120.094,38.62627
234.70312,-120.5208,38.8577
192.03906,-120.1582,38.90858
193.46094,-119.795,38.9581
200.9375,-120.223,39.19109
193.44531,-119.8581,39.24089
186.70312,-120.2885,39.4738
206.73438,-119.9218,39.5239
319.875,-120.4549,38.57567
273.35156,-120.094,38.62627
320.3672,-120.5208,38.8577
276.8672,-120.1582,38.90858
267.76562,-119.795,38.9581
298.89062,-120.223,39.19109
280.8125,-119.8581,39.24089
281.0,-120.2885,39.4738
290.28125,-119.9218,39.5239
329.09375,-120.4549,38.57567
264.35938,-120.094,38.62627
330.20312,-120.5208,38.8577
274.48438,-120.1582,38.90858
281.625,-119.795,38.9581
285.6328,-120.223,39.19109
283.3047,-119.8581,39.24089
281.26562,-120.2885,39.4738
304.72656,-119.9218,39.5239
301.92188,-120.4549,38.57567
251.375,-120.094,38.62627
293.73438,-120.5208,38.8577
253.54688,-120.1582,38.90858
242.89062,-119.795,38.9581
270.83594,-120.223,39.19109
255.11719,-119.8581,39.24089
250.40625,-120.2885,39.4738
251.26562,-119.9218,39.5239
294.82812,-120.4549,38.57567
226.26562,-120.094,38.62627
285.70312,-120.5208,38.8577
240.02344,-120.1582,38.90858
240.67188,-119.795,38.9581
249.84375,-120.223,39.19109
253.08594,-119.8581,39.24089
240.35938,-120.2885,39.4738
253.27344,-119.9218,39.5239
281.3125,-120.4549,38.57567
233.96094,-120.094,38.62627
291.0547,-120.5208,38.8577
245.60156,-120.1582,38.90858
249.32812,-119.795,38.9581
259.3203,-120.223,39.19109
254.60938,-119.8581,39.24089
245.70312,-120.2885,39.4738
250.34375,-119.9218,39.5239
215.39062,-120.4549,38.57567
180.03125,-120.094,38.62627
210.85156,-120.5208,38.8577
195.39844,-120.1582,38.90858
221.9375,-119.795,38.9581
195.91406,-120.223,39.19109
205.10938,-119.8581,39.24089
187.41406,-120.2885,39.4738
217.58594,-119.9218,39.5239
194.55469,-120.4549,38.57567
156.49219,-120.094,38.62627
194.24219,-120.5208,38.8577
160.9375,-120.1582,38.90858
164.13281,-119.795,38.9581
173.07812,-120.223,39.19109
165.19531,-119.8581,39.24089
161.0625,-120.2885,39.4738
178.42969,-119.9218,39.5239
257.32812,-120.4549,38.57567
229.6875,-120.094,38.62627
263.1172,-120.5208,38.8577
242.03906,-120.1582,38.90858
229.79688,-119.795,38.9581
244.14844,-120.223,39.19109
235.28906,-119.8581,39.24089
232.1875,-120.2885,39.4738
242.0,-119.9218,39.5239
235.92969,-120.4549,38.57567
204.3125,-120.094,38.62627
245.59375,-120.5208,38.8577
217.17188,-120.1582,38.90858
229.04688,-119.795,38.9581
224.66406,-120.223,39.19109
225.80469,-119.8581,39.24089
212.95312,-120.2885,39.4738
235.33594,-119.9218,39.5239
190.75781,-120.4549,38.57567
148.58594,-120.094,38.62627
195.10156,-120.5208,38.8577
157.39062,-120.1582,38.90858
176.15625,-119.795,38.9581
171.51562,-120.223,39.19109
163.08594,-119.8581,39.24089
159.75,-120.2885,39.4738
200.02344,-119.9218,39.5239
220.71094,-120.4549,38.57567
183.45312,-120.094,38.62627
231.57031,-120.5208,38.8577
195.85156,-120.1582,38.90858
191.97656,-119.795,38.9581
212.88281,-120.223,39.19109
198.08594,-119.8581,39.24089
200.26562,-120.2885,39.4738
210.40625,-119.9218,39.5239
297.66406,-120.4549,38.57567
245.29688,-120.094,38.62627
299.95312,-120.5208,38.8577
252.84375,-120.1582,38.90858
247.5,-119.795,38.9581
275.45312,-120.223,39.19109
247.66406,-119.8581,39.24089
241.28125,-120.2885,39.4738
254.125,-119.9218,39.5239
297.51562,-120.4549,38.57567
245.57812,-120.094,38.62627
302.46875,-120.5208,38.8577
248.40625,-120.1582,38.90858
226.21875,-119.795,38.9581
278.78906,-120.223,39.19109
235.49219,-119.8581,39.24089
234.10938,-120.2885,39.4738
243.60938,-119.9218,39.5239
326.40625,-120.4549,38.57567
249.83594,-120.094,38.62627
326.92188,-120.5208,38.8577
268.39062,-120.1582,38.90858
244.33594,-119.795,38.9581
304.40625,-120.223,39.19109
257.78906,-119.8581,39.24089
270.875,-120.2885,39.4738
270.15625,-119.9218,39.5239
330.8828,-120.4549,38.57567
257.21875,-120.094,38.62627
329.3047,-120.5208,38.8577
273.625,-120.1582,38.90858
264.125,-119.795,38.9581
301.5,-120.223,39.19109
257.92188,-119.8581,39.24089
274.67188,-120.2885,39.4738
280.01562,-119.9218,39.5239
319.70312,-120.4549,38.57567
242.17188,-120.094,38.62627
323.83594,-120.5208,38.8577
261.9375,-120.1582,38.90858
